,boxoffice_num0
615,93000
616,31314
617,87673
618,14303
619,12273
620,18057
621,20699
622,132059
623,30379
624,76132
625,470105
626,765961
627,21153
628,23014
629,14343
630,27681
631,1506269
632,16207
633,62454
634,45484
635,35119
636,66562
637,19412
638,137505
639,3189091
640,22835
641,32410
642,1661230
643,148890
644,471172
645,42742
646,17752
647,141734
648,46677
649,18149
650,28048
651,28722
652,91143
653,57805
654,35122
655,4880800
656,7150586
657,4935320
658,34571
659,265388
660,97165
661,1864076
662,1813594
663,16331
664,49832
665,125800
666,183650
667,32406
668,124318
669,2520670
670,1114949
671,30257
672,69837
673,107975
674,22407
675,30833
676,36190
677,1397526
678,1444952
679,2866453
680,53576
681,57553
682,2293884
683,921317
684,47668
685,40255
686,3843343
687,77307
688,172370
689,57004
690,29204
691,20722
692,54041
693,93610
694,2182227
695,1003406
696,851917
697,108551
698,55658
699,133663
700,47226
701,53610
702,28507
703,527962
704,38108
705,224160
706,535331
707,15772
708,33905
709,26577
710,2812427
711,2299732
712,2744413
713,551897
714,9438
715,2087474
716,17613682
717,16835
718,389871
719,398606
720,23768
721,396230
722,257381
723,182666
724,471205
725,219078
726,508869
727,128472
728,242603
729,176495
730,116059
731,450043
732,686809
733,71483
734,78070
735,10942
736,15009
737,15785
738,2310206
739,27121
740,267896
741,24787
742,2524720
743,276131
744,35665
745,47805
746,526557
747,870605
748,26739
749,37582
750,90143
751,89560
752,38262
753,397633
754,341614
755,64826
756,27310
757,884885
758,1515104
759,962770
760,1072220
761,29354
762,13329
763,2095592
764,35348
765,18566
766,46814
767,33384
768,414641
769,21808
770,18380
771,495522
772,97804
773,15882
774,33314
775,192668
776,35614
777,178141
778,29577
779,723622
780,15684
781,20010
782,319384
783,945172
784,334323
785,5138328
786,316332
787,2625599
788,100164
789,20475
790,326086
791,88079
792,133373
793,121827
794,17665
795,104954
796,293352
797,6126488
798,6584915
799,46080
800,19925
801,48051
802,2718158
803,149095
804,1328888
805,16969
806,23350
807,13792
808,988451
809,722182
810,1153109
811,51207
812,25647
813,238587
814,3689325
815,17546
816,7500420
817,20314
818,16505
819,52381
820,69881
821,73797
822,60980
823,60977
824,58619
825,101179
826,52110
827,1194229
828,106439
829,30392
830,96579
831,267785
832,136483
833,11027
834,1101678
835,28064
836,3893216
837,102682
838,2359206
839,446780
840,36744
841,27440
842,35758
843,30349
844,745262
845,202916
846,511931
847,252475
848,57056
849,989906
850,17941
851,41054
852,288579
853,111948
854,26185
855,2256913
856,33360
857,266610
858,6290502
859,55355
860,181257
861,37909
862,19264
863,528435
864,206241
865,18042
866,14764
867,126822
868,14353
869,36905
870,315010
871,69363
872,60561
873,50863
874,144255
875,1561643
876,1167150
877,6879841
878,43823
879,3888096
880,7166290
881,103625
882,13399
883,47990
884,109358
885,822769
886,16091
887,93691
888,13414009
889,1400301
890,29421
891,30656
892,215029
893,490519
894,1804112
895,11374618
896,5687047
897,14286
898,64062
899,2452245
900,2588628
901,185804
902,383336
903,9948386
904,9224582
905,93817
906,18022
907,14780
908,4787538
909,2051277
910,45250
911,19267
912,25908
913,18940
914,1492903
915,53569
916,11565479
917,18892
918,23203
919,115024
920,176122
921,30063
922,28937
923,225618
924,1790916
925,3247955
926,3653238
927,3657536
928,79017
929,17875
930,55051
931,939535
932,2053435
933,15050
934,14432
935,82995
936,63279
937,12771
938,51106
939,35388
940,820995
941,74912
942,336074
943,1373316
944,25863
945,50985
946,5399227
947,2478964
948,13130
949,11048
950,46285
951,321424
952,140318
953,3427524
954,50196
955,250829
956,47563
957,18829
958,203042
959,149719
960,18310
961,203940
962,56082
963,20495
964,233555
965,209653
966,311456
967,161196
968,15042
969,85223
970,33993
971,32684
972,25038
973,2801949
974,1177438
975,138740
976,53147
977,446712
978,42914
979,320545
980,24134
981,18615
982,20018
983,17413
984,306837
985,98495
986,35937
987,34638
988,23531
989,12187
990,14253
991,1826912
992,827335
993,773743
994,258909
995,231875
996,766843
997,931342
998,445699
999,391760
1000,645922
1001,12696
1002,25531
1003,6246849
1004,1315726
1005,273336
1006,13029
1007,15328
1008,340936
1009,16410
1010,19630
1011,2398519
1012,100785
1013,23276
1014,37158
1015,18479
1016,21864
1017,534273
1018,21603
1019,23586
1020,54158
1021,94750
1022,1611163
1023,60340
1024,40073
1025,16626
1026,60485
1027,49682
1028,855980
1029,2658589
1030,15276
1031,768442
1032,790370
1033,676632
1034,12891
1035,1716455
1036,1197565
1037,657294
1038,571074
1039,609063
1040,123344
1041,33030
1042,147031
1043,2949944
1044,28511
1045,353517
1046,329252
1047,71297
1048,26675
1049,45726
1050,9349993
1051,627102
1052,19842
1053,1128288
1054,1593386
1055,43964
1056,29361
1057,23193
1058,70424
1059,49455
1060,19896
1061,11974
1062,12957
1063,235684
1064,220748
1065,40813
1066,86415
1067,159282
1068,16198
1069,111127
1070,91036
1071,1278894
1072,507102
1073,18415
1074,59110
1075,20594
1076,481696
1077,11666
1078,249828
1079,383582
1080,2711083
1081,96807
1082,217444
1083,828025
1084,48252
1085,22518
1086,217314
1087,14888
1088,91790
1089,8657982
1090,1898220
1091,14553
1092,16097
1093,469891
1094,240484
1095,54456
1096,5604103
1097,22241
1098,341882
1099,317406
1100,22362
1101,9684
1102,15287
1103,25964
1104,99693
1105,28626
1106,89615
1107,37547
1108,92447
1109,48942
1110,962862
1111,3324874
1112,24319
1113,46124
1114,19919
1115,11469
1116,40043
1117,29575
1118,197238
1119,156376
1120,41480
1121,427764
1122,3044811
1123,20694
1124,1473125
1125,1258811
1126,1002858
1127,51553
1128,22350
1129,483852
1130,3273879
1131,2803234
1132,946547
1133,1605271
1134,1157156
1135,47368
1136,15147
1137,22536
1138,564589
1139,378874
1140,18061
1141,48844
1142,68815
1143,112767
1144,2318748
1145,3435802
1146,264872
1147,723450
1148,639934
1149,8021145
1150,7258678
1151,25158
1152,35436
1153,19445
1154,28085
1155,18169
1156,299878
1157,325016
1158,41416
1159,758195
1160,1169562
1161,18740
1162,128975
1163,34338
1164,1202384
1165,27030
1166,2525986
1167,14500
1168,12950
1169,18782
1170,229542
1171,140715
1172,21692
1173,12274996
1174,14411502
1175,8539495
1176,716491
1177,284922
1178,30534
1179,672122
1180,678091
1181,2414062
1182,4662534
1183,18247
1184,4682492
1185,38254
1186,34770
1187,86295
1188,3566852
1189,2157437
1190,424258
1191,126842
1192,132192
1193,46700
1194,560790
1195,351276
1196,904143
1197,459295
1198,31742
1199,1715370
1200,27069
1201,97480
1202,77621
1203,229673
1204,83182
1205,1730773
1206,1063175
1207,4287839
1208,16447
1209,20811
1210,26670
1211,16268
1212,322354
1213,91924
1214,329955
1215,78978
1216,61550
1217,40096
1218,13428
1219,23704
1220,401541
1221,152508
1222,344766
1223,161382
1224,155622
1225,55946
1226,36226
1227,12876
1228,647305
1229,172652
1230,14946
1231,2594028
1232,15315
1233,24983
1234,12767
1235,19771
1236,19881
1237,94119
1238,212599
1239,3279296
1240,22120
1241,240297
1242,14002
1243,29193
1244,34723
1245,16695
1246,553760
1247,9001331
1248,67027
1249,17287
1250,43612
1251,5038154
1252,3491857
1253,155368
1254,14188
1255,16154
1256,1208081
1257,2192525
1258,3364712
1259,262233
1260,116029
1261,144351
1262,61099
1263,111751
1264,24381
1265,13055
1266,203667
1267,749146
1268,34807
1269,5440186
1270,12552283
1271,22978
1272,14289
1273,1952063
1274,12705700
1275,3789321
1276,105574
1277,27590
1278,926027
1279,1934270
1280,481766
1281,513375
1282,58664
1283,537920
1284,18219
1285,17257
1286,2841795
1287,5448134
1288,292495
1289,188987
1290,680606
1291,30656
1292,44214
1293,25578
1294,554939
1295,14350
1296,19861
1297,71795
1298,52586
1299,49411
1300,170743
1301,13688
1302,14891
1303,234829
1304,59009
1305,27302
1306,31014
1307,17190
1308,204259
1309,579367
1310,428855
1311,34777
1312,4168353
1313,16475
1314,3392699
1315,2856065
1316,10494499
1317,13934592
1318,11212710
1319,1475087
1320,355913
1321,205368
1322,12203
1323,17756
1324,76846
1325,69529
1326,25091
1327,197134
1328,384789
1329,49958
1330,195183
1331,72071
1332,256475
1333,51426
1334,23688
1335,219892
1336,23711
1337,518886
1338,122359
1339,190387
1340,44589
1341,49388
1342,23931
1343,46386
1344,61423
1345,332180
1346,30569
1347,1307226
1348,11258
1349,19356
1350,36327
1351,978785
1352,1511195
1353,78435
1354,862744
1355,4313871
1356,2938818
1357,9426011
1358,654212
1359,166533
1360,22091
1361,181400
1362,35368
1363,47254
1364,1207732
1365,17305
1366,57579
1367,22416
1368,14893
1369,4699307
1370,67368
1371,116851
1372,23312
1373,97849
1374,3849552
1375,30116
1376,22380
1377,8913
1378,214539
1379,1865195
1380,6043784
1381,654102
1382,870785
1383,990104
1384,77124
1385,46970
1386,24676
1387,41994
1388,172414
1389,306332
1390,16187
1391,18900
1392,79701
1393,35732
1394,1891993
1395,76646
1396,16555
1397,863567
1398,92380
1399,1515356
1400,1069864
1401,1335829
1402,73064
1403,350563
1404,78440
1405,18535
1406,298482
1407,14215
1408,34084
1409,279488
1410,25604
1411,441208
1412,322157
1413,49612
1414,12990
1415,70310
1416,13363
1417,66883
1418,83761
1419,16415
1420,5293435
1421,20303
1422,27818
1423,55366
1424,29236
1425,202756
1426,4131338
1427,2176752
1428,603495
1429,68697
1430,970373
1431,47969
1432,44216
1433,35296
1434,56087
1435,144744
1436,183784
1437,1619188
1438,43613
1439,57838
1440,1163274
1441,149181
1442,136134
1443,28523
1444,81025
1445,263618
1446,81680
1447,2165401
1448,21884
1449,26921
1450,450374
1451,20657
1452,435048
1453,40936
1454,17873
1455,277319
1456,93239
1457,215546
1458,5237525
1459,903175
1460,941626
1461,107278
1462,17067
1463,1169839
1464,15671
1465,40321
1466,16136
1467,1445248
1468,308398
1469,1403019
1470,814585
1471,14231
1472,55586
1473,37853
1474,62069
1475,73716
1476,331877
1477,33439
