,name,Unnamed: 0,genre
1589,그녀,1589.0,"[['애니메이션', '모험', '코미디', '가족', '미국', '2014']]"
1590,하이힐,1590.0,"[['액션', '미국', '오스트레일리아', '2014']]"
1591,선 오브 갓,1591.0,"[['멜로/로맨스', '독일', '영국', '2014']]"
1592,잭 라이언 : 코드네임 쉐도우,1592.0,"[['이란', '2018']]"
1593,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",1593.0,"[['멜로/로맨스', '드라마', '영국', '2014']]"
1594,숲속으로,1594.0,"[['다큐멘터리', '이란', '영국', '2020']]"
1595,레드카펫,1595.0,"[['액션', '스릴러', '미국', '2014']]"
1596,미녀와 야수,1596.0,"[['액션', '범죄', '드라마', '미스터리', '스릴러', '미국', '2014']]"
1597,비행기 2: 소방구조대,1597.0,"[['모험', '코미디', '드라마', '스웨덴', '2013']]"
1598,프랑켄슈타인: 불멸의 영웅,1598.0,"[['드라마', '멜로/로맨스', '프랑스', '미국', '벨기에', '이탈리아', '스위스', '2014']]"
1599,"러브, 로지",1599.0,"[['애니메이션', '액션', '모험', '가족', '코미디', '덴마크', '캐나다', '노르웨이', '오스트레일리아', '미국', '2019']]"
1600,오큘러스,1600.0,"[['애니메이션', '한국', '2014']]"
1601,사랑에 대한 모든 것,1601.0,"[['액션', '스릴러', '범죄', '드라마', '미국', '2014']]"
1602,마야,1602.0,"[['드라마', '미국', '2018']]"
1603,노벰버 맨,1603.0,"[['애니메이션', '일본', '2013']]"
1604,툼스톤,1604.0,"[['드라마', '한국', '2013']]"
1605,창문 넘어 도망친 100세 노인,1605.0,"[['액션', '모험', '판타지', '미국', '2014']]"
1606,그레이스 오브 모나코,1606.0,"[['액션', '일본', '2014']]"
1607,레고 무비,1607.0,"[['코미디', '스릴러', '한국', '2014']]"
1608,뽀로로 극장판 눈요정 마을 대모험,1608.0,"[['코미디', '미국', '2014']]"
1609,쓰리데이즈 투 킬,1609.0,"[['액션', '미국', '2020']]"
1610,저스틴,1610.0,"[['코미디', '프랑스', '2014']]"
1611,극장판 루팡 3세 VS 명탐정 코난,1611.0,"[['드라마', '미국', '2014']]"
1612,한공주,1612.0,"[['애니메이션', '모험', '가족', '독일', '2014']]"
1613,헤라클레스 : 레전드 비긴즈,1613.0,"[['애니메이션', '일본', '2006']]"
1614,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",1614.0,"[['애니메이션', '판타지', '일본', '2004']]"
