,name,director1.0_a_avg,director1.0_r_avg
265,창궐,2857500.0,6.954000000000001
266,성난황소,0.0,0.0
267,리틀 포레스트,609686.0,8.702857142857143
268,골든슬럼버,347686.5,7.575
269,램페이지,869600.0,7.748
270,오션스8,592750.0,7.947142857142857
271,사라진 밤,217491.0,8.182
272,스윙키즈,0.0,0.0
273,바람 바람 바람,0.0,0.0
274,PMC: 더 벙커,3716394.5,7.4123333333333346
275,퍼시픽 림: 업라이징,0.0,0.0
276,몬스터 호텔 3,1153333.3333333333,8.516666666666667
277,더 넌,0.0,0.0
278,스카이스크래퍼,366300.3333333333,7.646666666666666
279,염력,2784166.6666666665,7.096666666666668
280,월요일이 사라졌다,386710.0,8.06
281,인랑,2073000.0,6.906000000000001
282,극장판 헬로카봇 : 백악기 시대,612500.0,8.790000000000001
283,레슬러,770000.0,6.42
284,물괴,647500.0,7.3125
285,미쓰백,0.0,0.0
286,신비아파트: 금빛 도깨비와 비밀의 동굴,934333.3333333334,8.479999999999999
287,퍼스트맨,1071740.3333333333,7.634999999999999
288,스파이더맨: 뉴 유니버스,810000.0,9.3225
289,위대한 쇼맨,900000.0,9.055
290,인시디어스4: 라스트 키,346250.0,7.212000000000001
291,"그날, 바다",0.0,0.0
292,툼레이더,278000.0,7.645
293,페르디난드,522873.5714285714,8.506666666666666
294,버닝,305195.125,8.29125
295,7년의 밤,3514000.0,8.201428571428572
296,메가로돈,834000.0,8.001428571428571
297,콰이어트 플레이스,0.0,0.0
298,호두까기 인형과 4개의 왕국,236350.0,7.920166666666665
299,셰이프 오브 워터: 사랑의 모양,1398750.0,7.762499999999999
300,곰돌이 푸 다시 만나 행복해,1330243.1666666667,8.139999999999999
301,변산,1429000.0,8.3925
302,그린치,1068000.0,8.708000000000002
303,스타 이즈 본,6214000.0,9.122
304,동네사람들,230787.5,6.553333333333334
305,원더풀 고스트,240703.2,7.4975
306,강철비,5873333.333333333,8.66
307,흥부: 글로 세상을 바꾼 자,1192000.0,7.0842857142857145
308,명탐정 코난 : 제로의 집행인,0.0,0.0
309,점박이 한반도의 공룡2 : 새로운 낙원,0.0,0.0
310,패딩턴 2,0.0,0.0
311,허스토리,597339.25,7.911250000000001
312,미드나잇 선,518.0,7.68
313,덕구,2337552.6,7.011666666666666
314,트루스 오어 데어,0.0,0.0
315,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,167500.0,8.3625
316,해리포터와 마법사의 돌,856000.0,8.163333333333334
317,모털 엔진,1865000.0,8.08
318,나를 차버린 스파이,0.0,0.0
319,명탐정 코난:감벽의 관,191857.14285714287,8.218571428571426
320,아이 필 프리티,390000.0,8.010000000000002
321,시카리오: 데이 오브 솔다도,112404.5,7.89
322,12 솔져스,0.0,0.0
323,1급기밀,247883.66666666663,7.497999999999999
324,50가지 그림자: 해방,130170.0,7.558
325,속닥속닥,33706.125,5.645
326,벽 속에 숨은 마법시계,46915.4,6.816666666666666
327,허리케인 하이스트,1062600.0,6.896000000000001
328,한 솔로: 스타워즈 스토리,208146.7142857143,8.395714285714286
329,콜 미 바이 유어 네임,89666.66666666667,8.020000000000001
330,런닝맨 : 풀룰루의 역습,180000.0,7.73
331,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,256714.2857142857,8.587142857142856
332,원더,943500.0,8.566666666666668
333,유전,20000.0,7.19
334,더 프레데터,3064666.6666666665,7.803333333333334
335,어느 가족,60928.333333333336,8.276666666666666
336,극장판 포켓몬스터 모두의 이야기,0.0,0.0
337,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,0.0,0.0
338,크레이지 리치 아시안,0.0,0.0
339,다운사이징,68390.0,6.873333333333332
340,나를 기억해,0.0,0.0
341,더 포스트,1896000.0,7.613999999999999
342,빅샤크: 매직체인지,0.0,0.0
343,독전: 익스텐디드 컷,1445714.2857142857,7.712857142857144
344,얼리맨,161000.0,8.86
345,부탁 하나만 들어줘,571833.3333333334,7.978333333333334
346,"안녕, 나의 소녀",110000.0,7.11
347,레드 스패로,1016571.4285714284,8.024285714285714
348,레이디 버드,184000.0,8.344285714285714
349,여중생A,50178.5,7.425
350,쓰리 빌보드,51754.66666666666,8.219999999999999
351,마야2,0.0,0.0
352,플로리다 프로젝트,33655.0,8.47
353,극장판 포켓몬스터 너로 정했다!,256714.2857142857,8.587142857142856
354,베일리 어게인,145200.0,8.618333333333332
355,셜록 놈즈,0.0,0.0
356,신은 죽지 않았다 3: 어둠 속의 빛,0.0,0.0
357,호텔 아르테미스,2494700.0,8.11875
358,올 더 머니,203108.6,8.402000000000001
359,마일22,94857.14285714286,8.327142857142857
360,여곡성,293858.0,6.953333333333333
361,번개맨과 신비의 섬,0.0,0.0
362,킬링 디어,70933.5,8.175
363,타이타닉,1093842.25,8.675
364,소공녀,337271.8571428572,8.55
365,어드리프트:우리가 함께한 바다,112451.5,7.858
366,엘리엇과 산타 썰매단,0.0,0.0
367,헌터 킬러,0.0,0.0
368,몬스터 패밀리,153600.0,7.7266666666666675
369,머니백,0.0,0.0
370,뽀로로 극장판 공룡섬 대모험,675000.0,8.057500000000001
371,말모이,0.0,0.0
372,"부르고뉴, 와인에서 찾은 인생",0.0,0.0
373,그래비티,312921.9166666666,8.078333333333333
374,너의 췌장을 먹고 싶어,53000.0,8.49
375,번개맨의 비밀,0.0,0.0
376,젝스키스 에이틴,0.0,0.0
377,살인소설,2120000.0,7.4075
378,온리 더 브레이브,663333.3333333334,8.273333333333333
379,폴란드로 간 아이들,146897.83333333334,7.116666666666667
380,비밥바룰라,0.0,0.0
381,"스탠바이, 웬디",29500.0,8.23
382,나츠메 우인장: 세상과 연을 맺다,47000.0,9.27
383,아일라,0.0,0.0
384,라이프 오브 파이,0.0,0.0
385,극장판 뽀잉: 슈퍼 변신의 비밀,0.0,0.0
386,더 포리너,129439.57142857143,6.310803571428572
387,그랜드 부다페스트 호텔,187712.0,8.472
388,너의 이름은.,778151.0,8.440000000000001
389,이별의 아침에 약속의 꽃을 장식하자,0.0,0.0
390,다키스트 아워,113402.0,7.4700000000000015
391,프렌즈: 몬스터섬의비밀,229125.0,8.446666666666665
392,정글번치: 최강 악당의 등장,42666.66666666666,7.42
393,툴리,573333.3333333334,8.37
394,벅스 프렌즈,37000.0,8.25
395,아바타,1093842.25,8.675
396,"오늘 밤, 로맨스 극장에서",38829.75,7.92
397,펭귄 하이웨이,35000.0,7.27
398,극장판 레이디버그: 미라클스톤의 비밀,0.0,0.0
399,인생 후르츠,71000.0,9.17
400,개들의 섬,187712.0,8.472
401,거미줄에 걸린 소녀,370333.3333333333,8.533333333333333
402,막달라 마리아: 부활의 증인,65500.0,8.57
403,바르다가 사랑한 얼굴들,32000.0,8.93
404,체실 비치에서,170000.0,8.19
405,루비 스팍스,25333.33333333333,8.536666666666667
406,팬텀 스레드,20320.5,8.405
407,문호 스트레이독스 [데드 애플],30000.0,9.57
408,몬태나,17606.5,8.27
409,크리미널 스쿼드,379000.0,7.223333333333334
410,박물관이 진짜 살아있다,23815.25,7.234999999999999
411,라라랜드,1071740.3333333333,7.634999999999999
412,피쉬 프렌즈: 알록이의 신기한 모험,0.0,0.0
413,모어 댄 블루,0.0,0.0
414,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",16930.0,8.59142857142857
415,원더스트럭,99458.4,8.28
416,구스범스: 몬스터의 역습,13819.0,8.05
417,당신의 부탁,176509.83333333334,8.018333333333333
418,양말요정 휴고의 대모험,0.0,0.0
419,러빙 빈센트,220688.5,8.74
420,하이큐!! 콘셉트의 싸움,45910.66666666666,8.861666666666666
421,캡틴 스터비,0.0,0.0
422,겨울왕국의 무민,0.0,0.0
423,노크: 초대받지 않은 손님,0.0,0.0
424,로건 럭키,272770.2,7.041999999999999
425,"세라비, 이것이 인생!",307973.3333333333,8.823333333333332
426,극장판 프리! - 테이크 유어 마크 -,0.0,0.0
427,리틀 뱀파이어,35491.33333333333,8.09875
428,노인을 위한 나라는 없다,111624.25,8.138833333333334
429,펭이와 친구들의 남극대모험,0.0,0.0
430,마징가 Z: 인피니티,22000.0,8.12
431,아이 캔 온리 이매진,35000.0,9.08
432,터닝메카드W: 반다인의 비밀 특별판,0.0,0.0
433,원더 휠,60000.0,7.565
434,무문관,2831.0,7.8
435,죄 많은 소녀,0.0,0.0
436,리즈와 파랑새,75132.0,8.895
437,다이노 헌터: 티렉스VS파키리노 대격돌,337750.0,8.347999999999999
438,호밀밭의 반항아,0.0,0.0
439,원더풀 라이프,60928.333333333336,8.276666666666666
440,아이 엠 러브,89666.66666666667,8.020000000000001
441,어거스트 러쉬,1120000.0,8.72
442,B급 며느리,5096.5,9.04
443,카메라를 멈추면 안 돼!,0.0,0.0
444,극장판 가면라이더 이그제이드: 트루 엔딩,42500.0,8.655000000000001
445,꼬마영웅 바비,0.0,0.0
446,나라타주,9239.0,6.455
447,액슬,0.0,0.0
448,스페이스 치킨: 마법 부적의 비밀,239125.0,7.54
449,판타스틱 부니베어,18613.571428571428,7.267142857142857
450,로빈슨의 언더워터 어드벤처,18000.0,5.8
451,킨: 더 비기닝,18000.0,9.26
452,꼬마 보트 토토: 타요 타요 배 타요,17000.0,5.81
453,탑건,663333.3333333334,8.273333333333333
454,파이널 포트레이트,16306.6,6.984999999999999
455,호비와 매직 아일랜드,17333.333333333332,8.403333333333332
456,토니스토리2: 고철왕국의 친구들,30301.33333333333,7.403333333333333
457,주문은 토끼입니까?? ~디어 마이 시스터~,0.0,0.0
458,내 이야기!!,0.0,0.0
459,바니부기: 드래곤 에그를 찾아서,0.0,0.0
460,아기곰 보보 구출 대작전,21553.5,6.79
461,아기돼지 3형제와 쿵푸랜드,0.0,0.0
462,위 베어 베어스: 베이비 베어스,24000.0,7.735
463,트와일라잇,18000.0,7.7075
464,군산: 거위를 노래하다,17211.666666666668,7.868333333333333
465,내안의 그놈,591484.7142857143,7.6
466,캡틴 샤키,18634.666666666668,8.556666666666667
467,불한당: 나쁜 놈들의 세상,930289.3333333334,7.98
468,토이 가디언즈,0.0,0.0
469,너는 여기에 없었다,31000.0,8.295
470,해피 어게인,0.0,0.0
471,류이치 사카모토: 코다,16408.0,8.290000000000001
472,유니콘 원정대: 비밀의 다이어리,0.0,0.0
473,오직 사랑뿐,14000.0,8.56
474,"아이, 토냐",670333.3333333334,8.703333333333333
475,택시운전사,0.0,0.0
476,신과함께-죄와 벌,6388714.285714285,8.206142857142858
477,공조,2857500.0,6.954000000000001
478,스파이더맨: 홈 커밍,5090527.0,8.91
479,범죄도시,3985000.0,7.327500000000001
480,군함도,5765714.285714285,8.215714285714286
481,청년경찰,3325204.571428572,8.112857142857141
482,킹스맨: 골든 서클,2299000.0,8.282857142857143
483,토르: 라그나로크,3660000.0,8.76
484,꾼,3044285.714285714,8.415714285714285
485,강철비,5873333.333333333,8.66
486,남한산성,3770714.2857142854,8.676142857142857
487,미이라,0.0,0.0
488,분노의 질주: 더 익스트림,896266.8333333334,8.075714285714286
489,너의 이름은.,778151.0,8.440000000000001
490,슈퍼배드 3,1896250.0,8.791607142857142
491,아이 캔 스피크,0.0,0.0
492,캐리비안의 해적: 죽은 자는 말이 없다,1525833.3333333335,7.880833333333333
493,프리즌,1377285.7142857143,8.307142857142859
494,덩케르크,2630000.0,8.309999999999999
495,가디언즈 오브 갤럭시 VOL. 2,5587750.0,8.785166666666665
496,살인자의 기억법,2363333.333333333,7.881666666666667
497,트랜스포머: 최후의 기사,1176000.0,8.075999999999999
498,조작된 도시,4470000.0,8.483333333333334
499,보스 베이비,1427142.857142857,8.764285714285714
500,재심,0.0,0.0
501,박열,1429000.0,8.3925
502,마스터,3545000.0,7.565
503,로건,1431000.0,8.456666666666665
504,겟 아웃,0.0,0.0
505,혹성탈출: 종의 전쟁,1422000.0,7.637142857142857
506,1987,3342278.7619047617,8.299333333333333
507,애나벨 : 인형의 주인,1230000.0,7.66
508,노무현입니다,0.0,0.0
509,저스티스 리그,616766.6666666666,8.42
510,킬러의 보디가드,454334.8,8.056000000000001
511,콩: 스컬 아일랜드,840082.5,8.13
512,23 아이덴티티,580250.0,6.857500000000001
513,임금님의 사건수첩,0.0,0.0
514,부라더,1380000.0,8.163333333333332
515,기억의 밤,784836.75,7.5575
516,해피 데스데이,0.0,0.0
517,브이아이피,3584923.375,8.127428571428572
518,특별시민,612333.3333333334,7.216666666666666
519,에이리언: 커버넌트,203108.6,8.402000000000001
520,장산범,0.0,0.0
521,악녀,787899.0,7.55
522,해빙,601319.5,6.935
523,라라랜드,1071740.3333333333,7.634999999999999
524,지오스톰,0.0,0.0
525,스타워즈: 라스트 제다이,481622.4,7.734999999999999
526,불한당: 나쁜 놈들의 세상,930289.3333333334,7.98
527,그것,0.0,0.0
528,오리엔트 특급 살인,1886666.6666666667,8.42
529,대립군,440393.75,7.4975
530,베이비 드라이버,901200.0,8.108
531,위대한 쇼맨,900000.0,9.055
532,뽀로로 극장판 공룡섬 대모험,675000.0,8.057500000000001
533,레지던트 이블: 파멸의 날,684285.7142857143,7.342857142857143
534,공각기동대 : 고스트 인 더 쉘,695000.0,7.345
535,패신저스,1200000.0,8.370000000000001
536,씽,239725.16666666666,8.60125
537,아빠는 딸,387.0,0.0
538,컨택트,465283.44444444444,8.343333333333334
539,47 미터,371333.3333333333,6.619999999999999
540,메리와 마녀의 꽃,542333.3333333334,8.286666666666667
541,얼라이드,1085250.0,8.56
542,발레리안: 천 개 행성의 도시,137200.0,7.186000000000002
543,그레이트 월,93517.33333333331,7.814000000000002
544,침묵,444979.1428571429,7.827142857142858
545,카3: 새로운 도전,480000.0,8.62
546,리얼,470000.0,4.44
547,너의 췌장을 먹고 싶어,53000.0,8.49
548,명탐정 코난:진홍의 연가,410000.0,8.765
549,히든 피겨스,0.0,0.0
550,반드시 잡는다,0.0,0.0
551,원라인,430000.0,8.68
552,터닝메카드W: 블랙미러의 부활,0.0,0.0
553,스머프: 비밀의 숲,877333.3333333334,8.345714285714285
554,로그 원: 스타워즈 스토리,570360.0,6.45
555,킹 아서: 제왕의 검,2564428.571428572,8.368571428571428
556,극장판 포켓몬스터 너로 정했다!,256714.2857142857,8.587142857142856
557,넛잡 2,89304.33333333333,7.158095238095238
558,아메리칸 메이드,1725000.0,7.672499999999999
559,러빙 빈센트,220688.5,8.74
560,대장 김창수,1368333.3333333333,7.895
561,눈의 여왕 3: 눈과 불의 마법대결,393333.3333333333,8.13
562,플립,233272.0,8.147499999999999
563,석조저택 살인사건,977454.8125,7.091339285714286
564,싱글라이더,0.0,0.0
565,7호실,502506.8333333333,7.225
566,몬스터 패밀리,153600.0,7.7266666666666675
567,내 사랑,330000.0,9.17
568,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,183500.0,8.719999999999999
569,희생부활자,0.0,0.0
570,옥자,3504139.8571428573,8.151428571428571
571,블레이드 러너 2049,402423.8571428572,8.262857142857143
572,존 윅 - 리로드,0.0,0.0
573,목소리의 형태,75132.0,8.895
574,공범자들,0.0,0.0
575,미옥,1629571.4285714286,7.45875
