,month,year,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,a_avg_dir,r_avg_dir,a_avg_act,r_avg_act
18,6,2016,156,5851,1,2,1.0,3,95.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1873600.0,8.402,331862.25,8.454
19,2,2017,435,8960,1,2,1.0,4,118.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,130170.0,7.558,60325.3,8.043
20,2,2018,213,10027,1,2,1.0,4,105.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,130170.0,7.558,60325.3,8.043
21,10,2014,86,2779,2,3,0.0,1,109.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,93517.33333,7.814,97000.0,8.4725
22,9,2014,76,1605,0,0,0.0,2,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22000.0,9.18,730289.0095,8.379642857
23,3,2018,872,26804,0,4,1.0,3,123.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3514000.0,8.201428571,2079328.418,7.352491071
24,5,2017,230,2587,1,1,0.0,3,99.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,35000.0,7.21,49250.0,8.06
25,2,2015,358,7396,1,3,1.0,2,102.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46584.0,7.015,432469.5238,7.972142857
26,11,2017,629,21846,0,2,1.0,3,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502506.8333,7.225,3799375.0,8.276607143
27,10,2019,1486,145441,0,2,1.0,2,118.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1012.0,7.05,4153750.0,8.4925
28,11,2013,71,2280,0,2,0.0,3,97.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1718000.0,7.228333333,2037500.0,7.508125
29,1,2018,60,1911,0,2,0.0,2,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5096.5,9.04,2013092.5,7.249821429
30,12,2014,71,824,0,1,0.0,1,82.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,225768.32117104737,5.498639112275811,161661.75,7.4725
31,12,2018,1974,49806,0,2,1.0,3,124.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3716394.5,7.412333333,3629666.667,7.794833333
32,12,2018,1081,26690,0,2,1.0,3,124.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3716394.5,7.412333333,3629666.667,7.794833333
33,8,2013,268,5744,1,3,1.0,3,95.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,242001.0,7.401428571,382285.0714,8.426984127
34,6,2014,77,994,2,2,1.0,1,137.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9260.5,8.094285714,72405.0,8.263333333
35,11,2012,53,613,1,4,1.0,2,88.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,2563.0,4.82375
36,4,2017,77,1747,1,5,1.0,2,136.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5587750.0,8.785166667,3751935.946,8.463089286
37,7,2014,539,22417,1,5,1.0,2,136.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5587750.0,8.785166667,3751935.946,8.463089286
38,5,2017,1218,63789,1,5,1.0,2,136.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5587750.0,8.785166667,3751935.946,8.463089286
39,11,2016,884,30404,0,3,1.0,2,129.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,96967.0,7.906666667,2071140.403,7.706388889
40,12,2012,224,6856,0,13,1.0,3,104.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1556943.125,7.455658163
41,1,2019,111,5360,2,2,0.0,3,126.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37118.5,8.653333333,140000.0,9.54
42,4,2014,356,11622,0,0,0.0,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,225768.32117104737,5.498639112275811,668524.3016,7.531587302
43,8,2013,21,113,0,2,0.0,4,85.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2105.666667,5.458,3905000.0,7.69
44,1,2014,53,1626,2,2,0.0,4,180.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18580.0,8.96,466142.8571,7.988571429
45,10,2019,1073,111527,0,2,1.0,3,109.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1515149.0,8.087857143
46,5,2015,697,40580,0,5,1.0,4,131.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,597339.25,7.91125,3161695.411,7.538047619
47,8,2013,806,55046,0,0,0.0,3,121.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,1820176.958,7.341770833
48,11,2016,400,4735,2,8,0.0,1,90.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225768.32117104737,5.498639112275811,69687.70833,8.412333333
49,7,2013,949,100309,0,3,1.0,3,119.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4527500.0,7.696875,891336.0317,7.647579365
