 안드레스 G. 슈에
 레니 할린
 존 파브로
 앤드류 코헨
 피터 손
 수잔 비에르
 로버트 렌스
 스콧 쿠퍼
 켈리 애스버리
 곽범
 시라이시 코지
 저스틴 덱
 제이슨 라이트맨
 데이비드 O. 러셀
 야마다 요지
 크리스 리노드
 헬렌 헌트
 노나 그리스하에바
 백승우
 제프리 러쉬
 스티븐 크보스키
 전석호
 최성현
 임아론
 마이크 데블린
 다리나 슈미트
 조지 클루니
 세딕 니콜라스 트로얀
 선호빈
 김대승
 가이 리치
 엘리자베스 뱅크스
 션 베이커
 T.O.P
 에베라도 발레리오 구트
 우치다 마아야
 그렉 키니어
 이창동
 이선
 데이빗 크렌츠
 김종현
 이연우
 제니퍼 리
 김재희
 닐 버거
 엘르 패닝
 박보영
 다미안 존 하퍼
 크리스 로핑
 잭 스나이더
 박홍수
 미야모토 히로아키
 리처드 캔터
 마테오 부와슬리에
 리들리 스콧
 트래비스 클러프
 신재호
 제임스 폴리
 김휘
 카세 료
 리처드 링클레이터
 벤 스틸러
 츠마부키 사토시
 스콧 힉스
 노에미 르보브스키
 휴 허드슨
 댄 포겔맨
 김태용
 프란시스 닐슨
 김병우
 빈센트 케스텔루트
 세르게이 보드로프
 질 를르슈
 강효진
 수잔나 포겔
 박영균
 키이라 나이틀리
 윤준형
 뤽 다르덴
 콜린 퍼스
 알렉상드르 헤보얀
 올리비에 아사야스
 닐스 타베니어
 신현원
 야쿠와 신노스케
 조엘 코엔
 최동훈
 정주리
 벤자민 레너
 스콧 모지어
 마이클 쿠에스타
 마대윤
 퍼시 애들론
 네드 벤슨
 전윤수
 로저 도널드슨
 알베르토 로드리게즈
 존 레쿼
 타이 버렐
 한재림
 나초 라 까사
 강지은
 로렌스 라노프
 신아가
 조쉬 베이커
 최승호
 노먼 퍼거슨
 크리스찬 두가이
 천우희
 조석현
 존 폴슨
 롭 엡스타인
 백승빈
 라이언 존슨
 김진수
 매튜 맥커너히
 매즈 미켈슨
 맥스 조셉
 송해성
 레오 카락스
 이원석
 정병길
 안병기
 노엘 클리어리
 아델 에그자르코풀로스
 줄리아 하트
 귀욤 고익스
 김윤석
 추상미
 가와세 나오미
 한승우
 장재혁
 윌 아넷
 이나 예블라니코바
 이현주
 니콜라이 퓰시
 츠키카와 쇼
 윤가은
 테라모토 유키요
 오오스기 요시히로
 장유정
 데이미언 셔젤
 브래들리 쿠퍼
 우묘
 론 하워드
 제임스 맨골드
 치웨텔 에지오포
 기예르모 델 토로
 로빈 윌리엄스
 브라이언 피
 딩 스
 신카이 마코토
 자코 반 도마엘
 필 존스턴
 랄프 파인즈
 장준환
 라이언 플렉
 안드레이 갈랏
 레지스 로인사드
 돈 E. 폰트르로이
 브렛 설리반
 이지원
 데이빗 맥킨지
 홍석재
 캐서린 비글로우
 나가사키 켄지
 다카하시 와타루
 메간 폭스
 매니 에르난데스
 리건
 나현
 피터 레페니오티스
 밥 퍼시케티
 딜런 오브라이언
 이창재
 노동석
 레반 가브리아제
 밥 두셋
 레니 에이브러햄슨
 레베카 밀러
 나오미 포너
 벤 르윈
 라스무스 A. 실버르센
 안노 히데아키
 릭 로먼 워
 나루시마 이즈루
 오즈 야스지로
 마츠모토 리카
 하시모토 마사카즈
 이재규
 장창원
 더그 스윗랜드
 권오중
 토머스 얀
 전일우
 안젤리나 졸리
 실베스터 스탤론
 제임스 건
 스티븐 더햄
 맥스 바톨리
 자코 아키후미
 김상철
 안용훈
 젠 웩슬러
 박호찬
 멜 깁슨
 리처드 클라우스
 휴 웰치맨
 토마스 아스트뤽
 에릭 토레다노
 루이스 리터리어
 나홍진
 야마구치 켄타로
 전진
 패트릭 휴즈
 사무엘 암스트롱
 헬레네 지라드
 라지쿠마르 히라니
 윤종빈
 레미 베잔송
 닛타 노리오
 김경희
 스테판 오비에
 김양래
 피터 버그
 안톤 크링스
 마이크 미첼
 워시 웨스트모어랜드
 베르나르도 베르톨루치
 이제인
 크리스 프랫
 폴 토마스 앤더슨
 올 파커
 조철현
 존 카프카
 도로타 코비엘라
 토머스 카터
 권혁만
 류승룡
 페테르 바스코
 이주영
 이재진
 그렉 티어난
 천성일
 빌 어거스트
 박재식
 닉 파크
 이기니오 스트라피
 민규동
 박정범
 마크 로즈만
 허인무
 트리시 시에
 에드 게스-도넬리
 김태균
 장항준
 이도윤
 이정재
 장유근
 배종
 오리올 파울로
