,director,필모그래피 개수,천만관객 뱃지 유무,수상 개수
231, 원신연,,,
232, 오카다 마리,,,
233, 김대창,,,
234, 안톤 후쿠아,,,
235, 루크 에반스,,,
236, 정혁기,,,
237, 데이빗 예이츠,,,
238, 맷 브라운,,,
239, 엽위신,,,
240, 이정호,,,
241, 김영탁,,,
242, 전고운,,,
243, 에릭 바나,,,
244, 김주환,,,
245, 스리데비,,,
246, 조진웅,,,
247, 그레이엄 애나블,,,
248, 스캇 워프,,,
249, 피에르 니네이,,,
250, 호르헤 도라도,,,
251, 황동혁,,,
252, 데이비드 스토튼,,,
253, 스탠리 투치,,,
254, 제임스 코든,,,
255, 김지운,,,
256, 갈리나 미클리노바,,,
257, 장재현,,,
258, 헤 질리,,,
259, 류승완,,,
260, 다현,,,
261, 댄 길로이,,,
262, 김지영,,,
263, 유부원,,,
264, 김성연,,,
265, 조쉬 분,,,
266, 이와사키 토모코,,,
267, 로버트 벤튼,,,
268, 크리스찬 세스마,,,
269, 시모사와 신타로,,,
270, 사샤 고든,,,
271, 줄리안 슈나벨,,,
272, 야노 유이치로,,,
273, 팀 스토리,,,
274, 기욤 니클루,,,
275, 김재환,,,
276, 쿠마자와 나오토,,,
277, 조나단 베이커,,,
278, 바란 보 오다르,,,
279, 이권,,,
280, 김우빈,,,
281, 압델라티프 케시시,,,
282, 크리스토퍼 랜던,,,
283, 이철하,,,
284, 에단 코엔,,,
285, 매튜 본,,,
286, 노암 머로,,,
287, 진도명,,,
288, 로랑 캉테,,,
289, 마이크 컨켈,,,
290, 신보 아키유키,,,
291, 올리비에 메가턴,,,
292, 조영광,,,
293, 김덕수,,,
294, 막심 파디브,,,
295, 안톤 코르빈,,,
296, 이서,,,
297, 여인영,,,
298, 안드레 외브레달,,,
299, 바이론 하워드,,,
300, 에드가 라이트,,,
301, 조근식,,,
302, 황인준,,,
303, RM,,,
304, 테렌스 맬릭,,,
305, 니콜라스 콜라,,,
306, 짐 브로드벤트,,,
307, 장진,,,
308, 이토 토모히코,,,
309, 로버트 로드리게즈,,,
310, 박훈정,,,
311, 오인천,,,
312, 존 무어,,,
313, 크리스 벅,,,
314, 믹 잭슨,,,
315, 뷔,,,
316, 마이클 베이,,,
317, 오멸,,,
318, 안상훈,,,
319, 로버트 스톨텐베르그,,,
320, 송강호,,,
321, 위고 젤랭,,,
322, 사릭 안드레아시안,,,
323, 장하오,,,
324, 조쉬 할로웨이,,,
325, 야로우 체니,,,
326, 전성우,,,
327, 이경호,,,
328, 가브리엘 무치노,,,
329, 샤론 맥과이어,,,
330, 게리 도버먼,,,
331, 히시다 마사카즈,,,
332, 에스벤 토프트 야콥슨,,,
333, 벤 웨틀리,,,
334, 로저 컴블,,,
335, 소연,,,
336, 리스 오스볼,,,
337, 데이비드 에이어,,,
338, 노아 바움백,,,
339, 이해준,,,
340, 국도원,,,
341, 무문광,,,
342, 니키 팰런,,,
343, 이안규,,,
344, 미키 데자키,,,
345, 제이 바루첼,,,
346, 피에르 꼬팽,,,
347, 김광태,,,
348, 데이비드 가렛,,,
349, 빌리 레이,,,
350, 크리스토프 갬플,,,
351, 임효겸,,,
352, 하정우,,,
353,류승완,,,
354, 강성훈,,,
355, 에스더 비알라스,,,
356, 크리스토퍼 파파칼리아티스,,,
357, 아미노 테츠로,,,
358, 로망 뒤리스,,,
359, 박일호,,,
360, 김진철,,,
361, 윤준상,,,
362, 스콧 프랭크,,,
363, 루카 구아다니노,,,
364, 한상호,,,
365, 질스 파겟-브레너,,,
366, 나가이 아키라,,,
367, 조던 필,,,
368, 카르스텐 킬레리치,,,
369, 이상호,,,
370, 댄 트라첸버그,,,
371, 라울 가르시아,,,
372, 이민기,,,
373, 얀 라벡,,,
374, 나가미네 타츠야,,,
375, 마틴 맥도나,,,
376, 토마스 자보,,,
377, 이사랑,,,
378, 톰 크루즈,,,
379, 알렉산더 샤프,,,
380, 양경모,,,
381, 김용화,,,
382, 사이먼 킨버그,,,
383, 올리비에르 나카체,,,
384, 마이클 패터슨,,,
385, 안드레스 G. 슈에,,,
386, 레니 할린,,,
387, 존 파브로,,,
388, 앤드류 코헨,,,
389, 피터 손,,,
390, 수잔 비에르,,,
391, 로버트 렌스,,,
392, 스콧 쿠퍼,,,
393, 켈리 애스버리,,,
394, 곽범,,,
395, 시라이시 코지,,,
396, 저스틴 덱,,,
397, 제이슨 라이트맨,,,
398, 데이비드 O. 러셀,,,
399, 야마다 요지,,,
400, 크리스 리노드,,,
401, 헬렌 헌트,,,
402, 노나 그리스하에바,,,
403, 백승우,,,
404, 제프리 러쉬,,,
405, 스티븐 크보스키,,,
406, 전석호,,,
407, 최성현,,,
408, 임아론,,,
409, 마이크 데블린,,,
410, 다리나 슈미트,,,
411, 조지 클루니,,,
412, 세딕 니콜라스 트로얀,,,
413, 선호빈,,,
414, 김대승,,,
415, 가이 리치,,,
416, 엘리자베스 뱅크스,,,
417, 션 베이커,,,
418, T.O.P,,,
419, 에베라도 발레리오 구트,,,
420, 우치다 마아야,,,
421, 그렉 키니어,,,
422, 이창동,,,
423, 이선,,,
424, 데이빗 크렌츠,,,
425, 김종현,,,
426, 이연우,,,
427, 제니퍼 리,,,
428, 김재희,,,
429, 닐 버거,,,
430, 엘르 패닝,,,
431, 박보영,,,
432, 다미안 존 하퍼,,,
433, 크리스 로핑,,,
434, 잭 스나이더,,,
435, 박홍수,,,
436, 미야모토 히로아키,,,
437, 리처드 캔터,,,
438, 마테오 부와슬리에,,,
439, 리들리 스콧,,,
440, 트래비스 클러프,,,
441, 신재호,,,
442, 제임스 폴리,,,
443, 김휘,,,
444, 카세 료,,,
445, 리처드 링클레이터,,,
446, 벤 스틸러,,,
447, 츠마부키 사토시,,,
448, 스콧 힉스,,,
449, 노에미 르보브스키,,,
450, 휴 허드슨,,,
451, 댄 포겔맨,,,
452, 김태용,,,
453, 프란시스 닐슨,,,
454, 김병우,,,
455, 빈센트 케스텔루트,,,
456, 세르게이 보드로프,,,
457, 질 를르슈,,,
458, 강효진,,,
459, 수잔나 포겔,,,
460, 박영균,,,
461, 키이라 나이틀리,,,
462, 윤준형,,,
463, 뤽 다르덴,,,
464, 콜린 퍼스,,,
465, 알렉상드르 헤보얀,,,
466, 올리비에 아사야스,,,
467, 닐스 타베니어,,,
468, 신현원,,,
469, 야쿠와 신노스케,,,
470, 조엘 코엔,,,
471, 최동훈,,,
472, 정주리,,,
473, 벤자민 레너,,,
474, 스콧 모지어,,,
475, 마이클 쿠에스타,,,
476, 마대윤,,,
477, 퍼시 애들론,,,
478, 네드 벤슨,,,
479, 전윤수,,,
480, 로저 도널드슨,,,
481, 알베르토 로드리게즈,,,
482, 존 레쿼,,,
483, 타이 버렐,,,
484, 한재림,,,
485, 나초 라 까사,,,
486, 강지은,,,
487, 로렌스 라노프,,,
488, 신아가,,,
489, 조쉬 베이커,,,
490, 최승호,,,
491, 노먼 퍼거슨,,,
492, 크리스찬 두가이,,,
493, 천우희,,,
494, 조석현,,,
495, 존 폴슨,,,
496, 롭 엡스타인,,,
497, 백승빈,,,
498, 라이언 존슨,,,
499, 김진수,,,
500, 매튜 맥커너히,,,
501, 매즈 미켈슨,,,
502, 맥스 조셉,,,
503, 송해성,,,
504, 레오 카락스,,,
505, 이원석,,,
506, 정병길,,,
507, 안병기,,,
508, 노엘 클리어리,,,
509, 아델 에그자르코풀로스,,,
510, 줄리아 하트,,,
511, 귀욤 고익스,,,
512, 김윤석,,,
513, 추상미,,,
514, 가와세 나오미,,,
515, 한승우,,,
516, 장재혁,,,
517, 윌 아넷,,,
518, 이나 예블라니코바,,,
519, 이현주,,,
520, 니콜라이 퓰시,,,
521, 츠키카와 쇼,,,
522, 윤가은,,,
523, 테라모토 유키요,,,
524, 오오스기 요시히로,,,
525, 장유정,,,
526, 데이미언 셔젤,,,
527, 브래들리 쿠퍼,,,
528, 우묘,,,
529, 론 하워드,,,
530, 제임스 맨골드,,,
531, 치웨텔 에지오포,,,
532, 기예르모 델 토로,,,
533, 로빈 윌리엄스,,,
534, 브라이언 피,,,
535, 딩 스,,,
536, 신카이 마코토,,,
537, 자코 반 도마엘,,,
538, 필 존스턴,,,
539, 랄프 파인즈,,,
540, 장준환,,,
541, 라이언 플렉,,,
542, 안드레이 갈랏,,,
543, 레지스 로인사드,,,
544, 돈 E. 폰트르로이,,,
545, 브렛 설리반,,,
546, 이지원,,,
547, 데이빗 맥킨지,,,
548, 홍석재,,,
549, 캐서린 비글로우,,,
550, 나가사키 켄지,,,
551, 다카하시 와타루,,,
552, 메간 폭스,,,
553, 매니 에르난데스,,,
554, 리건,,,
555, 나현,,,
556, 피터 레페니오티스,,,
557, 밥 퍼시케티,,,
558, 딜런 오브라이언,,,
559, 이창재,,,
560, 노동석,,,
561, 레반 가브리아제,,,
562, 밥 두셋,,,
563, 레니 에이브러햄슨,,,
564, 레베카 밀러,,,
565, 나오미 포너,,,
566, 벤 르윈,,,
567, 라스무스 A. 실버르센,,,
568, 안노 히데아키,,,
569, 릭 로먼 워,,,
570, 나루시마 이즈루,,,
571, 오즈 야스지로,,,
572, 마츠모토 리카,,,
573, 하시모토 마사카즈,,,
574, 이재규,,,
575, 장창원,,,
576, 더그 스윗랜드,,,
577, 권오중,,,
578, 토머스 얀,,,
579, 전일우,,,
