,actor,필모그래피 개수,천만관객 뱃지 유무,수상 개수
1026, 퍼렐 윌리엄스,,,
1027, 라디카 압테,,,
1028, 캠 지갠뎃,,,
1029, AJ 버클리,,,
1030, 토비 존스,,,
1031, 조지 해리슨,,,
1032, 찰스 그로딘,,,
1033, 아론 에크하트,,,
1034, 클라이브 오웬,,,
1035, 소연,,,
1036, 칼라 구기노,,,
1037, 타나카 마유미,,,
1038, 지나 말론,,,
1039, 이명박,,,
1040, 바네사 커비,,,
1041, 다니 로비라,,,
1042, 오브리 플라자,,,
1043, 손수호,,,
1044, 린-마누엘 미란다,,,
1045, 에밀리 왓슨,,,
1046, 노아 주프,,,
1047, 프랑소와 모렐,,,
1048, 이주창,,,
1049, 메이지 윌리암스,,,
1050, 요시노 히로유키,,,
1051, 데이빗 벨,,,
1052, 피터 사스가드,,,
1053, 제니퍼 엘,,,
1054, 윤종훈,,,
1055, 최지우,,,
1056, 케이트 보스워스,,,
1057, 하용조,,,
1058, 이주실,,,
1059, 아르투 드 팡게른,,,
1060, 재지 비츠,,,
1061, 홍상표,,,
1062, 지대한,,,
1063, 다니엘 비서티,,,
1064, 이태리,,,
1065, 주석희,,,
1066, 렌,,,
1067, 제임스 마스던,,,
1068, 미셀 도커리,,,
1069, 타카츠키 사라,,,
1070, 양자경,,,
1071, 누미 라파스,,,
1072, 폴 니콜스,,,
1073, 이하나,,,
1074, 무카이 오사무,,,
1075, 하비에르 드롤라스,,,
1076, 벤 킹슬리,,,
1077, 줄리엣 비노쉬,,,
1078, 라미란,,,
1079, 엘리자베스 리저,,,
1080, 세스 그린,,,
1081, 하승엽,,,
1082, 올리비아 쿡,,,
1083, 샘 오취리,,,
1084, 앤디 샘버그,,,
1085, 김미랑,,,
1086, 정시연,,,
1087, 미나세 이노리,,,
1088, 애너리즈 바쏘,,,
1089, 진경,,,
1090, 안토니 파딜라,,,
1091, 김선혜,,,
1092, 진기주,,,
1093, 이안 찰슨,,,
1094, 박소담,,,
1095, RM,,,
1096, 페토 메나헴,,,
1097, 주노 템플,,,
1098, 조하은,,,
1099, 코니 브리튼,,,
1100, 황뢰,,,
1101, 핀 화이트헤드,,,
1102, 코바야시 카오루,,,
1103, 트레이스 에드킨스,,,
1104, 메디 사둔,,,
1105, CCH 파운더,,,
1106, 이새봄,,,
1107, 제이미 블랙리,,,
1108, 오오츠카 사에,,,
1109, 박성웅,,,
1110, 곽현화,,,
1111, 김지원,,,
1112, 크리스 J. 머레이,,,
1113, 알렉산더 디퍼시아,,,
1114, 에밀리 라타이코프스키,,,
1115, 제이크 맥더맨,,,
1116, 유혜정,,,
1117, 이경태,,,
1118, 카라 델레바인,,,
1119, 서홍석,,,
1120, 페오도르 아킨,,,
1121, 무라세 아유무,,,
1122, 앵거스 샘슨,,,
1123, 최다인,,,
1124, 박조호,,,
1125, 브래드 스웨일,,,
1126, 박복형,,,
1127, 김명준,,,
1128, 갤 가돗,,,
1129, 소메타니 쇼타,,,
1130, 루안 에머라,,,
1131, 칼리 헤르난데스,,,
1132, 딜란 맥더모트,,,
1133, 타카기 히토시,,,
1134, 김수미,,,
1135, 임슬옹,,,
1136, 니콜라스 케이지,,,
1137, 밥,,,
1138, 황미영,,,
1139, 실베스터 스탤론,,,
1140, 봉만대,,,
1141, 고토 사오리,,,
1142, 이재현,,,
1143, RJ 사일러,,,
1144, 나카무라 치에,,,
1145, 박신양,,,
1146, 아유쉬만 커라나,,,
1147, 제인 폰다,,,
1148, 로베르토 베니니,,,
1149, 카미시라이시 모네,,,
1150, 제이슨 클락,,,
1151, 우치다 아야,,,
1152, 장쯔이,,,
1153, 디 월리스,,,
1154, 아리무라 카스미,,,
1155, 장다운,,,
1156, 론 샤바놀,,,
1157, 코유 랜킨,,,
1158, 조쉬 딜란,,,
1159, 제미마 웨스트,,,
1160, 아그네스 브루크너,,,
1161, 빌 머레이,,,
1162, 크리스틴 위그,,,
1163, 더모트 멀로니,,,
1164, 레이 스티븐슨,,,
1165, 엄채영,,,
1166, T.J. 밀러,,,
1167, 전광주,,,
1168, 샤이니,,,
1169, 주디 데이비스,,,
1170, 조 샐다나,,,
1171, 욜랜드 모로,,,
1172, 로건 레먼,,,
1173, 진혜림,,,
1174, 김현지,,,
1175, 리차드 젠킨스,,,
1176, 이주원,,,
1177, 최유화,,,
1178, 리오 겐,,,
1179, 우치다 카라,,,
1180, 강은애,,,
1181, 폴린 에티엔,,,
1182, 루크 브레이시,,,
1183, 보이드 홀브룩,,,
1184, 켈리 마리 트란,,,
1185, 루비 로즈,,,
1186, 박순동,,,
1187, 데이브 존스,,,
1188, 클레어 포이,,,
1189, 루크 고스,,,
1190, 웨스 로빈슨,,,
1191, 유다인,,,
1192, 헤일리 베넷,,,
1193, 칼라 피터슨,,,
1194, 뷔,,,
1195, 카가와 테루유키,,,
1196, 성민철,,,
1197, 자레드 해리스,,,
1198, 하윤경,,,
1199, 드리아 드 마테오,,,
1200, 사카타 리카코,,,
1201, 박보영,,,
1202, 요시유키 카즈코,,,
1203, 유대형,,,
1204, 월튼 고긴스,,,
1205, 곽설부,,,
1206, 잭 블랙,,,
1207, 니시모토 리미,,,
1208, 프레디 하이모어,,,
1209, 쿠보 유리카,,,
1210, 김한주,,,
1211, 김새론,,,
1212, 제프리 탬버,,,
1213, 노아 스납,,,
1214, 이제훈,,,
1215, 칼릴 해리스,,,
1216, 류이치 사카모토,,,
1217, 소주연,,,
1218, 스털링 제린스,,,
1219, 안소니 마키,,,
1220, 스콧 애짓,,,
1221, 미켈 폴스라르,,,
1222, 안도규,,,
1223, 박금분,,,
1224, 성완경,,,
1225, 엘리자베스 모버그,,,
1226, 자크 검블린,,,
1227, 마리아 시드,,,
1228, 론 펄먼,,,
1229, 하지원,,,
1230, 혁,,,
1231, 산자르 마디에브,,,
1232, 마리아 푸할테,,,
1233, 자레드 길만,,,
1234, 마일스 트루잇,,,
1235, 브렌단 글리슨,,,
1236, 킨죠 야마토,,,
1237, 매켄지 포이,,,
1238, 기욤 갈리엔,,,
1239, 룰루 윌슨,,,
1240, 브랜던 스콧,,,
1241, 존 쿠삭,,,
1242, 케이티 홈즈,,,
1243, 박기웅,,,
1244, 권상우,,,
1245, 유동균,,,
1246, 잭 로던,,,
1247, 마크 스트롱,,,
1248, 크리스틴 돈런,,,
1249, 빌리 하울,,,
1250, 조세핀 자피,,,
1251, 오지호,,,
1252, 크리스티안 울멘,,,
1253, 루크 에반스,,,
1254, 제임스 코든,,,
1255, 이원순,,,
1256, 폴 지아마티,,,
1257, 임지규,,,
1258, 벤 스틸러,,,
1259, 스테이시 마틴,,,
1260, 자스민 리긴스,,,
1261, 데이빗 A.R. 화이트,,,
1262, 이남규,,,
1263, 레이 로마노,,,
1264, 베니시오 델 토로,,,
1265, 카일리 커란,,,
1266, 토니 헤일,,,
1267, 이항나,,,
1268, 최하나,,,
1269, 세토 코지,,,
1270, 릴리 레이브,,,
1271, 덴젤 워싱턴,,,
1272, 올웬 캐서린 켈리,,,
1273, 이계인,,,
1274, 제이슨 리,,,
1275, 에디 이자드,,,
1276, 태런 에저튼,,,
1277, 카토 에미리,,,
1278, 랜디 셸리,,,
1279, 케링턴 페인,,,
1280, 로라 하드독,,,
1281, 여욱환,,,
1282, 서인국,,,
1283, 에반젤린 릴리,,,
1284, 시리 닐센,,,
1285, 제이든 스미스,,,
1286, 칼리 포프,,,
1287, 경첨,,,
1288, 이현진,,,
1289, 로버트 네퍼,,,
1290, 알리슨 필,,,
1291, 이병헌,,,
1292, 벤 애플렉,,,
1293, 노아 자베드라,,,
1294, 에릭 토스티,,,
1295, 지성,,,
1296, 히라타 히로아키,,,
1297, 하타나카 타스쿠,,,
1298, 오셔 잭슨 주니어,,,
1299, 토요나가 토시유키,,,
1300, 조쉬 루카스,,,
1301, 재커리 퀸토,,,
1302, 김수안,,,
1303, 올리비아 데종,,,
1304, 젬마 찬,,,
1305, 세바스티안 시삭,,,
1306, 도널 글리슨,,,
1307, 카린 비아르,,,
1308, 매튜 리즈,,,
1309, 유리,,,
1310, 김도영,,,
1311, 데이빗 스트래던,,,
1312, 모리카와 토시유키,,,
1313, 야오 카즈키,,,
1314, 마츠오카 요시츠구,,,
1315, 고대영,,,
1316, 모건 프리먼,,,
1317, 케빈 지거스,,,
1318, 짐 캐리,,,
1319, 찰리 헌냄,,,
1320, 리코 로드리게스,,,
1321, 니콜라이 킨스키,,,
1322, 케이트 업톤,,,
1323, 왕대륙,,,
1324, 케이틀린 올슨,,,
1325, 임하진,,,
1326, 패트릭 뎀시,,,
1327, 서다혜,,,
1328, 사미르 구에스미,,,
1329, 올랜도 블룸,,,
1330, 실로 페르난데즈,,,
1331, 석승훈,,,
1332, 마크 톰슨,,,
1333, 대니얼 대 킴,,,
1334, 안젤라베이비,,,
1335, 타니야마 키쇼,,,
1336, 키리타니 미레이,,,
1337, 저스틴 롱,,,
1338, 채서진,,,
1339, 소피 드 퓌어스트,,,
1340, 혜리,,,
1341, 오크스 페글리,,,
1342, 안종덕,,,
1343, 멜리사 조안 하트,,,
1344, 스티븐 스트레이트,,,
1345, 존 크래신스키,,,
1346, 제레미 레너,,,
1347, 이세은,,,
1348, 왕지혜,,,
1349, 오스카 아이삭,,,
1350, 존 리스고,,,
1351, 이사벨라 모너,,,
1352, 린제이 던칸,,,
1353, 배창복,,,
1354, 시모지 시노,,,
1355, 패트리샤 히튼,,,
1356, 박상훈,,,
1357, 폴 러드,,,
1358, 장 뒤자르댕,,,
1359, 엠마 스톤,,,
1360, 로레인 투세인트,,,
1361, 김윤석,,,
1362, 정애연,,,
1363, 스티브 스털리,,,
1364, 케이트리오나 발피,,,
1365, 김나니,,,
1366, 헤일리 스콰이어,,,
1367, 50 센트,,,
1368, 모리쿠보 쇼타로,,,
1369, 코너 코롬,,,
1370, 케이티 크라운,,,
1371, 제레미 어바인,,,
1372, 메리 루이스 파커,,,
1373, 로버트 캐러딘,,,
1374, 버트 컬버,,,
1375, 사라 포레스티에,,,
1376, 팀 블레이크 넬슨,,,
1377, 원효초,,,
1378, 이인성,,,
1379, 데보라 프랑소와,,,
1380, 제이크 존슨,,,
1381, 조나 힐,,,
1382, 티모시 스폴,,,
1383, 프랭크 란젤라,,,
1384, 엠마누엘 리바,,,
1385, 캐서린 테이트,,,
1386, 에단 호크,,,
1387,한석규,,,
1388, 장혁,,,
1389, 브릿 쇼,,,
1390, 안도 마사노부,,,
1391, 토마스 크레취만,,,
1392, 칼럼 터너,,,
1393, 이슬,,,
1394, 백승환,,,
1395, 샤를리즈 테론,,,
1396, 야마야 카스미,,,
1397, 조슈아 J. 발라드,,,
1398, 루이사나 로필라토,,,
1399, 이나미 안쥬,,,
1400, 샘 워싱턴,,,
1401, 에린 모리아티,,,
1402, 김민경,,,
1403, 맥스 데이어,,,
1404, 장 도르메송,,,
1405, 김성규,,,
1406, 마크 모라한,,,
1407, 우정신,,,
1408, 제이홉,,,
1409, 소피 오코네도,,,
1410, 제이슨 아이삭스,,,
1411, 오달수,,,
1412, 로자먼드 파이크,,,
1413, 성은,,,
1414, 양정화,,,
1415, 차지연,,,
1416, 윤안나,,,
1417, 데이빗 듈리스,,,
1418, 지현우,,,
1419, 스티븐 딜레인,,,
1420, 크리스토퍼 월켄,,,
1421, 폴 브래니건,,,
1422, 마이클 페나,,,
1423, 아미아 밀러,,,
1424, 래피 캐시디,,,
1425, 우디 앨런,,,
1426, 공리,,,
1427, 찰리 로우,,,
1428, 바이올렛 빈,,,
1429, 앨리시아 벨라 베일리,,,
1430, 조던 캘러웨이,,,
1431, 앤드류 가필드,,,
1432, 카미야 히로시,,,
1433, 지수,,,
1434, 안톤 옐친,,,
1435, 휴 그랜트,,,
1436, 핌차녹 류위셋파이분,,,
1437, 사카키 히데오,,,
1438, 나카무라 유코,,,
1439, 이지현,,,
1440, 정해인,,,
1441, 엠버 허드,,,
1442, 알렉산더 굴드,,,
1443, 브리 라슨,,,
1444, 이관희,,,
1445, 프레더릭 피에롯,,,
1446, 메릴 스트립,,,
1447, 세레나 그랜디,,,
1448, 아이미,,,
1449, 엘르 패닝,,,
1450, 조용주,,,
1451, 마리아 카스트로,,,
1452, 토비 맥과이어,,,
1453, 김민성,,,
1454, 유연석,,,
1455, 이상범,,,
1456, 하하,,,
1457, 아오야기 쇼,,,
1458, 올리비아 와일드,,,
1459, 제프리 라이트,,,
1460, 마그 헬젠버거,,,
1461, 보아,,,
1462, 헤라 힐마,,,
1463, 고성희,,,
1464, 스베리르 구드나손,,,
1465, 이현욱,,,
1466, 폴 베타니,,,
1467, 마샤 게이 하든,,,
1468, 손상연,,,
1469, 하룡이,,,
1470, 마르게타 이글로바,,,
1471, 안장혁,,,
1472, 데이몬 웨이언스 주니어,,,
1473, 미셸 모나한,,,
1474, 에드 해리스,,,
1475, 힐러리 더프,,,
1476, 벤 위쇼,,,
1477, 자크 길포드,,,
1478, 류점희,,,
1479, 데브 파텔,,,
1480, 일리야 함초프,,,
1481, 간정예,,,
1482, 마핫 M. 알리,,,
1483, 김성오,,,
1484, 로리 홀든,,,
1485, 릴리 콜린스,,,
1486, 토니 샬호브,,,
1487, 로버트 드 니로,,,
1488, 숀 애스틴,,,
1489, 민승우,,,
1490, 안세하,,,
1491, 바크하드 압디,,,
1492, 김민교,,,
1493, 에이든 러브캠프,,,
1494, 문소리,,,
1495, 올리버 마수치,,,
1496, 조나단 프라이스,,,
1497, 브라이스 게이사르,,,
1498, 나오미 해리스,,,
1499, 산제이 더트,,,
1500, 이기복,,,
1501, 정의한,,,
1502, 강민준,,,
1503, 하시즈메 이사오,,,
1504, 필립 느와레,,,
1505, 마들렌 비손,,,
1506, 모세 제이콥 스톰,,,
1507, 폴 뉴먼,,,
1508, 김영철,,,
1509, 크리스 헴스워스,,,
1510, 경수진,,,
1511, 김향기,,,
1512, 대악악,,,
1513, 나가노 메이,,,
1514, 홍시호,,,
1515, 밀라 쿠니스,,,
1516, 박근형,,,
1517, 야시로 타쿠,,,
1518, 에리카 크리스틴슨,,,
1519, 토머스 도니,,,
1520, 크리스티앙 클라비에,,,
1521, 스즈키 타츠히사,,,
1522, 론다 로우지,,,
1523, 조미래,,,
1524, 정두언,,,
1525, 김기철,,,
1526, 김두선,,,
1527, 꼼빠이 세군도,,,
1528, 케이트 델 카스틸로,,,
1529, 짐 스터게스,,,
1530, 이진희,,,
1531, 타이론 블론디어,,,
1532, 아론 크렙스,,,
1533, 카리스마 카펜터,,,
1534, 김한나,,,
1535, 알리나 라니나,,,
1536, 구구 바샤-로,,,
1537, 패트릭 스웨이지,,,
1538, 임시완,,,
1539, 강진아,,,
1540, 연우진,,,
1541, 홍은희,,,
1542, 수잔 듀어든,,,
1543, 시다 미라이,,,
1544, 루니 마라,,,
1545, 빅토리아,,,
1546, 고츠 오토,,,
1547, 라일리 코프,,,
1548, 헨리 골딩,,,
1549, 안드레아 덱,,,
1550, 마오,,,
1551, 주원,,,
1552, 탕웨이,,,
1553, 차논 산티네톤쿨,,,
1554, 이주영,,,
1555, 마이클 섀넌,,,
1556, 탁원정,,,
1557, 짐 커밍스,,,
1558, 카일 챈들러,,,
1559, 콤 미니,,,
1560, 권문정,,,
1561, 케브 아담스,,,
1562, 김갑수,,,
1563, 피 부,,,
1564, 정재영,,,
1565, 전무송,,,
1566, 개리,,,
1567, 이정은,,,
1568, 최민수,,,
1569, 김희찬,,,
1570, 킴 딜레이니,,,
1571, 설현,,,
1572, 아론 재커리 필립스,,,
1573, 아놀드 슈왈제네거,,,
1574, 가렛 딜라헌트,,,
1575, 케이트 윈슬렛,,,
1576, 조경숙,,,
1577, 안나 르마르샹,,,
1578, 댄 스티븐스,,,
1579, 양방언,,,
1580, 케이틀린 디아스,,,
1581, 카일리 로저스,,,
1582, 송준석,,,
1583, 제시카 하퍼,,,
1584, 배리 케오간,,,
1585, 김윤진,,,
1586, 케빈 구스리,,,
1587, 헬무트 베르거,,,
1588, 김준현,,,
1589, 김지훈,,,
1590, 브리지트 포시,,,
1591, 토마스 생스터,,,
1592, 안현서,,,
1593, 페가 페리도니,,,
1594, 이지형,,,
1595, 피터 린츠,,,
1596, 김준,,,
1597, 카드 므라드,,,
1598, 조쉬 펙,,,
1599, 크리스 서랜던,,,
1600, 마이크 폴락,,,
1601, 몽가혜,,,
1602, 김은아,,,
1603, 알렉산드르 일린,,,
1604, 헤로니모 임,,,
1605, 사토 타케루,,,
1606, 캐리 앤 모스,,,
1607, 임현식,,,
1608, 리 톰슨,,,
1609, 호소야 요시마사,,,
1610, 곽시양,,,
1611, 정지훈,,,
1612, 장성범,,,
1613, 쿠니치 노무라,,,
1614, 제임스 앨런 맥퀸,,,
1615, 그레타 거윅,,,
1616, 사라 보웰,,,
1617, 이지아,,,
1618, 카지 유우키,,,
1619, 나오미 스콧,,,
1620, 후쿠야마 쥰,,,
1621, 엘리자베스 롬,,,
1622, 황재원,,,
1623, 고보결,,,
1624, 박정민,,,
1625, 유덕화,,,
1626, 휴고 위빙,,,
1627, 한석규,,,
1628, 니키 바칼리,,,
1629, 티아 마이피,,,
1630, 김하영,,,
1631, 유세형,,,
1632, 마이클 키튼,,,
1633, 프레드 세비지,,,
1634, 최민재,,,
1635, 트래반트 로즈,,,
1636, 칸이치로,,,
1637, 김무열,,,
1638, 다니엘 데이 루이스,,,
1639, 저메인 클레멘트,,,
1640, 빈센트 도노프리오,,,
1641, 미셸 로드리게즈,,,
1642, 마이카 먼로,,,
1643, 윤찬영,,,
1644, 박근록,,,
1645, 라스무스 하디커,,,
1646, 하야시바라 메구미,,,
1647, 차태현,,,
1648, 필립 글래스,,,
1649, 줄리 월터스,,,
1650, 주지훈,,,
1651, 박해일,,,
1652, 강혜정,,,
1653, 니노 카스텔누오보,,,
1654, 베라 파미가,,,
1655, 안소희,,,
1656, 마리야 미로노바,,,
1657, 제이콥 트렘블레이,,,
1658, 줄리안 허프,,,
1659, 마이클 오그,,,
1660, 이디나 멘젤,,,
1661, 강동원,,,
1662, 야마모토 미즈키,,,
1663, 안젤리카 베일,,,
1664, 로라 치아티,,,
1665, 로렌스 피시번,,,
1666, 제이슨 서디키스,,,
1667, 마이클 무어,,,
1668, 나가세 마사토시,,,
1669, 야마데라 코이치,,,
1670, 에모토 아키라,,,
1671, 타마시로 티나,,,
1672, 히가시데 마사히로,,,
1673, 아나 지라르도,,,
1674, 디에고 루나,,,
1675, 마가렛 피사렉,,,
1676, 제임스 스페이더,,,
1677, 이태경,,,
1678, 브루노 마스,,,
1679, 키언 존슨,,,
1680, 크리스틴 스튜어트,,,
1681, 신구,,,
1682, 박소영,,,
1683, 나탈리 베이,,,
1684, 박서준,,,
1685, 이리노 미유,,,
1686, 권소현,,,
1687, 션 헤이즈,,,
1688, 더글러스 부스,,,
1689, 카롤리나 바르체,,,
1690, 정선혜,,,
1691, 김민정,,,
1692, 지창욱,,,
1693, 김시아,,,
1694, 리카르도 알라니스,,,
1695, 벤 크로스,,,
1696, 필라르 로페스 데 아얄라,,,
1697, 다누쉬,,,
1698, 로망 뒤리스,,,
1699, 데이빗 월튼,,,
1700, 엑셀 프랄,,,
1701, 정원창,,,
1702, 임창정,,,
1703, 캐머런 영,,,
1704, 코니 닐슨,,,
1705, 정우식,,,
1706, 사이먼 페그,,,
1707, 잭 브라이트,,,
1708, 브루스 윌리스,,,
1709, 산페이 유코,,,
1710, 코야마 리키야,,,
1711, 사이토 슈카,,,
1712, 해나 존-케이먼,,,
1713, 가브리엘 유니온,,,
1714, 유해진,,,
1715, 엠마 테이트,,,
1716, 사문영,,,
1717, 브렌든 프레이저,,,
1718, 다이고 코타로,,,
1719, 진세연,,,
1720, 레이 파크,,,
1721, 윤제문,,,
1722, 제레미 아이언스,,,
1723, 데이빗 알루,,,
1724, 클리프톤 콜린스 주니어,,,
1725, 조성하,,,
1726, 칼리 쿠오코,,,
1727, 조지나 제인,,,
1728, 김소희,,,
1729, 양정원,,,
1730, 벤 스몰,,,
1731, 플로렌스 포레스티,,,
1732, 카를로스 블랑코,,,
1733, 슈가,,,
1734, 제커리 레비,,,
1735, 최준영,,,
1736, 다니엘 칼루야,,,
1737, 폴라 패튼,,,
1738, 잔느 모로,,,
1739, 나카죠 아야미,,,
1740, 마크 해밀,,,
1741, 하나자와 카나,,,
1742, 크리스 프랫,,,
1743, 사라 스누크,,,
1744, 박영화,,,
1745, 톰 윌킨슨,,,
1746, 이완 맥그리거,,,
1747, 데이비드 웬햄,,,
1748, 스티브 부세미,,,
1749, 크리스티안 맥케이,,,
1750, 타도코로 아즈사,,,
1751, 난죠 요시노,,,
1752, 하마베 미나미,,,
1753, 이예원,,,
1754, 루카 치코바니,,,
1755, 톈위,,,
1756, 제라르딘 나카체,,,
1757, 김민희,,,
1758, 카일 맥라클란,,,
1759, 밀리 바비 브라운,,,
1760, 시스틴 로즈 스탤론,,,
1761, 루시 펀치,,,
1762, 제임스 카비젤,,,
1763, 엠마뉴엘 잘,,,
1764, 이규창,,,
1765, 조시 게드,,,
1766, 랄프 슈미츠,,,
1767, 티파니 해디쉬,,,
1768, 유동근,,,
1769, 오오시마 유코,,,
1770, 요코하마 류세이,,,
1771, 이범수,,,
1772, 정준원,,,
1773, 제이미 캠벨 바우어,,,
1774, 신경선,,,
1775, 사라 테일러,,,
1776, 김현수,,,
1777, 맨디 파틴킨,,,
1778, 헨리 토마스,,,
1779, 홍민아,,,
1780, 신세경,,,
1781, 엠바이어 칠더스,,,
1782, 테드 맥긴리,,,
1783, 프레야 메이버,,,
1784, 캐서린 제타-존스,,,
1785, 김율,,,
1786, 김가빈,,,
1787, 김래원,,,
1788, 김상중,,,
1789, 배정미,,,
1790, 마츠유키 야스코,,,
1791, 폴 브라이언트,,,
1792, 니콜라스 파렐,,,
1793, 수시 울드,,,
1794, 에이사 곤살레스,,,
1795, 토비어스 멘지스,,,
1796, 에바 노블자다,,,
1797, 코바야시 아이카,,,
1798, 이자벨 위페르,,,
1799, 랜디 웨인,,,
1800, 린다 카델리니,,,
1801, 고마츠 나나,,,
1802, 남상일,,,
1803, 사이몬 필립스,,,
1804, 엄지원,,,
1805, 시아란 힌즈,,,
1806, 유승호,,,
1807, 에스미 마키코,,,
1808, 이소은,,,
1809, 야나기 미키,,,
1810, 카롤리나 비드라,,,
1811, 엘리자베스 올린,,,
1812, 김현욱,,,
1813, 알 파치노,,,
1814, 키타 카나,,,
1815, 니콜라스 홀트,,,
1816, 타티아나 빌헬모바,,,
1817, 치치 마린,,,
1818, 저스틴 채트윈,,,
1819, 프란세스 드 라 투어,,,
1820, 이학주,,,
1821, 박성광,,,
1822, 박해수,,,
1823, 아드리안 팔리키,,,
1824, 르자,,,
1825, 스테파니 비트리즈,,,
1826, 장광,,,
1827, 길해연,,,
1828, 벨라 손,,,
1829, 장병관,,,
1830, 프라파스 콜사라논,,,
1831, 켄 정,,,
1832, 제임스 얼 존스,,,
1833, 벤 프라이스,,,
1834, 리타 시디퀴,,,
1835, 체비 체이스,,,
1836, 멜 깁슨,,,
1837, 터커 알브리지,,,
1838, 니콜 프로보스트,,,
1839, 에즈라 밀러,,,
1840, 클랜시 브라운,,,
1841, 가스파르 울리엘,,,
1842, 서예지,,,
1843, 발 킬머,,,
1844, 조예신,,,
1845, 홍익표,,,
1846, 유수호,,,
1847, 김하연,,,
1848, 최성은,,,
1849, 김태환,,,
1850, 오마라 포르투온도,,,
1851, 에드워드 노튼,,,
1852, 로란트 도이취,,,
1853, 마이크 보겔,,,
1854, 구교환,,,
1855, 레이첼 맥아담스,,,
1856, 스즈키 아이나,,,
1857, 슝다이린,,,
1858, 마이클 C. 홀,,,
1859, 강소라,,,
1860, 레일라 분야삭,,,
1861, 이자벨라 비도빅,,,
1862, 장 피에르 바크리,,,
1863, 류덕환,,,
1864, 코빈 리드,,,
1865, 태성,,,
1866, 최윤영,,,
1867, 수잔 서랜든,,,
1868, 조진웅,,,
1869, 장민혁,,,
1870, 로몰라 가레이,,,
1871, 팜케 얀센,,,
1872, 권성혁,,,
1873, 이영석,,,
1874, 나탈리아 레이즈,,,
1875, 최우식,,,
1876, 이코 우웨이스,,,
1877, 리차드 매든,,,
1878, 크리스티나 헨드릭스,,,
1879, 구잘 투르수노바,,,
1880, 나문희,,,
1881, 버나 펠턴,,,
1882, 더스틴 호프만,,,
1883, 테노크 휴에타,,,
1884, 믹키 섬너,,,
1885, 가인,,,
1886, 헤일리 루 리차드슨,,,
1887, 에드 스크레인,,,
1888, 존 호키스,,,
1889, 유지원,,,
1890, 택연,,,
1891, 바하르 파르스,,,
1892, 고서희,,,
1893, 공명,,,
1894, 곽희성,,,
1895, 김보영,,,
1896, 세바스찬 스탠,,,
1897, 코리 스톨,,,
1898, 토타니 키미토,,,
1899, 이종우,,,
1900, 제이미 정,,,
1901, 강계열,,,
1902, 서영화,,,
1903, 롭 브라이든,,,
1904, 지오바니 리비시,,,
1905, 주디 그리어,,,
1906, 루비 반힐,,,
1907, 이자벨 까레,,,
1908, 이청아,,,
1909, 임주환,,,
1910, 라스 울리히,,,
1911, 에디뜨 스꼽,,,
1912, 박누가,,,
1913, 알란 터딕,,,
1914, 에이미 슈머,,,
1915, 미쉘 윌리엄스,,,
1916, 오연수,,,
1917, 이시이 안나,,,
1918, 비 스크릿 위셋케우,,,
1919, 안소니 홉킨스,,,
1920, 비올라 데이비스,,,
1921, 히라이즈미 세이,,,
1922, 조지나 헤이그,,,
1923, 장기용,,,
1924, 마크 이바니어,,,
1925, 이민지,,,
1926, 오카무라 아케미,,,
1927, 김지혜,,,
1928, 장 르노,,,
1929, 풍소봉,,,
1930, 강석우,,,
1931, J. 마이클 핀리,,,
1932, 에바 그린,,,
1933, 한지민,,,
1934, 전지현,,,
1935, 파브리스 루치니,,,
1936, 로버트 포스터,,,
1937, 할리 베리,,,
1938, 수지,,,
1939, 셜리 맥클레인,,,
1940, 엘다르 바간,,,
1941, 타무라 무츠미,,,
1942, 노에미 르보브스키,,,
1943, 오노 켄쇼,,,
1944, 손호준,,,
1945, 시에나 밀러,,,
1946, 오키아유 료타로,,,
1947, 샤니 빈슨,,,
1948, 강문,,,
1949, 조니 녹스빌,,,
1950, 헤더 로클리어,,,
1951, 윌리엄 잭슨 하퍼,,,
1952, 전여빈,,,
1953, 이정구,,,
1954, 브느와 마지멜,,,
1955, 쿠스다 아이나,,,
1956, 샐리 호킨스,,,
1957, 바크하드 압디라만,,,
1958, 케이트 마라,,,
1959, 장동건,,,
1960, 죠 카이리,,,
1961, 로버트 다우니 주니어,,,
1962, 사이토 슈스케,,,
1963, 제시 테일러 퍼거슨,,,
1964, 우치야마 코우키,,,
1965, 이종걸,,,
1966, 플로리안 데이비드 핏츠,,,
1967, 변종필,,,
1968, 강봉성,,,
1969, 빌 헤이더,,,
1970, 김성균,,,
1971, 모리 나나,,,
1972, 김진홍,,,
1973, 지미 펄론,,,
1974, 도미닉 파리,,,
1975, 박상면,,,
1976, 이지영,,,
1977, 케이트 맥키넌,,,
1978, 김영선,,,
1979, 닉 로빈슨,,,
1980, 전태열,,,
1981, 김장,,,
1982, 헨리 카빌,,,
1983, 찰스 댄스,,,
1984, 세키네 츠토무,,,
1985, 임서주,,,
1986, 이현우,,,
1987, 김민규,,,
1988, 커스틴 던스트,,,
1989, 이와미 마나카,,,
1990, 스티븐 아멜,,,
1991, 고형원,,,
1992, 패트릭 윌슨,,,
1993, 윤학병,,,
1994, 공형진,,,
1995, 황원,,,
1996, 오오쿠치 켄고,,,
1997, 스티브 잔,,,
1998, 헌프리 토페라,,,
1999, 이제인,,,
2000, 유재명,,,
2001, 타카스기 마히로,,,
2002, 드니 라방,,,
2003, 코지마 리리아,,,
2004, 빌 나이,,,
2005, 일리야 크보스티코브,,,
2006, 이경영,,,
2007, 정상훈,,,
