rank,name,date,sales ,sales_share,boxoffice_num,num_of_screen,num_of_screenings,nation,rep_nation,distributor
1,베테랑,2015.8.5,"105,168,155,250",6.10%,"13,414,009","1,115","199,231",한국,한국,(주)씨제이이엔엠
2,암살,2015.7.22,"98,463,132,781",5.70%,"12,705,700","1,519","175,185",한국,한국,(주)쇼박스
3,어벤져스: 에이지 오브 울트론,2015.4.23,"88,582,586,366",5.20%,"10,494,499","1,843","191,778",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
4,국제시장,2014.12.17,"69,841,376,134",4.10%,"8,915,904","1,044","149,061",한국,한국,(주)씨제이이엔엠
5,내부자들,2015.11.19,"56,465,665,657",3.30%,"7,055,332","1,129","152,265",한국,한국,(주)쇼박스
6,사도,2015.9.16,"48,842,902,501",2.80%,"6,246,849","1,210","124,246",한국,한국,(주)쇼박스
7,킹스맨 : 시크릿 에이전트,2015.2.11,"50,369,009,795",2.90%,"6,129,681",728,"139,988",미국,"미국,영국",이십세기폭스코리아(주)
8,미션 임파서블: 로그네이션,2015.7.30,"48,547,353,607",2.80%,"6,126,488","1,202","89,682",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
9,연평해전,2015.6.24,"45,563,228,330",2.70%,"6,043,784","1,013","114,450",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
10,쥬라기 월드,2015.6.11,"47,800,698,826",2.80%,"5,546,792","1,290","118,959",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
11,검은 사제들,2015.11.5,"42,405,282,092",2.50%,"5,442,128","1,109","131,155",한국,한국,(주)씨제이이엔엠
12,히말라야,2015.12.16,"39,469,775,448",2.30%,"5,129,409","1,095","81,042",한국,한국,(주)씨제이이엔엠
13,인사이드 아웃,2015.7.9,"38,024,694,936",2.20%,"4,969,735",931,"84,000",미국,미국,월트디즈니컴퍼니코리아(주)
14,마션,2015.10.8,"39,663,145,295",2.30%,"4,880,800","1,132","114,183",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
15,조선명탐정 : 사라진 놉의 딸,2015.2.11,"30,456,879,428",1.80%,"3,872,015",825,"80,499",한국,한국,(주)쇼박스
16,매드 맥스: 분노의 도로,2015.5.14,"32,912,842,162",1.90%,"3,843,343",799,"98,824",미국,"미국,호주",워너브러더스 코리아(주)
17,인턴,2015.9.24,"28,517,727,148",1.70%,"3,610,564",659,"81,552",미국,미국,워너브러더스 코리아(주)
18,분노의 질주: 더 세븐,2015.4.1,"26,454,098,694",1.50%,"3,247,955",983,"93,612",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
19,터미네이터 제니시스,2015.7.2,"26,556,715,129",1.50%,"3,240,370","1,113","77,590",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
20,스물,2015.3.25,"23,563,421,686",1.40%,"3,044,811",926,"100,161",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
21,극비수사,2015.6.18,"22,389,535,897",1.30%,"2,860,786",894,"66,211",한국,한국,(주)쇼박스
22,앤트맨,2015.9.3,"23,529,209,937",1.40%,"2,841,795",949,"74,649",미국,"미국,영국",월트디즈니컴퍼니코리아(주)
