rank,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor
1,7번방의 선물,2013.1.23,"91,431,914,670",5.90%,"12,811,206",866,"166,815",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,설국열차,2013.8.1,"67,010,087,500",4.30%,"9,349,993","1,128","124,823",한국,"한국,체코",(주)씨제이이엔엠
3,관상,2013.9.11,"66,005,427,500",4.30%,"9,134,581","1,240","125,073",한국,한국,(주)쇼박스
4,아이언맨 3,2013.4.25,"70,806,364,000",4.60%,"9,001,331","1,389","163,584",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
5,베를린,2013.1.30,"52,355,568,637",3.40%,"7,166,290",894,"111,744",한국,"한국,독일",(주)씨제이이엔엠
