rank,name,date,sales ,sales_share,boxoffice_num,num_of_screen,num_of_screenings,nation,rep_nation,distributor
1,명량,2014.7.30,"135,748,398,910",8.20%,"17,613,682","1,587","188,611",한국,한국,(주)씨제이이엔엠
2,겨울왕국,2014.1.16,"82,461,504,400",5.00%,"10,296,101","1,010","157,683",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
3,인터스텔라,2014.11.6,"80,671,424,300",4.80%,"10,105,247","1,410","166,218",미국,"미국,영국",워너브러더스 코리아(주)
4,해적: 바다로 간 산적,2014.8.6,"66,370,682,706",4.00%,"8,666,046",910,"133,350",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
5,수상한 그녀,2014.1.22,"62,705,348,249",3.80%,"8,657,982","1,027","136,975",한국,한국,(주)씨제이이엔엠
6,변호인,2013.12.18,"41,918,383,800",2.50%,"5,687,571",925,"97,261",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,국제시장,2014.12.17,"41,089,567,596",2.50%,"5,345,677",966,"63,603",한국,한국,(주)씨제이이엔엠
8,트랜스포머: 사라진 시대,2014.6.25,"44,012,752,845",2.60%,"5,295,836","1,602","107,875",미국,미국,(주)씨제이이엔엠
9,군도: 민란의 시대,2014.7.23,"36,988,022,499",2.20%,"4,774,931","1,394","67,237",한국,한국,(주)쇼박스
10,엣지 오브 투모로우,2014.6.4,"38,732,961,201",2.30%,"4,699,307",801,"94,559",미국,미국,워너브러더스 코리아(주)
11,엑스맨: 데이즈 오브 퓨처 패스트,2014.5.22,"34,654,558,766",2.10%,"4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주)
12,어메이징 스파이더맨 2,2014.4.23,"34,869,101,800",2.10%,"4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
13,타짜-신의 손,2014.9.3,"32,373,120,927",1.90%,"4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
14,혹성탈출: 반격의 서막,2014.7.10,"31,514,053,095",1.90%,"4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주)
15,캡틴 아메리카: 윈터 솔져,2014.3.26,"31,711,040,385",1.90%,"3,963,251","1,106","110,109",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
16,역린,2014.4.30,"29,894,266,890",1.80%,"3,849,552","1,054","83,296",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
