idx,name,director1,director2,director3,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
32,말레피센트 2, 요아킴 뢰닝,,, 안젤리나 졸리, 엘르 패닝, 미셸 파이퍼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,유열의 음악앨범, 정지우,,, 김고은, 정해인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,퍼펙트맨, 마크 로즈만,,, 힐러리 더프, 헤더 로클리어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,포드 V 페라리, 제임스 맨골드,,, 맷 데이먼, 크리스찬 베일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"힘을 내요, 미스터 리", 이계벽,,, 차승원, 엄채영, 박해준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,항거:유관순 이야기, 조민호,,, 고아성, 김새벽, 김예은, 정하담, 류경수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,장사리 : 잊혀진 영웅들, 곽경택, 김태훈,, 김명민, 최민호, 김성철, 김인권, 곽시양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,마이펫의 이중생활 2, 크리스 리노드,,, 패튼 오스왈트, 케빈 하트, 제니 슬레이트, 에릭 스톤스트릿, 티파니 해디쉬, 레이크 벨, 해리슨 포드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,롱 리브 더 킹: 목포 영웅, 강윤성,,, 김래원, 원진아, 진선규, 최귀화,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,쥬만지: 넥스트 레벨, 제이크 캐스단,,, 드웨인 존슨, 잭 블랙, 케빈 하트, 카렌 길런,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,존 윅 3: 파라벨룸, 채드 스타헬스키,,, 키아누 리브스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,천문: 하늘에 묻는다, 허진호,,, 최민식, 한석규,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,나랏말싸미, 조철현,,, 송강호, 박해일, 전미선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,엑스맨: 다크 피닉스, 사이먼 킨버그,,, 제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스, 니콜라스 홀트, 소피 터너, 타이 쉐리던, 에반 피터스, 제시카 차스테인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,맨 인 블랙: 인터내셔널, F. 게리 그레이,,, 크리스 헴스워스, 테사 톰슨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,뽀로로 극장판 보물섬 대모험, 김현호, 윤창섭,, 이선, 이미자, 김현지, 홍소영, 정미숙, 김서영, 김환진, 남도형, 정승욱, 이장원, 황창영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,캣츠, 피터 보그다노비치,,, 커스틴 던스트, 캐리 엘위스, 에드워드 허먼, 에디 이자드, 조안나 럼리, 빅터 슬레작, 제니퍼 틸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,보헤미안 랩소디, 브라이언 싱어,,, 라미 말렉, 루시 보인턴, 귈림 리, 벤 하디, 조셉 마젤로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,명탐정 피카츄, 롭 레터맨,,, 라이언 레이놀즈, 저스티스 스미스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,신비아파트 극장판 하늘도깨비 대 요르문간드, 변영규,,, 조현정, 양정화, 김영은, 김채하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,나이브스 아웃, 라이언 존슨,,, 다니엘 크레이그, 크리스 에반스, 아나 디 아르마스, 제이미 리 커티스, 토니 콜렛, 마이클 섀넌, 돈 존슨, 키스 스탠필드, 캐서린 랭포드, 제이든 마텔, 크리스토퍼 플러머,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,샤잠!, 데이비드 F. 샌드버그,,, 제커리 레비, 애셔 앤젤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,날씨의 아이, 신카이 마코토,,, 심규혁, 김유림, 최한, 강은애, 이장원, 손정아, 다이고 코타로, 모리 나나, 오구리 슌, 혼다 츠바사, 히라이즈미 세이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,나를 찾아줘, 데이빗 핀처,,, 벤 애플렉, 로자먼드 파이크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,광대들: 풍문조작단, 김주호,,, 조진웅, 손현주, 박희순, 고창석, 김슬기, 윤박, 김민석,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,그것: 두 번째 이야기, 안드레스 무시에티,,, 빌 스카스가드, 제임스 맥어보이, 제시카 차스테인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,극장판 헬로카봇 : 달나라를 구해줘!, 최신규, 김진철,, 이지현, 김용준, 양정화, 조경이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,극장판 헬로카봇: 옴파로스 섬의 비밀, 최신규, 김진철,, 이지현, 김용준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,이스케이프 룸, 피터 듀크스,,, 크리스틴 돈런, 랜디 웨인, 스키트 울리치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,양자물리학, 이성태,,, 박해수, 서예지, 김상호, 김응수, 변희봉, 김영재, 이창훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,애드 아스트라, 제임스 그레이,,, 브래드 피트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,47미터 2, 요하네스 로버츠,,, 소피 넬리스, 시스틴 로즈 스탤론, 브리안느 쥬, 코린 폭스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PMC: 더 벙커, 김병우,,, 하정우, 이선균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,애나벨 집으로, 게리 도버먼,,, 패트릭 윌슨, 베라 파미가, 맥케나 그레이스, 매디슨 아이스먼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,감쪽같은 그녀, 허인무,,, 나문희, 김수안,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,글래스, 스콧 힉스,,, 필립 글래스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,그린 북, 피터 패럴리,,, 비고 모텐슨, 마허샬라 알리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,해피 데스데이 2 유, 크리스토퍼 랜던,,, 제시카 로테, 이스라엘 브로우사드, 피 부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,극장판 공룡메카드: 타이니소어의 섬, 최신규, 유재운,, 김서영, 엄상현, 안현서, 김장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,제미니 맨, 이안,,, 윌 스미스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,고질라: 킹 오브 몬스터, 마이클 도허티,,, 밀리 바비 브라운, 베라 파미가, 카일 챈들러,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,덤보, 벤 샤프스틴, 사무엘 암스트롱, 노먼 퍼거슨, 스테링 할러웨이, 허먼 빙, 버나 펠턴, 빌리 블레처,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,브링 더 소울 : 더 무비, 박준수,,, RM, 진, 슈가, 제이홉, 지민, 뷔, 정국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,아담스 패밀리, 그렉 티어난, 콘래드 버논,, 오스카 아이삭, 샤를리즈 테론, 클로이 모레츠, 닉 크롤, 제이본 워너 월튼, 스눕 독, 빌 헤이더,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,헬보이, 길예르모 델 토로,,, 론 펄먼, 존 허트, 셀마 블레어, 루퍼트 에반스, 카렐 로든, 제프리 탬버,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
