"","name","date","sales","sales_share","boxoffice_num","num_of_screen","rep_nation","nation","num_of_screenings","distributor","director1","director2","director3","director4","director5","director6","director7","actor1","actor2","actor3","actor4","actor5","actor6","actor7","actor8","actor9","actor10","actor11","actor12","actor13","actor14","actor15","actor16","date2","month","year","y","director8","director9","actor17","actor18","actor19","nation2"
"361","상류사회","2018.8.29","6,313,416,163","0.3%","768,442","867","41,725","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트","","","","","","","","","","","","","","","","","","","","","","","","0","08","2018",18,"","","","","","1"
"362","물괴","2018.9.12","6,106,452,954","0.3%","723,622","1,183","46,022","한국","한국","롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티"," 허종호","","","","","",""," 김명민"," 김인권"," 혜리"," 최우식","","","","","","","","","","","","","0","09","2018",18,"","","","","","1"
"363","미쓰백","2018.10.11","6,040,344,066","0.3%","722,182","671","41,961","한국","한국","(주)리틀빅픽쳐스"," 이지원","","","","","",""," 한지민"," 김시아"," 이희준","","","","","","","","","","","","","","0","10","2018",18,"","","","","","1"
"364","신비아파트: 금빛 도깨비와 비밀의 동굴","2018.7.25","5,001,247,250","0.3%","678,091","762","16,175","한국","한국","(주)씨제이이엔엠"," 김병갑","","","","","",""," 조현정"," 김영은"," 김채하"," 양정화","","","","","","","","","","","","","0","07","2018",18,"","","","","","1"
"365","퍼스트맨","2018.10.18","6,094,765,639","0.3%","665,364","1,190","40,580","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)"," 데이미언 셔젤","","","","","",""," 라이언 고슬링"," 클레어 포이","","","","","","","","","","","","","","","0","10","2018",18,"","","","","","2"
"366","스파이더맨: 뉴 유니버스","2018.12.12","5,305,289,076","0.3%","639,934","722","22,113","미국","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"," 밥 퍼시케티"," 피터 램지"," 로드니 로스맨","","","",""," 샤메익 무어"," 헤일리 스테인펠드"," 니콜라스 케이지"," 제이크 존슨"," 리브 슈라이버"," 마허샬라 알리"," 브라이언 타이리 헨리","","","","","","","","","","0","12","2018",18,"","","","","","2"
"367","위대한 쇼맨","2017.12.20","4,856,890,300","0.3%","588,434","444","16,054","미국","미국","월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"," 마이클 그레이시","","","","","",""," 휴 잭맨"," 잭 에프론"," 미셸 윌리엄스"," 레베카 퍼거슨"," 젠데이아 콜먼","","","","","","","","","","","","0","12","2017",18,"","","","","","2"
"368","인시디어스4: 라스트 키","2018.1.31","4,301,309,864","0.2%","554,521","769","23,869","미국","미국","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"," 애덤 로비텔","","","","","",""," 린 샤예"," 스펜서 로크"," 조쉬 스튜어트"," 하비에르 보텟","","","","","","","","","","","","","0","01","2018",18,"","","","","","2"
"369","그날, 바다","2018.4.12","4,446,000,528","0.2%","540,631","643","30,376","한국","한국","(주)엣나인필름"," 김지영","","","","","",""," 정우성","","","","","","","","","","","","","","","","0","04","2018",18,"","","","","","1"
"370","툼레이더","2018.3.8","4,500,905,762","0.2%","540,410","806","31,823","미국","미국","워너브러더스 코리아(주)"," 로아 우타우","","","","","",""," 알리시아 비칸데르","","","","","","","","","","","","","","","","0","03","2018",18,"","","","","","2"
"371","페르디난드","2018.1.3","3,854,216,500","0.2%","533,776","698","13,789","미국","미국","이십세기폭스코리아(주)"," 카를로스 살다나","","","","","",""," 존 시나","","","","","","","","","","","","","","","","0","01","2018",18,"","","","","","2"
"372","버닝","2018.5.17","4,716,771,098","0.3%","528,435","739","26,514","한국","한국","CGV아트하우스"," 이창동","","","","","",""," 유아인"," 스티븐 연"," 전종서","","","","","","","","","","","","","","0","05","2018",18,"","","","","","1"
"373","7년의 밤","2018.3.28","3,969,337,524","0.2%","528,007","872","26,804","한국","한국","(주)씨제이이엔엠"," 추창민","","","","","",""," 장동건"," 류승룡"," 송새벽"," 고경표","","","","","","","","","","","","","0","03","2018",18,"","","","","","1"
"374","메가로돈","2018.8.15","4,516,122,497","0.2%","527,962","601","16,459","미국","미국","워너브러더스 코리아(주)"," 존 터틀타웁","","","","","",""," 제이슨 스타뎀"," 레인 윌슨","","","","","","","","","","","","","","","0","08","2018",18,"","","","","","2"
"375","콰이어트 플레이스","2018.4.12","4,580,889,849","0.3%","526,073","677","30,760","미국","미국","롯데쇼핑㈜롯데엔터테인먼트"," 존 크래신스키","","","","","",""," 에밀리 블런트"," 킬리언 머피"," 밀리센트 시몬스"," 노아 주프","","","","","","","","","","","","","0","04","2018",18,"","","","","","2"
"376","호두까기 인형과 4개의 왕국","2018.12.6","4,120,048,900","0.2%","513,767","294","14,238","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 라세 할스트롬"," 조 존스톤","","","","",""," 키이라 나이틀리"," 매켄지 포이"," 헬렌 미렌"," 모건 프리먼","","","","","","","","","","","","","0","12","2018",18,"","","","","","2"
"377","셰이프 오브 워터: 사랑의 모양","2018.2.22","4,218,077,050","0.2%","507,102","404","20,200","미국","미국","이십세기폭스코리아(주)"," 기예르모 델 토로","","","","","",""," 샐리 호킨스"," 마이클 섀넌"," 리차드 젠킨스"," 옥타비아 스펜서"," 마이클 스털버그"," 더그 존스","","","","","","","","","","","0","02","2018",18,"","","","","","2"
"378","곰돌이 푸 다시 만나 행복해","2018.10.3","4,093,369,860","0.2%","492,201","536","21,601","미국","미국","월트디즈니컴퍼니코리아 유한책임회사"," 마크 포스터","","","","","",""," 이완 맥그리거"," 헤일리 앳웰"," 마크 게티스"," 짐 커밍스","","","","","","","","","","","","","0","10","2018",18,"","","","","","2"
"379","변산","2018.7.4","4,016,562,273","0.2%","490,519","763","27,504","한국","한국","메가박스중앙(주)플러스엠"," 이준익","","","","","",""," 박정민"," 김고은","","","","","","","","","","","","","","","0","07","2018",18,"","","","","","1"
"380","그린치","2018.12.19","3,675,441,950","0.2%","485,064","724","10,998","미국","미국","유니버설픽쳐스인터내셔널 코리아(유)"," 스콧 모지어"," 야로우 체니","","","","",""," 베네딕트 컴버배치"," 퍼렐 윌리엄스","","","","","","","","","","","","","","","0","12","2018",18,"","","","","","2"
"381","스타 이즈 본","2018.10.9","4,197,504,400","0.2%","483,852","555","25,781","미국","미국","워너브러더스 코리아(주)"," 브래들리 쿠퍼","","","","","",""," 브래들리 쿠퍼"," 레이디 가가","","","","","","","","","","","","","","","0","10","2018",18,"","","","","","2"
"382","동네사람들","2018.11.7","3,818,515,112","0.2%","461,693","731","23,598","한국","한국","(주)리틀빅픽쳐스"," 임진순","","","","","",""," 마동석"," 김새론","","","","","","","","","","","","","","","0","11","2018",18,"","","","","","1"
"383","원더풀 고스트","2018.9.26","3,720,931,600","0.2%","450,374","351","13,999","한국","한국","(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"," 조원희","","","","","",""," 마동석"," 김영광"," 이유영","","","","","","","","","","","","","","0","09","2018",18,"","","","","","1"
"384","강철비","2017.12.14","3,494,678,900","0.2%","438,447","602","13,598","한국","한국","(주)넥스트엔터테인먼트월드(NEW)"," 양우석","","","","","",""," 정우성"," 곽도원"," 유연석"," 앵거스 맥페이든","","","","","","","","","","","","","0","12","2017",18,"","","","","","1"
"385","흥부: 글로 세상을 바꾼 자","2018.2.14","3,381,050,200","0.2%","416,303","627","18,671","한국","한국","롯데쇼핑㈜롯데엔터테인먼트"," 조근현","","","","","",""," 정우"," 김주혁"," 정진영","","","","","","","","","","","","","","0","02","2018",18,"","","","","","1"
"386","명탐정 코난 : 제로의 집행인","2018.8.8","3,014,920,361","0.2%","396,230","542","8,770","일본","일본","(주)씨제이이엔엠"," 타치카와 유즈루","","","","","",""," 타카야마 미나미"," 야마자키 와카나"," 코야마 리키야","","","","","","","","","","","","","","0","08","2018",18,"","","","","","3"
"387","피터 래빗","2018.5.16","3,006,258,100","0.2%","388,300","599","12,522","미국","미국,영국,호주","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","","","","","","","","","","","","","","","","","","","","","","","","0","05","2018",18,"","","","","","2"
