rank,name,date,sales ,sales_share,boxoffice_num,num_of_screen,num_of_screenings,nation,rep_nation,distributor
1,신과함께-인과 연,2018.8.1,"102,666,146,909",5.7%,"12,274,996","2,235","179,981",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2,어벤져스: 인피니티 워,2018.4.25,"99,926,399,769",5.5%,"11,212,710","2,553","240,501",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,보헤미안 랩소디,2018.10.31,"80,010,440,345",4.4%,"9,224,582","1,179","204,537",미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
4,미션 임파서블: 폴아웃,2018.7.25,"55,888,375,112",3.1%,"6,584,915","1,957","101,374",미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
5,신과함께-죄와 벌,2017.12.20,"47,355,583,705",2.6%,"5,872,007","1,644","121,961",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
6,쥬라기 월드: 폴른 킹덤,2018.6.6,"49,770,711,037",2.7%,"5,661,128","1,972","144,779",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
7,앤트맨과 와스프,2018.7.4,"47,468,053,685",2.6%,"5,448,134","1,775","148,244",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,안시성,2018.9.19,"46,335,334,026",2.6%,"5,440,186","1,540","110,439",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,블랙 팬서,2018.2.14,"45,885,123,957",2.5%,"5,399,227","1,620","119,170",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,완벽한 타인,2018.10.31,"44,350,807,074",2.4%,"5,293,435","1,325","143,055",한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
11,1987,2017.12.27,"42,915,772,108",2.4%,"5,290,310","1,122","110,607",한국,한국,(주)씨제이이엔엠
12,독전,2018.5.22,"43,485,551,113",2.4%,"5,063,684","1,532","140,007",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
13,공작,2018.8.8,"42,788,851,176",2.4%,"4,974,520","1,317","99,001",한국,한국,(주)씨제이이엔엠
14,베놈,2018.10.3,"34,100,211,207",1.9%,"3,888,096","1,308","116,149",미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
15,암수살인,2018.10.3,"32,995,138,548",1.8%,"3,789,321","1,177","126,127",한국,한국,(주)쇼박스
16,데드풀 2,2018.5.16,"34,185,664,639",1.9%,"3,784,602","1,576","113,288",미국,미국,이십세기폭스코리아(주)
17,국가부도의 날,2018.11.28,"30,845,862,137",1.7%,"3,747,952","1,180","100,804",한국,한국,(주)씨제이이엔엠
18,코코,2018.1.11,"27,685,479,440",1.5%,"3,510,017","1,177","85,925",미국,미국,월트디즈니컴퍼니코리아 유한책임회사
19,아쿠아맨,2018.12.19,"30,454,292,381",1.7%,"3,491,857","1,285","54,505",미국,"미국,호주",워너브러더스 코리아(주)
20,그것만이 내 세상,2018.1.17,"27,450,805,382",1.5%,"3,419,339",956,"95,431",한국,한국,(주)씨제이이엔엠
