,name,nation,rep_nation,distributor,director1,director2,director3,director4,director5,director6,director7,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,month,year,director8,director9,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46,sales0,boxoffice_num0,num_of_screen0,num_of_screening0,nation2,num_of_ch,major_distributor,grade,time,genre
18,악인전,한국,한국,"(주)에이스메이커무비웍스,(주)키위미디어그룹", 이원태,,,,,,, 마동석, 김무열, 김성규,,,,,,,,,,,,,,5,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29133760150,3364712,1307,97351,한국,3,NA,청소년 관람불가,110, 범죄  액션 
19,가장 보통의 연애,한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김한결,,,,,,, 김래원, 공효진,,,,,,,,,,,,,,,10,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24885803430,2924563,1073,111527,한국,2,1,15세 관람가,109,    멜로/로맨스 
20,말모이,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 엄유나,,,,,,, 유해진, 윤계상,,,,,,,,,,,,,,,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23989598520,2866453,1311,87843,한국,2,1,12세 관람가,135, 드라마 
21,증인,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 페테르 바스코,,,,,,,,,,,,,,,,,,,,,,,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20482789331,2534748,1047,89564,한국,0,1,NA,112, 드라마 코미디 
22,시동,한국,한국,(주)넥스트엔터테인먼트월드(NEW), 최정열,,,,,,, 마동석, 박정민, 정해인, 염정아, 최성은,,,,,,,,,,,,12,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21236477800,2525986,1515,58603,한국,5,1,15세 관람가,102, 드라마 
23,블랙머니,한국,한국,(주)에이스메이커무비웍스, 크리스찬 세스마,,,,,,, 루크 고스, 발 킬머,,,,,,,,,,,,,,,11,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20863134010,2478964,1141,77469,한국,2,NA,NA,85, 범죄 스릴러 
24,터미네이터: 다크 페이트,미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 팀 밀러,,,,,,, 맥켄지 데이비스, 아놀드 슈왈제네거, 린다 해밀턴, 나탈리아 레이즈, 가브리엘 루나,,,,,,,,,,,,10,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20153895830,2409062,1315,81336,미국,5,1,15세 관람가,128,    sf  액션 
25,사바하,한국,한국,(주)씨제이이엔엠, 장재현,,,,,,, 이정재, 박정민, 이재인, 유지태,,,,,,,,,,,,,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20007508194,2398519,1174,78096,한국,4,1,15세 관람가,122, 미스터리  스릴러 
26,타짜: 원 아이드 잭,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트, 권오광,,,,,,, 박정민, 류승범, 최유화,,,,,,,,,,,,,,9,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19687029214,2229239,1429,66479,한국,3,1,청소년 관람불가,139,     범죄  드라마 
27,신의 한 수: 귀수편,한국,한국,(주)씨제이이엔엠, 리건,,,,,,, 권상우, 김희원, 김성균,,,,,,,,,,,,,,11,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18463776050,2157437,1246,82178,한국,3,1,15세 관람가,106,      범죄  액션 
28,알리타: 배틀 엔젤,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)", 로버트 로드리게즈,,,,,,, 로사 살라자르, 크리스토프 왈츠, 키언 존슨, 마허샬라 알리, 제니퍼 코넬리,,,,,,,,,,,,2,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18571455667,1952063,1043,52666,미국,5,1,12세 관람가,122,    액션  모험   멜로/로맨스  sf  스릴러 
29,내안의 그놈,한국,한국,"(주)메리크리스마스,TCO(주)더콘텐츠온", 강효진,,,,,,, 진영, 박성웅, 라미란,,,,,,,,,,,,,,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16420764567,1917999,1055,61752,한국,3,NA,15세 관람가,122,   판타지  코미디 
30,뺑반,한국,한국,(주)쇼박스, 한준희,,,,,,, 공효진, 류준열, 조정석,,,,,,,,,,,,,,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15224305848,1826912,1285,47215,한국,3,1,15세 관람가,133, 범죄  액션 
31,변신,한국,한국,(주)에이스메이커무비웍스, 장시림,,,,,,, 진백림, 곽설부, 오견,,,,,,,,,,,,,,8,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15417922925,1804112,975,63211,한국,3,NA,NA,94, 코미디 액션 판타지 
32,주먹왕 랄프 2: 인터넷 속으로,미국,미국,월트디즈니컴퍼니코리아 유한책임회사, 필 존스턴, 리치 무어,,,,,, 존 C. 라일리, 사라 실버맨, 제인 린치, 잭 맥브레이어,,,,,,,,,,,,,1,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13877029723,1754375,1453,56412,미국,4,1,전체 관람가,112,       애니메이션  모험  코미디  가족  sf 
33,걸캅스,한국,한국,(주)씨제이이엔엠, 정다원,,,,,,, 라미란, 이성경,,,,,,,,,,,,,,,5,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13812802134,1629528,973,63163,한국,2,1,15세 관람가,107, 코미디  액션 
34,사자,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,7,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12931566145,1611163,1405,47683,한국,0,1,15세 관람가,129, 미스터리  액션  판타지  공포 
