idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31
21,미스 페레그린과 이상한 아이들의 집,2016.9.28,"21,841,214,586",1.3%,"2,718,158",904,"70,451",미국,"미국,벨기에,영국",이십세기폭스코리아(주), 팀 버튼,,,, 에바 그린, 에이사 버터필드, 사무엘 L. 잭슨, 앨리슨 제니, 엘라 퍼넬, 주디 덴치, 킴 딕켄스, 크리스 오다우드,,,,,,,,,,,,,,,,,,,,,,,
22,히말라야,2015.12.16,"20,705,587,567",1.2%,"2,630,352",955,"61,673",한국,한국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,제이슨 본,2016.7.27,"21,253,434,663",1.2%,"2,611,966",827,"39,806",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 폴 그린그래스,,,, 맷 데이먼, 알리시아 비칸데르, 뱅상 카셀, 줄리아 스타일스, 토미 리 존스,,,,,,,,,,,,,,,,,,,,,,,,,,
24,도리를 찾아서,2016.7.6,"20,703,899,933",1.2%,"2,601,734","1,091","55,110",미국,미국,월트디즈니컴퍼니코리아(주), 앤드류 스탠튼,,,, 엘런 드제너러스, 앨버트 브룩스, 에드 오닐, 케이틀린 올슨, 헤이든 롤렌스, 이드리스 엘바, 도미닉 웨스트, 다이안 키튼,,,,,,,,,,,,,,,,,,,,,,,
25,아수라,2016.9.28,"20,576,226,662",1.2%,"2,594,028","1,278","68,040",한국,한국,(주)씨제이이엔엠, 김성수,,,, 정우성, 황정민, 주지훈, 곽도원,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,정글북,2016.6.9,"21,517,647,134",1.2%,"2,537,438",924,"59,041",미국,미국,월트디즈니컴퍼니코리아(주), 타파스 차크라바르티,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,마이펫의 이중생활,2016.8.3,"19,406,436,655",1.1%,"2,520,670",726,"39,653",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 크리스 리노드,,,, 패튼 오스왈트, 케빈 하트, 제니 슬레이트, 에릭 스톤스트릿, 티파니 해디쉬, 레이크 벨, 해리슨 포드,,,,,,,,,,,,,,,,,,,,,,,,
28,라라랜드,2016.12.7,"19,996,139,232",1.1%,"2,385,108",727,"56,408",미국,미국,판씨네마(주), 데이미언 셔젤,,,, 라이언 고슬링, 엠마 스톤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,"18,906,246,428",1.1%,"2,256,913","1,709","95,669",미국,미국,워너브러더스 코리아(주), 잭 스나이더,,,, 헨리 카빌, 벤 애플렉, 에이미 아담스, 로렌스 피시번, 제시 아이젠버그, 제레미 아이언스, 홀리 헌터, 갤 가돗, 로렌 코핸, 제프리 딘 모건, 제이슨 모모아, 에즈라 밀러, 다이안 레인,,,,,,,,,,,,,,,,,,
30,굿바이 싱글,2016.6.29,"16,912,706,195",1.0%,"2,108,273",841,"56,380",한국,한국,(주)쇼박스, 김태곤,,,, 김혜수, 마동석, 김현수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,봉이 김선달,2016.7.6,"16,227,052,642",0.9%,"2,051,277",942,"51,418",한국,한국,(주)씨제이이엔엠, 박대민,,,, 유승호, 조재현, 고창석, 라미란, 시우민,,,,,,,,,,,,,,,,,,,,,,,,,,
32,레버넌트: 죽음에서 돌아온 자,2016.1.14,"16,107,360,130",0.9%,"2,007,188",967,"55,063",미국,미국,이십세기폭스코리아(주), 알레한드로 곤잘레스 이냐리투,,,, 레오나르도 디카프리오, 톰 하디, 도널 글리슨, 윌 폴터,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,컨저링 2,2016.6.9,"15,759,374,229",0.9%,"1,928,605",640,"45,816",미국,미국,워너브러더스 코리아(주), 제임스 완,,,, 베라 파미가, 패트릭 윌슨, 프란카 포텐테, 프란시스 오코너, 매디슨 울프, 스털링 제린스,,,,,,,,,,,,,,,,,,,,,,,,,
34,내부자들: 디 오리지널,2015.12.31,"15,742,927,260",0.9%,"1,924,720",838,"45,697",한국,한국,(주)쇼박스, 우민호,,,, 이병헌, 조승우, 백윤식,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,수어사이드 스쿼드,2016.8.3,"15,874,111,188",0.9%,"1,898,220",823,"29,512",미국,미국,워너브러더스 코리아(주), 제임스 건,,,, 마고 로비, 이드리스 엘바, 존 시나, 조엘 킨나만, 실베스터 스탤론, 비올라 데이비스,,,,,,,,,,,,,,,,,,,,,,,,,
36,인디펜던스 데이 : 리써전스,2016.6.22,"12,770,879,840",0.7%,"1,500,830",926,"47,432",미국,미국,이십세기폭스코리아(주), 롤랜드 에머리히,,,, 빌 풀만, 리암 헴스워스, 제프 골드브럼, 비비카 A. 폭스, 제시 어셔, 조이 킹, 마이카 먼로, 샤를로뜨 갱스부르, 윌리암 피츠너,,,,,,,,,,,,,,,,,,,,,,
37,탐정 홍길동: 사라진 마을,2016.5.4,"11,516,170,845",0.7%,"1,430,885",764,"41,076",한국,한국,(주)씨제이이엔엠, 조성희,,,, 이제훈, 김성균,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,벤허,2016.9.14,"11,410,860,395",0.7%,"1,400,301",717,"38,941",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 마크 앳킨스,,,, 에드리언 보쳇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
