idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31
92,아기배달부 스토크,2016.12.7,"2,436,955,700",0.1%,"322,354",538,"9,388",미국,미국,워너브러더스 코리아(주), 니콜라스 스톨러, 더그 스윗랜드,,, 앤디 샘버그, 케이티 크라운, 켈시 그래머,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,캐롤,2016.2.4,"2,645,756,616",0.2%,"319,357",288,"11,092",미국,"미국,영국",CGV아트하우스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,위대한 소원,2016.4.21,"2,440,004,213",0.1%,"308,398",524,"22,769",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 남대중,,,, 류덕환, 김동영, 안재홍, 전노민, 전미선,,,,,,,,,,,,,,,,,,,,,,,,,,
95,스포트라이트,2016.2.24,"2,402,036,255",0.1%,"299,878",320,"13,482",미국,미국,(주)팝엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,구스범스,2016.1.14,"2,221,639,712",0.1%,"297,356",515,"13,477",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 아리 산델,,,, 웬디 맥렌던 커비, 매디슨 아이스먼, 제레미 레이 테일러, 칼릴 해리스, 켄 정,,,,,,,,,,,,,,,,,,,,,,,,,,
97,포인트 브레이크,2016.1.7,"2,323,707,051",0.1%,"294,320",409,"12,111",미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트", 캐서린 비글로우,,,, 키아누 리브스, 패트릭 스웨이지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,앨빈과 슈퍼밴드: 악동 어드벤처,2016.2.4,"2,125,772,200",0.1%,"292,495",380,"8,917",미국,미국,이십세기폭스코리아(주), 월트 베커,,,, 저스틴 롱, 제이슨 리, 매튜 그레이 구블러, 제시 맥카트니, 크리스티나 애플게이트, 칼리 쿠오코, 안나 페리스, 킴벌리 윌리엄스-페이슬리, 조쉬 그린, 토니 헤일, 벨라 손,,,,,,,,,,,,,,,,,,,,
99,혼숨,2016.10.26,"2,258,422,445",0.1%,"288,016",498,"14,510",한국,한국,(주)프레인글로벌, 이두환,,,, 류덕환, 조복래,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,극장판 안녕 자두야,2016.5.4,"2,137,638,000",0.1%,"280,406",523,"7,758",한국,한국,(주)씨제이이엔엠, 손석우,,,, 여민정, 양정화, 정유미, 김현지, 최준영, 정혜옥,,,,,,,,,,,,,,,,,,,,,,,,,
101,비밀은 없다,2016.6.23,"2,029,410,239",0.1%,"250,829",502,"14,749",한국,한국,(주)씨제이이엔엠, 이경미,,,, 손예진, 김주혁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,순정,2016.2.24,"1,738,293,033",0.1%,"240,484",467,"10,545",한국,한국,(주)리틀빅픽쳐스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,닌자터틀 : 어둠의 히어로,2016.6.16,"1,934,052,000",0.1%,"235,207",517,"13,943",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 데이브 그린,,,, 메간 폭스, 스티븐 아멜, 로라 리니, 윌 아넷,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,드림 쏭,2016.9.14,"1,826,269,700",0.1%,"234,387",399,"6,408",미국,미국,(주)이수C&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,독수리 에디,2016.4.7,"1,799,381,120",0.1%,"226,341",528,"17,411",미국,미국,이십세기폭스코리아(주), 덱스터 플레처,,,, 태런 에저튼, 휴 잭맨, 크리스토퍼 월켄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016.12.22,"1,666,637,400",0.1%,"219,047",480,"4,563",일본,일본,(주)이수C&E, 유야마 쿠니히코,,,, 이장원, 테라사키 유카, 이선호, 오오타니 이쿠에, 김현지, 심규혁, 조경이, 김영선, 우정신, 오인성, 문남숙, 신용우, 김하영, 강호철,,,,,,,,,,,,,,,,,
107,원피스 필름 골드,2016.12.8,"1,700,502,100",0.1%,"215,546",445,"6,730",일본,일본,(주)씨제이이엔엠, 미야모토 히로아키,,,, 타나카 마유미, 나카이 카즈야, 오카무라 아케미, 야마구치 캇페이, 히라타 히로아키, 오오타니 이쿠에, 야마구치 유리코, 야오 카즈키, 야마지 카즈히로, 쵸,,,,,,,,,,,,,,,,,,,,,
108,아이 엠 어 히어로,2016.9.21,"1,806,714,900",0.1%,"212,599",263,"8,536",일본,일본,(주)영화사 빅, 사토 신스케,,,, 오오이즈미 요, 나가사와 마사미, 아리무라 카스미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,남과 여,2016.2.25,"1,651,122,533",0.1%,"203,775",449,"9,790",한국,한국,(주)쇼박스, 이윤기,,,, 전도연, 공유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016.1.7,"1,472,866,700",0.1%,"202,538",350,"6,707",일본,일본,(주)넥스트엔터테인먼트월드(NEW), 하시모토 마사카즈,,,, 야지마 아키코, 후지와라 케이지, 나라하시 미키, 코오로기 사토미, 사카모토 마아야, 나미카와 다이스케,,,,,,,,,,,,,,,,,,,,,,,,,
111,"무현, 두 도시 이야기",2016.10.26,"1,511,430,600",0.1%,"192,668",136,"8,986",한국,한국,(주)모멘텀엔터테인먼트, 전인환,,,, 노무현, 김원명, 김하연, 백승영, 조덕희, 박영희, 장철영, 윤종훈, 이종우,,,,,,,,,,,,,,,,,,,,,,
112,글로리데이,2016.3.24,"1,485,342,868",0.1%,"189,221",494,"12,578",한국,한국,(주)엣나인필름, 최정열,,,, 지수, 수호, 류준열, 김희찬,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,노트북,2004.11.26,"1,505,476,700",0.1%,"182,633",148,"11,531",미국,미국,"(주)퍼스트런,TCO(주)더콘텐츠온,글뫼 주식회사,CJ ENM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,대호,2015.12.16,"1,385,096,300",0.1%,"178,574",409,"5,222",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 박훈정,,,, 최민식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,부활,2016.3.17,"1,247,191,600",0.1%,"176,122",136,"8,581",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,매직브러시,2016.5.4,"1,294,829,300",0.1%,"172,370",460,"5,404",중국,중국,(주)영화사 빅, 쯔씽 쫑,,,, 김서영, 김경희, 박상훈, 홍진욱,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,조이,2016.3.10,"1,378,007,200",0.1%,"172,253",405,"12,860",미국,미국,이십세기폭스코리아(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,대배우,2016.3.30,"1,246,200,228",0.1%,"169,984",474,"16,517",한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스", 석민우,,,, 오달수, 윤제문, 이경영,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,빅,2016.7.27,"1,176,116,720",0.1%,"161,196",332,"3,870",미국,"미국,인도",(주)이수C&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,달빛궁궐,2016.9.7,"1,147,863,700",0.1%,"153,097",425,"6,067",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김현주,,,, 김서영, 이하늬, 권율, 김슬기,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,어린왕자,2015.12.23,"1,142,087,833",0.1%,"150,512",368,"3,973",프랑스,프랑스,씨네그루(주)다우기술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,미스컨덕트,2016.3.30,"1,138,175,038",0.1%,"149,095",470,"12,017",미국,미국,"(주)박수엔터테인먼트,㈜코리아스크린", 시모사와 신타로,,,, 알 파치노, 안소니 홉킨스, 조쉬 더하멜, 이병헌,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,500일의 썸머,2010.1.21,"1,222,841,900",0.1%,"147,891",156,"5,851",미국,미국,"(주)스튜디오디에이치엘,(주)팝엔터테인먼트,이십세기폭스코리아(주)", 마크 웹,,,, 조셉 고든 레빗, 주이 디샤넬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,서울역,2016.8.17,"1,162,471,562",0.1%,"147,031",440,"8,054",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,13시간,2016.3.3,"1,170,500,514",0.1%,"145,952",380,"9,615",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 마이클 베이,,,, 존 크래신스키, 제임스 뱃지 데일, 맥스 마티니, 파블로 쉬레이버,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,자백,2016.10.13,"1,128,388,200",0.1%,"143,648",152,"6,071",한국,한국,(주)엣나인필름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,장난감이 살아있다,2016.9.7,"1,112,430,600",0.1%,"142,977",294,"4,346",아르헨티나,"아르헨티나,스페인","㈜코리아스크린,와이드 릴리즈(주)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,극장판 아이엠스타 : 꿈의 오디션!,2016.2.11,"1,048,246,100",0.1%,"141,351",254,"3,903",일본,일본,(주)씨제이이엔엠, 야노 유이치로,,,, 정혜원, 이용신, 김채하, 소연, 여윤미, 김보영, 이소은, 방연지, 임윤선, 이선, 최덕희, 위훈, 신용우, 김율, 박선영, 안영미, 한신, 유인나, 정유정, 모로호시 스미레, 타도코로 아즈사, 오오하시 아야카, 시모지 시노, 쿠로사와 토모요, 누마쿠라 마나미, 야스노 키요노, 미무라 유우나, 스자키 아야, 코토부키 미나코, 이시하라 카오리, 타카하시 미나미
129,플로렌스,2016.8.24,"1,079,970,100",0.1%,"139,717",382,"8,146",영국,영국,(주)이수C&E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,로빈슨 크루소,2016.9.7,"1,071,533,400",0.1%,"139,392",329,"4,326",벨기에,벨기에,(주)영화사 빅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,제 5침공,2016.2.25,"1,041,049,900",0.1%,"135,874",312,"5,195",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), J 블레이크슨,,,, 클로이 모레츠, 닉 로빈슨, 알렉스 로, 리브 슈라이버,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,극장판 꼬마버스 타요의 에이스 구출작전,2016.1.21,"905,899,900",0.1%,"135,398",200,"5,395",한국,한국,(주)아이코닉스, 류정우,,,, 문남숙, 정혜옥, 최하나, 김영선,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,대니쉬 걸,2016.2.17,"1,074,963,884",0.1%,"134,079",246,"5,683",미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유), 톰 후퍼,,,, 에디 레드메인, 알리시아 비칸데르, 앰버 허드,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,인생은 아름다워,1999.3.6,"847,806,900",0.0%,"127,325",147,"7,167",이탈리아,이탈리아,(주)키다리이엔티, 로베르토 베니니,,,, 로베르토 베니니, 니콜레타 브라스키,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,카페 소사이어티,2016.9.14,"1,047,396,666",0.1%,"126,460",199,"6,371",미국,미국,"찬란,CGV아트하우스", 우디 앨런,,,, 제시 아이젠버그, 크리스틴 스튜어트, 블레이크 라이블리,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,마이 리틀 자이언트,2016.8.10,"991,375,900",0.1%,"125,800",128,"3,409",미국,미국,월트디즈니컴퍼니코리아(주), 스티븐 스필버그,,,, 마크 라이런스, 루비 반힐, 레베카 홀, 빌 헤이더, 저메인 클레멘트,,,,,,,,,,,,,,,,,,,,,,,,,,
137,죽여주는 여자,2016.10.6,"884,865,300",0.1%,"121,444",317,"8,350",한국,한국,CGV아트하우스, 이재용,,,, 윤여정, 전무송, 윤계상,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,헤이트풀8,2016.1.7,"996,268,400",0.1%,"120,362",167,"4,761",미국,미국,(주)누리픽쳐스, 쿠엔틴 타란티노,,,, 사무엘 L. 잭슨, 커트 러셀, 제니퍼 제이슨 리, 월튼 고긴스, 데미안 비쉬어, 팀 로스, 마이클 매드슨, 브루스 던, 채닝 테이텀,,,,,,,,,,,,,,,,,,,,,,
139,감바의 대모험,2016.11.10,"874,685,700",0.1%,"117,488",400,"4,735",일본,일본,(주)영화사 빅, 카와무라 토모히로, 코모리 요시히로,,, 카지 유우키, 칸다 사야카, 타카기 와타루, 오오츠카 아키오, 이케다 슈이치, 타카토 야스히로, 후지와라 케이지, 야지마 아키코,,,,,,,,,,,,,,,,,,,,,,,
140,최강전사 미니특공대: 영웅의 탄생,2016.2.4,"877,875,200",0.1%,"117,170",349,"4,863",한국,한국,(주)삼지애니메이션, 이영준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,다이노소어 어드벤처 : 백악기 공룡대백과,2016.5.4,"854,091,000",0.0%,"112,242",325,"3,643",영국,영국,"(주)박수엔터테인먼트,(주)애니플러스", 닐 나이팅게일, 베리 쿡, 앤드류 코헨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,피터와 드래곤,2016.9.28,"865,600,600",0.0%,"109,137",167,"5,201",미국,미국,월트디즈니컴퍼니코리아(주), 데이빗 로워리,,,, 브라이스 달라스 하워드, 오크스 페글리, 웨스 벤틀리, 칼 어번, 로버트 레드포드,,,,,,,,,,,,,,,,,,,,,,,,,,
143,킹 오브 프리즘 (바이 프리티 리듬),2016.8.11,"859,771,500",0.0%,"103,852",53,"2,291",일본,일본,(주)박수엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,다이버전트 시리즈: 얼리전트,2016.5.12,"818,897,545",0.0%,"103,556",393,"7,611",미국,미국,(주)키다리이엔티, 로베르트 슈벤트케,,,, 쉐일린 우들리, 테오 제임스, 마일즈 텔러, 나오미 왓츠, 매기 큐, 조 크라비츠,,,,,,,,,,,,,,,,,,,,,,,,,
145,무서운 이야기 3 : 화성에서 온 소녀,2016.6.1,"784,148,500",0.0%,"97,804",317,"6,407",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김곡, 김선, 백승빈, 민규동, 임슬옹, 경수진, 박정민, 홍은희, 차지연,,,,,,,,,,,,,,,,,,,,,,,,,,
146,바스티유 데이,2016.10.13,"766,892,600",0.0%,"96,579",422,"10,270",미국,"미국,프랑스",롯데쇼핑㈜롯데엔터테인먼트, 제임스 왓킨스,,,, 이드리스 엘바, 리차드 매든, 샬롯 르 본,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,걷기왕,2016.10.20,"710,905,075",0.0%,"95,542",462,"10,476",한국,한국,CGV아트하우스, 백승화,,,, 심은경, 박주희,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,일사각오,2016.3.17,"682,581,500",0.0%,"94,767",66,"2,702",한국,한국,파이오니아21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,나의 산티아고,2016.7.14,"721,244,232",0.0%,"94,243",88,"3,431",독일,독일,(주)영화사 진진, 줄리아 폰 하인츠,,,, 데비드 스트리에소브, 마르티나 게덱, 카롤리네 슈허,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,본 투 비 블루,2016.6.9,"764,395,124",0.0%,"93,817",147,"4,842",캐나다,"캐나다,영국,미국",그린나래미디어(주), 로버트 뷔드로,,,, 에단 호크, 카르멘 에조고, 칼럼 키스 레니,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,태풍이 지나가고,2016.7.27,"772,484,972",0.0%,"93,005",72,"3,085",일본,일본,(주)티캐스트, 고레에다 히로카즈,,,, 아베 히로시, 키키 키린, 마키 요코, 요시자와 타이요,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,오베라는 남자,2016.5.25,"738,121,888",0.0%,"92,380",255,"4,471",스웨덴,스웨덴,"(주)싸이더스,(주)디스테이션", 하네스 홀름,,,, 롤프 라스가드, 바하르 파르스, 필립 버그, 이다 엥볼,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,크리미널,2016.6.22,"738,985,181",0.0%,"92,358",351,"7,018",영국,"영국,미국",(주)영화사 빅, 아리엘 브로멘,,,, 라이언 레이놀즈, 케빈 코스트너, 게리 올드만, 토미 리 존스, 갤 가돗, 앨리스 이브,,,,,,,,,,,,,,,,,,,,,,,,,
154,슈퍼 프렌즈,2016.8.10,"663,075,600",0.0%,"89,615",255,"2,483",한국,한국,(주)키다리이엔티, 이경호, 이원재,,, 변현우, 김지혜, 박조호, 서지연, 남도형, 홍진욱, 김승태,,,,,,,,,,,,,,,,,,,,,,,,
155,루돌프와 많이있어,2016.12.28,"682,883,600",0.0%,"89,510",375,"1,733",일본,일본,(주)씨제이이엔엠, 유야마 쿠니히코, 사카키바라 모토노리,,, 김율, 신용우, 홍범기, 시영준, 정유정, 김가령, 이노우에 마오, 스즈키 료헤이, 미즈키 나나, 오오츠카 아키오, 테라사키 유카,,,,,,,,,,,,,,,,,,,,
156,룸,2016.3.3,"700,569,900",0.0%,"87,673",333,"6,926",아일랜드,"아일랜드,캐나다","(주)팝엔터테인먼트,(주)영화사 빅", 레니 에이브러햄슨,,,, 브리 라슨, 제이콥 트렘블레이, 조안 알렌,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,포켓몬 더 무비 XY 후파: 광륜의 초마신,2015.12.23,"628,234,300",0.0%,"86,193",270,"2,524",일본,일본,(주)이수C&E, 유야마 쿠니히코,,,, 여민정, 이광수, 이선호, 마츠모토 리카, 오오타니 이쿠에,,,,,,,,,,,,,,,,,,,,,,,,,,
158,유스,2016.1.7,"663,547,600",0.0%,"85,363",65,"3,204",이탈리아,"이탈리아,프랑스,스위스,영국",그린나래미디어(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,다이노X 탐험대,2016.5.4,"642,526,900",0.0%,"83,319",348,"3,126",한국,한국,(주)이수C&E, 이동희,,,, 정준하, 하하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,로스트 인 더스트,2016.11.3,"633,772,822",0.0%,"81,236",354,"7,248",미국,미국,메가박스중앙(주)플러스엠, 데이빗 맥킨지,,,, 크리스 파인, 벤 포스터, 제프 브리지스, 케이티 믹슨,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,최악의 하루,2016.8.25,"639,959,190",0.0%,"80,754",199,"5,606",한국,한국,CGV아트하우스, 김종관,,,, 한예리, 이와세 료, 권율,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,오 마이 그랜파,2016.3.17,"632,806,532",0.0%,"79,701",396,"8,842",미국,미국,판씨네마(주), 댄 마저,,,, 로버트 드 니로, 잭 에프론, 줄리안 허프, 조이 도이치, 오브리 플라자,,,,,,,,,,,,,,,,,,,,,,,,,,
163,엽기적인 그녀 2,2016.5.12,"594,260,900",0.0%,"77,124",387,"6,132",한국,한국,(주)리틀빅픽쳐스, 조근식,,,, 차태현, 빅토리아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,하이큐!! 끝과 시작,2016.11.16,"544,846,000",0.0%,"75,704",130,"3,683",일본,일본,(주)팝엔터테인먼트, 미츠나카 스스무,,,, 무라세 아유무, 이시카와 카이토, 히노 사토시, 이리노 미유, 오카모토 노부히코, 호소야 요시마사,,,,,,,,,,,,,,,,,,,,,,,,,
165,라스트 위치 헌터,2015.12.30,"589,730,800",0.0%,"72,481",278,"2,843",미국,미국,TCO(주)더콘텐츠온, 브렉 에이즈너,,,, 빈 디젤, 로즈 레슬리, 일라이저 우드,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,언더월드: 블러드 워,2016.11.30,"567,567,100",0.0%,"72,071",183,"4,953",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 안나 포에스터,,,, 케이트 베킨세일, 테오 제임스, 토비어스 멘지스, 찰스 댄스, 앨리시아 벨라 베일리, 브래들리 제임스,,,,,,,,,,,,,,,,,,,,,,,,,
167,선생님의 일기,2016.11.2,"498,454,200",0.0%,"71,297",163,"6,544",태국,태국,"(주)드림팩트엔터테인먼트,(주)미로스페이스", 니티왓 다라톤,,,, 레일라 분야삭, 비 스크릿 위셋케우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,세상에서 고양이가 사라진다면,2016.11.9,"504,349,200",0.0%,"70,424",175,"4,349",일본,일본,(주)크리픽쳐스, 나가이 아키라,,,, 사토 타케루, 미야자키 아오이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,2016.9.28,"420,233,500",0.0%,"69,881",164,"3,061",영국,영국,와이드 릴리즈(주), 다라 오코넬,,,, 하성용, 정재헌, 엄상현, 윤승희, 김정은, 유동균, 김율, 한경화,,,,,,,,,,,,,,,,,,,,,,,
170,어카운턴트,2016.10.13,"548,544,928",0.0%,"69,529",375,"6,965",미국,미국,워너브러더스 코리아(주), 게빈 오코너,,,, 벤 애플렉, 안나 켄드릭, J.K. 시몬스, 존 번탈,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,번개맨,2016.2.11,"517,127,000",0.0%,"69,363",393,"4,644",한국,한국,(주)키다리이엔티,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,이퀄스,2016.8.31,"519,972,300",0.0%,"68,902",357,"6,177",미국,미국,(주)키다리이엔티, 켄타나 H. 쿠야스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,스티브 잡스,2016.1.21,"535,351,276",0.0%,"68,815",384,"6,396",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,아이엠스타 뮤직어워드,2016.9.14,"455,696,500",0.0%,"67,027",358,"3,019",일본,일본,(주)씨제이이엔엠, 와타다 신야,,,, 정유정, 김새해, 김영은, 정유미, 정혜원, 김채하, 소연, 위훈,,,,,,,,,,,,,,,,,,,,,,,
175,올레,2016.8.25,"522,938,900",0.0%,"66,883",338,"5,126",한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,리틀메딕: 몸속탐험대,2016.11.24,"515,053,700",0.0%,"66,562",291,"2,442",독일,독일,(주)팝엔터테인먼트, 피터 클라릿지,,,, 엘피 도넬리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,데몰리션,2016.7.13,"544,916,821",0.0%,"66,473",198,"3,673",미국,미국,(주)리틀빅픽쳐스, 장 마크 발레,,,, 제이크 질렌할, 나오미 왓츠, 크리스 쿠퍼, 헤더 린드,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,레터스 투 갓,2016.2.25,"432,604,300",0.0%,"66,250",119,"2,297",미국,미국,(주)모멘텀엔터테인먼트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,2016.11.3,"503,900,800",0.0%,"64,622",406,"3,805",일본,일본,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,트럼보,2016.4.7,"487,002,100",0.0%,"61,964",310,"5,064",미국,미국,"그린나래미디어(주),(주)프레인글로벌", 피터 아스킨,,,, 조안 알렌, 데이빗 스트래던,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,2016.2.25,"361,596,000",0.0%,"60,977",155,"2,091",영국,영국,와이드 릴리즈(주), 다라 오코넬,,,, 하성용, 정재헌, 엄상현, 윤승희, 김정은, 유동균, 김율, 한경화,,,,,,,,,,,,,,,,,,,,,,,
182,두 남자,2016.11.30,"459,566,121",0.0%,"60,365",397,"7,199",한국,한국,(주)키다리이엔티, 이성태,,,, 마동석, 최민호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,극장판 도라에몽: 신 진구의 버스 오브 재팬,2016.12.21,"453,920,100",0.0%,"59,147",282,"2,136",일본,일본,(주)넥스트엔터테인먼트월드(NEW), 야쿠와 신노스케,,,, 채민지, 김정아, 최낙윤, 이현주, 조현정, 곽규미, 김현욱, 김민정,,,,,,,,,,,,,,,,,,,,,,,
184,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,2016.6.2,"350,932,000",0.0%,"58,619",162,"2,313",영국,영국,와이드 릴리즈(주), 다라 오코넬,,,, 하성용, 정재헌, 엄상현, 윤승희, 김정은, 유동균, 김율, 한경화,,,,,,,,,,,,,,,,,,,,,,,
185,죽은 시인의 사회,1990.5.19,"435,056,700",0.0%,"57,789",92,"2,163",미국,미국,"(주)디스테이션,(주)드림팩트엔터테인먼트,브에나비스타픽쳐스", 피터 위어,,,, 로빈 윌리엄스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,더 보이,2016.6.1,"450,554,821",0.0%,"56,959",186,"2,417",미국,미국,(주)리틀빅픽쳐스, 크레이그 맥닐,,,, 마이크 보겔, 줄레이카 로빈슨, 레인 윌슨, 데이빗 모스, 빌 세이지, 에이든 러브캠프,,,,,,,,,,,,,,,,,,,,,,,,,
187,극장판 프랭키와 친구들: 생명의 나무,2016.4.13,"410,560,600",0.0%,"56,842",258,"2,763",한국,한국,예지림엔터테인먼트, 박정오,,,, 이소은, 안영미, 김민정, 최승훈,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,그물,2016.10.6,"426,185,300",0.0%,"56,541",381,"6,278",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,드레스메이커,2016.2.11,"447,353,000",0.0%,"56,316",176,"3,058",호주,호주,(주)리틀빅픽쳐스, 조셀린 무어하우스,,,, 케이트 윈슬렛, 주디 데이비스, 리암 헴스워스,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,비포 선라이즈,1996.3.30,"455,476,053",0.0%,"56,082",142,"5,072",미국,"미국,오스트리아 ,스위스",(주)드림팩트엔터테인먼트, 리처드 링클레이터,,,, 에단 호크, 줄리 델피,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,빅뱅 메이드,2016.6.30,"466,486,700",0.0%,"55,582",56,"1,794",한국,한국,씨제이 씨지브이(CJ CGV)(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,백설공주 : 사라진 아빠를 찾아서,2016.9.29,"425,994,300",0.0%,"55,355",213,"1,961",중국,중국,예지림엔터테인먼트, 벤 차오,,,, 이제인, 사문영, 박상훈, 장병관, 이승준,,,,,,,,,,,,,,,,,,,,,,,,,,
193,불의 전차,2016.6.16,"387,302,100",0.0%,"55,051",84,"2,093",영국,영국,"(주)라이크콘텐츠,(주)프레인글로벌", 휴 허드슨,,,, 벤 크로스, 이안 찰슨, 니콜라스 파렐, 나이젤 하버스, 다니엘 제롤,,,,,,,,,,,,,,,,,,,,,,,,,,
