idx,rank,name,date,sales,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13
0,0,명량,2014.7.30,"135,748,398,910",8.20%,"17,613,682","1,587","188,611",한국,한국,(주)씨제이이엔엠, 김한민,,, 최민식, 류승룡, 조진웅,,,,,,,,,,,
1,1,겨울왕국,2014.1.16,"82,461,504,400",5.00%,"10,296,101","1,010","157,683",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),,,,,,,,,,,,,,,,,
2,2,인터스텔라,2014.11.6,"80,671,424,300",4.80%,"10,105,247","1,410","166,218",미국,"미국,영국",워너브러더스 코리아(주), 크리스토퍼 놀란,,, 매튜 맥커너히, 앤 해서웨이, 마이클 케인, 제시카 차스테인,,,,,,,,,,
3,3,해적: 바다로 간 산적,2014.8.6,"66,370,682,706",4.00%,"8,666,046",910,"133,350",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이석훈,,, 김남길, 손예진,,,,,,,,,,,,
4,4,수상한 그녀,2014.1.22,"62,705,348,249",3.80%,"8,657,982","1,027","136,975",한국,한국,(주)씨제이이엔엠, 황동혁,,, 심은경, 나문희, 박인환, 성동일, 이진욱,,,,,,,,,
5,5,변호인,2013.12.18,"41,918,383,800",2.50%,"5,687,571",925,"97,261",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 양우석,,, 송강호, 김영애, 오달수, 곽도원, 임시완,,,,,,,,,
6,6,국제시장,2014.12.17,"41,089,567,596",2.50%,"5,345,677",966,"63,603",한국,한국,(주)씨제이이엔엠, 윤제균,,, 황정민, 김윤진, 오달수, 정진영,,,,,,,,,,
7,7,트랜스포머: 사라진 시대,2014.6.25,"44,012,752,845",2.60%,"5,295,836","1,602","107,875",미국,미국,(주)씨제이이엔엠, 마이클 베이,,, 마크 월버그, 니콜라 펠츠, 잭 레이너, 스탠리 투치, 리빙빙,,,,,,,,,
8,8,군도: 민란의 시대,2014.7.23,"36,988,022,499",2.20%,"4,774,931","1,394","67,237",한국,한국,(주)쇼박스, 윤종빈,,, 하정우, 강동원,,,,,,,,,,,,
9,9,엣지 오브 투모로우,2014.6.4,"38,732,961,201",2.30%,"4,699,307",801,"94,559",미국,미국,워너브러더스 코리아(주), 더그 라이만,,, 톰 크루즈, 에밀리 블런트, 빌 팩스톤,,,,,,,,,,,
