idx,rank,name,date,sales,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13
10,10,엑스맨: 데이즈 오브 퓨처 패스트,2014.5.22,"34,654,558,766",2.10%,"4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주), 브라이언 싱어,,, 휴 잭맨, 제임스 맥어보이, 마이클 패스벤더, 제니퍼 로렌스,,,,,,,,,,
11,11,어메이징 스파이더맨 2,2014.4.23,"34,869,101,800",2.10%,"4,168,353","1,312","91,715",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 마크 웹,,, 앤드류 가필드, 엠마 스톤,,,,,,,,,,,,
12,12,타짜-신의 손,2014.9.3,"32,373,120,927",1.90%,"4,015,361",890,"80,584",한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스", 강형철,,, T.O.P, 신세경, 곽도원, 이하늬,,,,,,,,,,
13,13,혹성탈출: 반격의 서막,2014.7.10,"31,514,053,095",1.90%,"4,002,560",956,"72,881",미국,미국,이십세기폭스코리아(주), 맷 리브스,,, 앤디 서키스, 게리 올드만, 제이슨 클락, 주디 그리어, 케리 러셀,,,,,,,,,
14,14,캡틴 아메리카: 윈터 솔져,2014.3.26,"31,711,040,385",1.90%,"3,963,251","1,106","110,109",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 조 루소, 안소니 루소,, 크리스 에반스, 스칼릿 조핸슨, 사무엘 L. 잭슨,,,,,,,,,,,
15,15,역린,2014.4.30,"29,894,266,890",1.80%,"3,849,552","1,054","83,296",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이재규,,, 현빈, 정재영, 조정석, 조재현, 한지민,,,,,,,,,
16,16,"님아, 그 강을 건너지 마오",2014.11.27,"29,845,829,479",1.80%,"3,846,378",806,"67,170",한국,한국,"CGV아트하우스,(주)대명문화공장", 진모영,,, 조병만, 강계열,,,,,,,,,,,,
17,17,신의 한 수,2014.7.3,"28,812,027,456",1.70%,"3,566,852",794,"77,109",한국,한국,(주)쇼박스,,,,,,,,,,,,,,,,,
18,18,끝까지 간다,2014.5.29,"27,007,303,900",1.60%,"3,450,305",645,"84,875",한국,한국,(주)쇼박스, 김성훈,,, 이선균, 조진웅,,,,,,,,,,,,
19,19,비긴 어게인,2014.8.13,"27,098,834,504",1.60%,"3,427,524",525,"82,684",미국,미국,판씨네마(주), 존 카니,,, 키이라 나이틀리, 마크 러팔로, 애덤 리바인, 헤일리 스테인펠드,,,,,,,,,,
20,20,드래곤 길들이기 2,2014.7.23,"23,979,935,189",1.40%,"3,000,056",829,"51,924",미국,미국,(주)씨제이이엔엠, 딘 데블로이스,,, 제이 바루첼, 제라드 버틀러, 아메리카 페레라,,,,,,,,,,,
21,21,표적,2014.4.30,"22,256,769,300",1.30%,"2,841,828",716,"72,255",한국,한국,(주)씨제이이엔엠, 창감독,,, 류승룡, 유준상, 이진욱, 김성령, 조여정, 조은지,,,,,,,,
22,22,메이즈 러너,2014.9.18,"21,489,367,677",1.30%,"2,812,427",655,"71,048",미국,미국,이십세기폭스코리아(주), 웨스 볼,,, 딜런 오브라이언, 토마스 생스터, 카야 스코델라리오, 이기홍,,,,,,,,,,
23,23,호빗: 다섯 군대 전투,2014.12.17,"21,428,483,344",1.30%,"2,509,887",926,"43,833",미국,"미국,뉴질랜드",워너브러더스 코리아(주), 피터 잭슨,,, 마틴 프리먼, 이안 맥켈런, 리처드 아미티지,,,,,,,,,,,
24,24,나의 사랑 나의 신부,2014.10.8,"16,636,404,305",1.00%,"2,141,155",629,"69,681",한국,한국,씨네그루(주)다우기술, 임찬상,,, 조정석, 신민아,,,,,,,,,,,,
25,25,논스톱,2014.2.27,"16,066,549,940",1.00%,"2,084,482",582,"58,217",미국,"미국,프랑스",(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
26,26,인투 더 스톰,2014.8.28,"16,157,166,332",1.00%,"2,078,698",585,"45,899",미국,미국,워너브러더스 코리아(주), 애덤 브라운,,,,,,,,,,,,,,,,
27,27,노아,2014.3.20,"15,514,373,500",0.90%,"2,026,594",952,"56,722",미국,미국,(주)씨제이이엔엠,,,,,,,,,,,,,,,,,
28,28,남자가 사랑할 때,2014.1.22,"14,510,222,300",0.90%,"1,979,311",531,"41,123",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 한동욱,,, 황정민, 한혜진,,,,,,,,,,,,
29,29,루시,2014.9.3,"16,468,076,039",1.00%,"1,974,893",641,"44,585",미국,"미국,프랑스",유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,
30,30,용의자,2013.12.24,"14,408,028,500",0.90%,"1,954,586",618,"42,310",한국,한국,(주)쇼박스, 원신연,,, 공유, 박희순, 조성하, 유다인, 김성균, 조재윤,,,,,,,,
31,31,기술자들,2014.12.24,"13,652,480,148",0.80%,"1,778,083",641,"24,416",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 김홍선,,, 김우빈, 김영철, 고창석, 이현우, 조윤희, 임주환,,,,,,,,
32,32,나를 찾아줘,2014.10.23,"14,017,716,731",0.80%,"1,764,233",689,"50,846",미국,미국,이십세기폭스코리아(주), 데이빗 핀처,,, 벤 애플렉, 로자먼드 파이크,,,,,,,,,,,,
33,33,제보자,2014.10.2,"13,515,762,802",0.80%,"1,755,181",676,"58,358",한국,한국,메가박스중앙(주)플러스엠, 임순례,,, 박해일, 유연석, 이경영,,,,,,,,,,,
34,34,피끓는 청춘,2014.1.22,"11,688,382,888",0.70%,"1,676,040",679,"36,082",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이연우,,, 박보영, 이종석, 이세영, 김영광,,,,,,,,,,
35,35,두근두근 내 인생,2014.9.3,"12,291,081,634",0.70%,"1,624,601",629,"40,158",한국,한국,(주)씨제이이엔엠, 이재용,,, 강동원, 송혜교, 조성목,,,,,,,,,,,
36,36,우아한 거짓말,2014.3.13,"11,728,460,300",0.70%,"1,619,188",573,"57,492",한국,한국,CGV아트하우스, 이한,,, 김희애, 고아성, 김유정, 김향기,,,,,,,,,,
37,37,300: 제국의 부활,2014.3.6,"13,395,159,700",0.80%,"1,593,116",720,"54,902",미국,미국,워너브러더스 코리아(주), 노암 머로,,, 에바 그린, 설리반 스탭플턴, 로드리고 산토로, 레나 헤디,,,,,,,,,,
38,38,엑소더스: 신들과 왕들,2014.12.3,"12,442,681,926",0.70%,"1,511,195",865,"43,742",미국,"미국,영국,스페인",이십세기폭스코리아(주), 리들리 스콧,,, 크리스찬 베일, 조엘 에저튼,,,,,,,,,,,,
39,39,해무(海霧),2014.8.13,"11,706,782,519",0.70%,"1,475,507",584,"33,490",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
40,40,인간중독,2014.5.14,"11,284,912,400",0.70%,"1,441,973",682,"44,057",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 김대우,,, 송승헌, 임지연, 조여정, 온주완,,,,,,,,,,
41,41,말레피센트,2014.5.29,"10,776,965,900",0.60%,"1,397,526",554,"38,894",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 요아킴 뢰닝,,, 안젤리나 졸리, 엘르 패닝, 미셸 파이퍼,,,,,,,,,,,
42,42,폼페이: 최후의 날,2014.2.20,"10,303,127,700",0.60%,"1,373,873",561,"43,288",미국,"미국,독일",롯데쇼핑㈜롯데엔터테인먼트, 폴 앤더슨,,, 키트 해링턴, 에밀리 브라우닝, 키퍼 서덜랜드, 캐리 앤 모스,,,,,,,,,,
43,43,퓨리,2014.11.20,"10,367,640,686",0.60%,"1,362,114",590,"37,155",미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 데이비드 에이어,,, 브래드 피트, 로건 레먼, 샤이아 라보프,,,,,,,,,,,
44,44,드라큘라: 전설의 시작,2014.10.8,"10,607,703,908",0.60%,"1,321,751",477,"46,483",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 게리 쇼어,,, 루크 에반스, 도미닉 쿠퍼, 찰스 댄스, 사라 가돈, 잭 맥고원,,,,,,,,,
45,45,가디언즈 오브 갤럭시,2014.7.31,"11,098,239,184",0.70%,"1,311,190",539,"22,417",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 제임스 건,,, 크리스 프랫, 조 샐다나, 데이브 바티스타, 빈 디젤, 브래들리 쿠퍼,,,,,,,,,
46,46,찌라시: 위험한 소문,2014.2.20,"9,111,748,087",0.50%,"1,221,427",560,"37,426",한국,한국,(주)씨제이이엔엠, 김광식,,, 김강우, 정진영, 고창석, 박성웅,,,,,,,,,,
47,47,빅매치,2014.11.27,"8,952,096,578",0.50%,"1,177,438",627,"38,527",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 최호,,, 이정재, 신하균, 이성민, 보아,,,,,,,,,,
48,48,슬로우 비디오,2014.10.2,"8,913,092,219",0.50%,"1,169,562",618,"40,665",한국,한국,이십세기폭스코리아(주), 김영탁,,, 차태현, 남상미,,,,,,,,,,,,
49,49,방황하는 칼날,2014.4.10,"7,828,891,800",0.50%,"989,906",594,"38,850",한국,한국,(주)씨제이이엔엠, 이정호,,, 정재영, 이성민,,,,,,,,,,,,
50,50,로보캅,2014.2.13,"7,299,641,958",0.40%,"979,509",627,"29,686",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 호세 파딜라,,, 조엘 킨나만, 사무엘 L. 잭슨, 게리 올드만,,,,,,,,,,,
51,51,우리는 형제입니다,2014.10.23,"7,263,255,399",0.40%,"970,373",566,"41,638",한국,한국,(주)쇼박스, 장진,,, 조진웅, 김성균, 김영애, 윤진이,,,,,,,,,,
52,52,애나벨,2014.10.2,"7,083,492,943",0.40%,"926,027",464,"29,000",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,
53,53,헝거게임: 모킹제이,2014.11.20,"6,400,058,044",0.40%,"854,377",630,"28,796",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 프란시스 로렌스,,, 제니퍼 로렌스, 조쉬 허처슨, 리암 헴스워스, 필립 세이모어 호프만, 줄리안 무어, 우디 해럴슨, 엘리자베스 뱅크스, 도날드 서덜랜드, 제프리 라이트, 스탠리 투치, 윌로우 쉴즈, 샘 클라플린, 지나 말론, 메허샬레하쉬바즈 엘리
54,54,월터의 상상은 현실이 된다,2013.12.31,"6,134,220,799",0.40%,"834,348",373,"22,938",미국,미국,"글뫼 주식회사,이십세기폭스코리아(주)", 벤 스틸러,,, 벤 스틸러, 크리스틴 위그, 숀 펜, 셜리 맥클레인,,,,,,,,,,
55,55,카트,2014.11.13,"5,912,676,633",0.40%,"812,490",544,"28,547",한국,한국,(주)리틀빅픽쳐스,,,,,,,,,,,,,,,,,
56,56,관능의 법칙,2014.2.13,"5,858,771,500",0.40%,"781,516",591,"30,630",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 권칠인,,, 엄정화, 문소리, 조민수,,,,,,,,,,,
57,57,그랜드 부다페스트 호텔,2014.3.20,"6,019,756,082",0.40%,"774,699",241,"26,377",미국,"미국,독일","(주)피터팬픽쳐스,이십세기폭스코리아(주)", 웨스 앤더슨,,, 랄프 파인즈, 틸다 스윈튼, 토니 레볼로리, 시얼샤 로넌, 애드리언 브로디, 윌렘 대포,,,,,,,,
58,58,리오 2,2014.5.1,"5,669,231,900",0.30%,"765,961",598,"14,929",미국,미국,이십세기폭스코리아(주), 카를로스 살다나,,, 제시 아이젠버그, 앤 해서웨이, 저메인 클레멘트, 제이미 폭스, 윌.아이.엠, 브루노 마스,,,,,,,,
59,59,"안녕, 헤이즐",2014.8.13,"5,833,905,000",0.40%,"749,146",326,"17,946",미국,미국,이십세기폭스코리아(주), 조쉬 분,,, 쉐일린 우들리, 안셀 엘고트, 냇 울프, 윌렘 대포,,,,,,,,,,
60,60,고질라,2014.5.15,"5,972,847,963",0.40%,"709,734",610,"25,335",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,
61,61,트랜센던스,2014.5.14,"5,478,536,500",0.30%,"696,436",417,"23,243",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 월리 피스터,,, 조니 뎁, 레베카 홀, 모건 프리먼,,,,,,,,,,,
62,62,상의원,2014.12.24,"5,293,724,564",0.30%,"676,632",466,"13,809",한국,한국,"(주)쇼박스,(주)와우픽쳐스", 이원석,,, 한석규, 고수, 박신혜, 유연석, 마동석,,,,,,,,,
63,63,플랜맨,2014.1.9,"4,528,561,558",0.30%,"632,299",458,"20,459",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 성시흡,,, 정재영, 한지민,,,,,,,,,,,,
64,64,우는 남자,2014.6.4,"4,924,852,800",0.30%,"603,495",508,"22,322",한국,한국,(주)씨제이이엔엠, 이정범,,, 장동건, 김민희,,,,,,,,,,,,
65,65,타잔 3D,2014.1.9,"4,452,845,000",0.30%,"597,142",527,"12,994",독일,독일,(주)싸이더스, 라인하드 클루스,,, 켈란 루츠, 스펜서 로크,,,,,,,,,,,,
66,66,패션왕,2014.11.6,"4,367,545,379",0.30%,"594,871",523,"25,487",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 오기환,,, 주원, 최진리,,,,,,,,,,,,
67,67,황제를 위하여,2014.6.11,"4,754,501,771",0.30%,"592,435",423,"26,736",한국,한국,유나이티드픽처스(주), 박상준,,, 이민기, 박성웅, 이태임,,,,,,,,,,,
68,68,더 울프 오브 월스트리트,2014.1.9,"4,490,682,000",0.30%,"585,082",395,"13,735",미국,미국,주식회사 우리네트웍스, 마틴 스콜세지,,, 레오나르도 디카프리오, 조나 힐, 매튜 맥커너히, 카일 챈들러, 장 뒤자르댕,,,,,,,,,
69,69,스텝 업: 올 인,2014.9.3,"4,337,490,134",0.30%,"564,589",325,"15,372",미국,미국,(주)나이너스엔터테인먼트, 트리시 시에,,, 라이언 구즈먼, 브리아나 에비건, 애덤 G. 세바니, 알리슨 스토너, 이자벨라 미코,,,,,,,,,
70,70,어바웃 타임,2013.12.5,"4,077,030,200",0.20%,"536,634",282,"12,323",영국,영국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,
71,71,몬스터,2014.3.13,"4,138,207,515",0.20%,"526,557",527,"25,460",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,,,,,,,,,,,,,,,,,
72,72,눈의 여왕 2: 트롤의 마법거울,2014.12.24,"3,623,421,700",0.20%,"498,320",479,"6,508",러시아,러시아,씨네그루(주)다우기술, 알렉세이 트시칠린,,, 벨라 손, 샬토 코플리,,,,,,,,,,,,
73,73,노예 12년,2014.2.27,"3,644,423,700",0.20%,"498,043",326,"19,373",미국,"미국,영국","판씨네마(주),(주)프레인글로벌", 스티브 맥퀸,,, 치웨텔 에지오포, 마이클 패스벤더, 베네딕트 컴버배치, 브래드 피트,,,,,,,,,,
74,74,또 하나의 약속,2014.2.6,"3,533,799,400",0.20%,"497,613",192,"14,847",한국,한국,영화사올(주), 김태윤,,, 박철민, 윤유선, 김규리, 박희정, 유세형, 이경영,,,,,,,,
75,75,엔더스 게임,2013.12.31,"3,695,768,000",0.20%,"487,679",458,"18,384",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 개빈 후드,,, 해리슨 포드, 에이사 버터필드, 벤 킹슬리, 헤일리 스테인펠드,,,,,,,,,,
76,76,소녀괴담,2014.7.2,"3,554,806,054",0.20%,"481,696",455,"19,432",한국,한국,(주)리틀빅픽쳐스, 믹키 리델,,, 헤일리 베넷, 제이크 웨버,,,,,,,,,,,,
77,77,조선미녀삼총사,2014.1.29,"3,471,341,321",0.20%,"480,361",388,"14,031",한국,한국,(주)쇼박스, 박제현,,, 하지원, 강예원, 가인, 고창석, 주상욱,,,,,,,,,
78,78,넛잡: 땅콩 도둑들,2014.1.29,"3,283,691,800",0.20%,"478,993",382,"10,817",한국,"한국,캐나다,미국",(주)싸이더스, 피터 레페니오티스,,, 윌 아넷, 캐서린 헤이글, 리암 니슨, 브렌든 프레이저,,,,,,,,,,
79,79,마담 뺑덕,2014.10.2,"3,728,980,590",0.20%,"471,172",536,"21,636",한국,한국,(주)씨제이이엔엠, 임필성,,, 정우성, 이솜, 박소영,,,,,,,,,,,
80,80,썬더와 마법저택,2013.12.24,"3,004,330,500",0.20%,"444,848",396,"9,501",벨기에,벨기에,(주)씨제이이엔엠, 벤 스타센, 제레미 드그루손,, 제임스 플린, 도미닉 파리,,,,,,,,,,,,
81,81,신이 보낸 사람,2014.2.13,"3,068,195,600",0.20%,"424,258",285,"12,684",한국,한국,"주식회사 마운틴픽쳐스,(주)마인스 엔터테인먼트", 김진무,,, 김인권,,,,,,,,,,,,,
82,82,다이버전트,2014.4.16,"3,297,769,011",0.20%,"424,045",511,"21,396",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 닐 버거,,, 쉐일린 우들리, 테오 제임스, 케이트 윈슬렛, 제이 코트니,,,,,,,,,,
83,83,주온 : 끝의 시작,2014.7.16,"3,071,127,231",0.20%,"410,644",394,"15,339",일본,일본,(주)넥스트엔터테인먼트월드(NEW), 오치아이 마사유키,,, 사사키 노조미, 아오야기 쇼,,,,,,,,,,,,
84,84,좋은 친구들,2014.7.10,"3,222,101,031",0.20%,"407,228",371,"17,831",한국,한국,(주)씨제이이엔엠, 이도윤,,, 지성, 주지훈, 이광수,,,,,,,,,,,
85,85,닌자터틀,2014.8.28,"3,321,120,147",0.20%,"400,329",479,"15,188",미국,미국,(주)씨제이이엔엠, 데이브 그린,,, 메간 폭스, 스티븐 아멜, 로라 리니, 윌 아넷,,,,,,,,,,
86,86,명탐정 코난 : 이차원의 저격수,2014.8.6,"2,768,375,000",0.20%,"398,606",299,"6,834",일본,일본,(주)씨제이이엔엠, 시즈노 코분,,, 타카야마 미나미, 히다카 노리코,,,,,,,,,,,,
87,87,나의 독재자,2014.10.30,"2,906,674,546",0.20%,"385,932",654,"24,217",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 이해준,,, 설경구, 박해일,,,,,,,,,,,,
88,88,천재 강아지 미스터 피바디,2014.4.24,"2,859,791,400",0.20%,"385,552",533,"10,520",미국,미국,(주)씨제이이엔엠, 롭 민코프,,, 타이 버렐, 맥스 찰스, 아리엘 윈터, 레슬리 만, 스탠리 투치, 스티븐 토보로스키, 엘리 켐퍼,,,,,,,
89,89,그녀,2014.5.22,"2,858,143,500",0.20%,"350,618",168,"9,980",미국,미국,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)", 스파이크 존즈,,, 호아킨 피닉스, 에이미 아담스, 루니 마라, 스칼릿 조핸슨,,,,,,,,,,
90,90,하이힐,2014.6.3,"2,750,311,500",0.20%,"341,634",385,"16,750",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,,,,,,,,,,,,,,,,,
91,91,선 오브 갓,2014.4.10,"2,393,896,300",0.10%,"329,252",419,"15,313",미국,미국,(주)프레인글로벌, 크리스토퍼 스펜서,,, 디오고 모르가도, 세바스찬 냅, 다윈 쇼,,,,,,,,,,,
92,92,잭 라이언 : 코드네임 쉐도우,2014.1.16,"2,395,391,500",0.10%,"327,589",419,"12,908",미국,"미국,러시아",(주)씨제이이엔엠, 케네스 브래너,,, 크리스 파인, 키이라 나이틀리, 케빈 코스트너,,,,,,,,,,,
93,93,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2014.1.9,"2,080,468,500",0.10%,"320,409",406,"8,363",일본,일본,(주)씨제이이엔엠, 유야마 쿠니히코,,, 오오타니 이쿠에,,,,,,,,,,,,,
94,94,숲속으로,2014.12.24,"2,409,562,888",0.10%,"317,406",356,"7,709",미국,미국,월트디즈니컴퍼니코리아(주), 롭 마샬,,, 메릴 스트립, 조니 뎁, 에밀리 블런트, 제임스 코든, 안나 켄드릭, 크리스 파인, 루시 펀치,,,,,,,
95,95,레드카펫,2014.10.23,"2,405,669,580",0.10%,"316,953",385,"17,696",한국,한국,(주)프레인글로벌,,,,,,,,,,,,,,,,,
96,96,미녀와 야수,2014.6.18,"2,393,617,300",0.10%,"316,332",387,"15,414",프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
97,97,비행기 2: 소방구조대,2014.8.13,"2,246,970,700",0.10%,"311,456",341,"6,562",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 로버츠 개너웨이,,, 데인 쿡, 줄리 보웬, 에드 해리스,,,,,,,,,,,
98,98,프랑켄슈타인: 불멸의 영웅,2014.2.6,"2,175,466,123",0.10%,"299,205",378,"12,113",미국,"미국,호주",(주)쇼박스,,,,,,,,,,,,,,,,,
99,99,"러브, 로지",2014.12.10,"2,223,782,646",0.10%,"292,177",379,"11,935",영국,"영국,독일",(주)넥스트엔터테인먼트월드(NEW), 크리스티안 디터,,, 릴리 콜린스, 샘 클라플린,,,,,,,,,,,,
100,100,오큘러스,2014.5.29,"2,122,466,537",0.10%,"279,488",336,"9,210",미국,미국,씨네그루(주)다우기술,,,,,,,,,,,,,,,,,
101,101,사랑에 대한 모든 것,2014.12.10,"2,124,639,846",0.10%,"273,336",399,"12,417",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제임스 마쉬,,, 에디 레드메인, 펠리시티 존스, 해리 로이드, 데이빗 듈리스, 찰리 콕스, 에밀리 왓슨,,,,,,,,
102,102,마야,2014.9.4,"1,952,169,200",0.10%,"265,388",295,"6,312",독일,"독일,호주",(주)박수엔터테인먼트,,,,,,,,,,,,,,,,,
103,103,노벰버 맨,2014.10.16,"1,891,131,320",0.10%,"252,444",395,"16,197",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 로저 도널드슨,,, 피어스 브로스넌, 올가 쿠릴렌코, 루크 브레이시,,,,,,,,,,,
104,104,툼스톤,2014.9.18,"1,875,449,247",0.10%,"242,707",378,"16,226",미국,미국,(주)인벤트스톤, 스콧 프랭크,,, 리암 니슨, 댄 스티븐스, 보이드 홀브룩,,,,,,,,,,,
105,105,창문 넘어 도망친 100세 노인,2014.6.18,"1,826,294,353",0.10%,"241,196",300,"11,183",스웨덴,스웨덴,(주)영화사 빅,,,,,,,,,,,,,,,,,
106,106,그레이스 오브 모나코,2014.6.18,"1,753,300,200",0.10%,"237,219",358,"13,079",프랑스,"프랑스,미국,벨기에,이탈리아",(주)쇼박스, 올리비에 다한,,, 니콜 키드먼, 팀 로스, 프랭크 란젤라,,,,,,,,,,,
107,107,레고 무비,2014.2.6,"1,601,300,200",0.10%,"236,129",317,"6,703",미국,미국,워너브러더스 코리아(주),,,,,,,,,,,,,,,,,
108,108,뽀로로 극장판 눈요정 마을 대모험,,"1,160,549,300",0.10%,"231,875",181,"4,990",한국,한국,, 김현호,,, 이선, 함수정, 홍소영, 이미자, 정미숙, 김환진, 김서영, 문남숙, 온영삼, 손종환,,,,
109,109,쓰리데이즈 투 킬,2014.4.3,"1,749,223,200",0.10%,"229,673",388,"13,766",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 맥지,,, 케빈 코스트너, 엠버 허드, 헤일리 스테인펠드, 코니 닐슨,,,,,,,,,,
110,110,저스틴,2013.12.31,"1,526,356,500",0.10%,"229,577",332,"6,164",스페인,스페인,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
111,111,극장판 루팡 3세 VS 명탐정 코난,2014.5.29,"1,585,872,205",0.10%,"225,842",327,"5,429",일본,일본,(주)씨제이이엔엠, 카메가키 하지메,,, 타카야마 미나미, 쿠리타 칸이치, 스기모토 유,,,,,,,,,,,
112,112,한공주,2014.4.17,"1,785,708,800",0.10%,"225,065",226,"12,474",한국,한국,CGV아트하우스, 이수진,,, 천우희, 정인선, 김소영,,,,,,,,,,,
113,113,헤라클레스 : 레전드 비긴즈,2014.4.10,"1,662,357,151",0.10%,"221,340",390,"14,217",미국,미국,(주)넥스트엔터테인먼트월드(NEW), 레니 할린,,, 켈란 루츠, 가이아 와이즈, 스콧 앳킨스, 록산느 맥키, 리암 게리건,,,,,,,,,
114,114,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",2014.10.2,"1,567,640,100",0.10%,"215,046",363,"6,727",일본,일본,(주)이수C&E,,,,,,,,,,,,,,,,,
115,115,덕수리 5형제,2014.12.4,"1,590,807,200",0.10%,"210,777",346,"10,719",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 전형준,,, 윤상현, 송새벽, 이아이, 찬성, 김지민, 이광수,,,,,,,,
116,116,덤 앤 더머 투,2014.11.27,"1,436,861,585",0.10%,"192,726",343,"8,990",미국,미국,씨네그루(주)다우기술, 바비 패럴리, 피터 패럴리,, 짐 캐리, 제프 다니엘스, 캐서린 터너, 로리 홀든,,,,,,,,,,
117,117,론 서바이버,2014.4.2,"1,433,147,820",0.10%,"190,611",305,"11,565",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 스티븐 더햄,,, 엘렌 홀맨,,,,,,,,,,,,,
