idx,name,date,sales ,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13,actor14,actor15,actor16,actor17,actor18,actor19,actor20,actor21,actor22,actor23,actor24,actor25,actor26,actor27,actor28,actor29,actor30,actor31,actor32,actor33,actor34,actor35,actor36,actor37,actor38,actor39,actor40,actor41,actor42,actor43,actor44,actor45,actor46
19,스물,2015.3.25,"23,563,421,686",1.40%,"3,044,811",926,"100,161",한국,한국,(주)넥스트엔터테인먼트월드(NEW), 이병헌,, 김우빈, 준호, 강하늘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,극비수사,2015.6.18,"22,389,535,897",1.30%,"2,860,786",894,"66,211",한국,한국,(주)쇼박스, 곽경택,, 김윤석, 유해진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,앤트맨,2015.9.3,"23,529,209,937",1.40%,"2,841,795",949,"74,649",미국,"미국,영국",월트디즈니컴퍼니코리아(주), 크리스토프 갬플,, 고츠 오토, 야스미나 필라리 보넨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,스타워즈: 깨어난 포스,2015.12.17,"24,149,478,540",1.40%,"2,803,234",940,"56,425",미국,미국,월트디즈니컴퍼니코리아(주), J.J. 에이브럼스,, 데이지 리들리, 존 보예가, 오스카 아이삭, 아담 드라이버, 그웬돌린 크리스티, 도널 글리슨, 해리슨 포드, 마크 해밀, 캐리 피셔, 사이먼 페그, 막스 폰 시도우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,빅 히어로,2015.1.21,"21,993,119,765",1.30%,"2,801,949",825,"62,229",미국,미국,월트디즈니컴퍼니코리아(주), 돈 홀, 크리스 윌리엄스, 다니엘 헤니, 라이언 포터, 스콧 애짓, 제이미 정, T.J. 밀러, 제네시스 로드리게스, 데이몬 웨이언스 주니어, 마야 루돌프, 알란 터딕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,메이즈 러너: 스코치 트라이얼,2015.9.16,"21,596,946,349",1.30%,"2,744,413",804,"58,725",미국,미국,이십세기폭스코리아(주), 웨스 볼,, 딜런 오브라이언, 토마스 생스터, 카야 스코델라리오, 이기홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,탐정 : 더 비기닝,2015.9.24,"20,463,956,973",1.20%,"2,625,686",764,"54,995",한국,한국,(주)씨제이이엔엠, 김정훈,, 권상우, 성동일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,미니언즈,2015.7.29,"18,998,046,278",1.10%,"2,625,599",792,"41,946",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,스파이,2015.5.21,"18,417,637,358",1.10%,"2,318,748",665,"62,960",미국,미국,이십세기폭스코리아(주), 폴 페이그,, 멜리사 맥카시, 주드 로, 제이슨 스타뎀, 미란다 하트, 로즈 번, 앨리슨 제니, 피터 세라피노윅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,악의 연대기,2015.5.14,"17,361,815,332",1.00%,"2,192,525",776,"64,351",한국,한국,(주)씨제이이엔엠, 장유근,, 이설구, 박재훈, 박태산, 송보은, 조운,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
