idx,rank,name,date,sales,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13
229,230,꼬마마녀 요요와 네네,2013.12.25,"133,369,000",0.00%,"20,146",90,655,일본,일본,"㈜T-JOY,씨너스엔터테인먼트(주)", 히라오 타카유키,,,, 김서영, 이현진, 양정화, 엄상현, 이선주, 류점희, 조현정, 김장, 이지영, 방성준, 최승훈,,
230,231,러브레이스,2013.10.17,"139,215,138",0.00%,"19,933",154,"2,506",미국,미국,씨너스엔터테인먼트(주), 롭 엡스타인, 제프리 프리드먼,,, 아만다 사이프리드, 샤론 스톤, 제임스 프랭코, 피터 사스가드, 애덤 브로디, 주노 템플,,,,,,,
231,232,세상의 끝까지 21일,2013.8.14,"147,134,500",0.00%,"19,896",26,987,미국,미국,(주)드림웨스트픽쳐스, 로렌 스카파리아,,,, 키이라 나이틀리, 스티브 카렐,,,,,,,,,,,
232,233,가디언즈,2012.11.29,"130,597,500",0.00%,"19,598",53,613,미국,미국,(주)씨제이이엔엠, 사릭 안드레아시안,,,, 세바스티안 시삭, 안톤 팜부쉬니, 산자르 마디에브, 알리나 라니나,,,,,,,,,
233,234,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,2012.12.19,"77,063,000",0.00%,"19,431",48,671,일본,일본,(주)씨제이이엔엠, 유야마 쿠니히코,,,, 오오타니 이쿠에, 마츠모토 리카, 미야노 마모루,,,,,,,,,,
234,235,테이크다운,2013.4.18,"135,780,500",0.00%,"19,415",138,"2,432",영국,"영국,미국",(주)에스비에스콘텐츠허브,,,,,,,,,,,,,,,,,
235,236,부도리의 꿈,2013.1.30,"123,582,500",0.00%,"18,940",117,"1,214",일본,일본,(주)나이너스엔터테인먼트, 스기이 기사부로,,,, 오구리 슌, 쿠츠나 시오리, 에모토 아키라,,,,,,,,,,
236,237,셰임,2013.5.9,"139,387,500",0.00%,"18,415",34,"1,148",영국,영국,㈜영화사 백두대간, 스티브 맥퀸,,,, 마이클 패스벤더, 캐리 멀리건, 제임스 뱃지 데일,,,,,,,,,,
237,238,이별계약,2013.6.20,"131,141,000",0.00%,"18,301",64,"1,355",한국,"한국,중국",(주)씨제이이엔엠, 오기환,,,, 펑위옌, 바이바이허, 장경부,,,,,,,,,,
238,239,홀리 모터스,2013.4.4,"141,266,400",0.00%,"18,215",36,"1,134",프랑스,"프랑스,독일","(주)영화사 안다미로,오드", 레오 카락스,,,, 드니 라방, 카일리 미노그, 에바 멘데스, 에디뜨 스꼽,,,,,,,,,
239,240,퍼펙트,2013.9.25,"118,503,500",0.00%,"18,179",136,"2,241",미국,미국,(주)마인스 엔터테인먼트,,,,,,,,,,,,,,,,,
240,241,잉투기,2013.11.14,"127,244,600",0.00%,"17,733",95,"2,512",한국,한국,CGV아트하우스, 엄태화,,,, 엄태구, 류혜영, 권율,,,,,,,,,,
241,242,인 더 하우스,2013.7.4,"128,871,000",0.00%,"17,700",25,758,프랑스,프랑스,찬란, 프랑소와 오종,,,, 파브리스 루치니, 크리스틴 스콧 토마스, 어니스트 움하우어, 엠마누엘 자이그너,,,,,,,,,
242,243,타이치0 3D,2013.7.4,"119,998,000",0.00%,"17,437",116,"1,508",홍콩,홍콩,(주)영화사 빅, 풍덕륜,,,, 원효초, 안젤라베이비, 양가휘, 펑위옌, 오언조,,,,,,,,
243,244,앤젤스 셰어: 천사를 위한 위스키,2013.5.16,"135,331,671",0.00%,"17,257",23,796,영국,"영국,프랑스",(주)티캐스트, 켄 로치,,,, 폴 브래니건, 존 헨쇼, 게리 메이틀랜드, 자스민 리긴스, 윌리엄 루앤, 로저 알람,,,,,,,
244,245,월플라워,2013.4.11,"121,584,900",0.00%,"17,067",28,981,미국,미국,데이지엔터테인먼트, 스티븐 크보스키,,,, 엠마 왓슨, 로건 레먼, 에즈라 밀러,,,,,,,,,,
245,246,미스터 노바디,2013.10.24,"127,022,500",0.00%,"16,969",24,"1,032",캐나다,"캐나다,벨기에,프랑스,독일","(주)영화사 안다미로,(주)팝엔터테인먼트", 자코 반 도마엘,,,, 자레드 레토, 다이앤 크루거, 사라 폴리,,,,,,,,,,
246,247,터치 오브 라이트,2013.3.14,"110,604,024",0.00%,"16,897",128,"1,793",대만,대만,씨너스엔터테인먼트(주),,,,,,,,,,,,,,,,,
247,248,명왕성,2013.7.11,"114,550,500",0.00%,"16,835",78,"1,646",한국,한국,(주)싸이더스,,,,,,,,,,,,,,,,,
248,249,베이트,2013.8.8,"108,522,500",0.00%,"16,091",59,849,호주,호주,(주)팝파트너스,,,,,,,,,,,,,,,,,
249,250,로얄 어페어,2012.12.27,"118,215,600",0.00%,"15,378",20,767,덴마크,"덴마크,스웨덴,독일,체코",(주)화인픽쳐스, 니콜라이 아르셀,,,, 알리시아 비칸데르, 매즈 미켈슨, 미켈 폴스라르,,,,,,,,,,
250,251,호비와 후후의 대모험: 무지개꽃을 구하라,2013.9.26,"97,632,500",0.00%,"15,050",45,992,일본,일본,(주)머스트씨무비, 히라바야시 이사무,,,, 신송이, 송영인, 방지원, 박정욱, 박상우, 신정훈,,,,,,,
251,252,쇼를 사랑한 남자,2013.10.9,"114,353,792",0.00%,"14,888",26,830,미국,미국,(주)티캐스트콘텐츠허브, 스티븐 소더버그,,,, 마이클 더글라스, 맷 데이먼, 로브 로우,,,,,,,,,,
252,253,데드폴,2013.1.23,"101,887,000",0.00%,"14,744",82,"1,276",미국,미국,(주)에스비에스콘텐츠허브, 슈테판 루조비츠키,,,, 에릭 바나, 올리비아 와일드, 찰리 헌냄,,,,,,,,,,
253,254,극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,2012.12.19,"46,703,000",0.00%,"14,677",35,515,일본,일본,,,,,,,,,,,,,,,,,,
254,255,공정사회,2013.4.18,"97,601,000",0.00%,"14,520",37,"1,355",한국,한국,(주)엣나인필름, 이지승,,,, 장영남, 마동석, 황태광, 배성우,,,,,,,,,
255,256,갬빗,2013.11.28,"95,213,128",0.00%,"14,426",94,"1,227",미국,미국,(주)나이너스엔터테인먼트,,,,,,,,,,,,,,,,,
256,257,아티스트 봉만대,2013.8.29,"93,817,000",0.00%,"14,188",131,"1,795",한국,한국,씨너스엔터테인먼트(주), 봉만대,,,, 봉만대, 곽현화, 성은, 이파니,,,,,,,,,
257,258,안녕?! 오케스트라,2013.11.28,"88,222,000",0.00%,"14,065",49,925,한국,한국,(주)영화사 진진, 이철하,,,, 리처드 용재 오닐,,,,,,,,,,,,
258,259,어느 예술가의 마지막 일주일,2013.6.20,"95,917,000",0.00%,"13,688",19,651,프랑스,"프랑스,독일,벨기에",프리비젼엔터테인먼트, 마르얀 사트라피, 빈센트 파로노드,,, 마티유 아말릭, 마리아 데 메데이로스, 이사벨라 로셀리니, 골쉬프테 파라하니,,,,,,,,,
259,260,터미네이터 2 : 심판의 날 감독판,2013.11.14,"98,683,000",0.00%,"13,664",47,878,미국,미국,(주)팝엔터테인먼트, 제임스 카메론,,,, 아놀드 슈왈제네거,,,,,,,,,,,,
260,261,피치 퍼펙트,2013.3.28,"90,850,000",0.00%,"13,537",143,"2,154",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 엘리자베스 뱅크스,,,, 안나 켄드릭, 헤일리 스테인펠드, 레벨 윌슨, 브리타니 스노우,,,,,,,,,
261,262,48미터,2013.7.4,"102,714,000",0.00%,"13,418",35,950,한국,한국,(주)씨제이이엔엠, 민백두,,,, 박효주, 이진희, 하석, 조한철,,,,,,,,,
262,263,올 이즈 로스트,2013.11.7,"98,876,000",0.00%,"13,363",33,826,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), J.C. 챈더,,,, 로버트 레드포드,,,,,,,,,,,,
263,264,사랑은 타이핑 중!,2013.5.22,"88,024,561",0.00%,"13,029",114,"1,817",프랑스,프랑스,판씨네마(주), 레지스 로인사드,,,, 로망 뒤리스, 데보라 프랑소와,,,,,,,,,,,
264,265,새 구두를 사야해,2013.4.25,"92,653,000",0.00%,"12,891",25,693,일본,일본,(주)영화사 진진, 기타가와 에리코,,,, 나카야마 미호, 무카이 오사무, 키리타니 미레이, 아야노 고,,,,,,,,,
265,266,킥 애스 2 : 겁없는 녀석들,2013.10.17,"92,028,000",0.00%,"12,827",152,"2,158",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 제프 와드로,,,, 애런 존슨, 클로이 모레츠, 짐 캐리, 크리스토퍼 민츠 프래지,,,,,,,,,
266,267,브로큰 시티,2013.4.4,"92,263,000",0.00%,"12,771",80,"1,359",미국,미국,(주)팝파트너스,,,,,,,,,,,,,,,,,
267,268,코스모폴리스,2013.6.27,"96,450,200",0.00%,"12,769",27,779,캐나다,"캐나다,프랑스,포르투갈,이탈리아",(주)더블앤조이픽쳐스, 데이비드 크로넨버그,,,, 로버트 패틴슨, 제이 바루첼, 줄리엣 비노쉬, 폴 지아마티,,,,,,,,,
268,269,아유레디?,2013.9.26,"87,050,500",0.00%,"12,767",21,846,한국,한국,(주)나이너스엔터테인먼트, 허원,,,, 장광, 고형원,,,,,,,,,,,
269,270,콰르텟,2013.3.28,"90,236,000",0.00%,"12,717",37,832,영국,영국,㈜영화사 백두대간,,,,,,,,,,,,,,,,,
270,271,극장판 토리코 : 미식신의 스페셜메뉴,2013.11.28,"83,206,000",0.00%,"12,635",38,351,일본,일본,(주)미디어데이, 자코 아키후미,,,, 오키아유 료타로,,,,,,,,,,,,
271,272,토마스와 친구들: 블루마운틴 미스터리,2013.10.17,"80,186,500",0.00%,"12,054",49,892,영국,영국,(주)팝엔터테인먼트, 그렉 티어난,,,, 마이클 안젤리스, 마이클 브랜든,,,,,,,,,,,
272,273,세션 : 이 남자가 사랑하는 법,2013.1.17,"94,415,500",0.00%,"11,974",15,554,미국,미국,이십세기폭스코리아(주), 벤 르윈,,,, 존 호키스, 헬렌 헌트,,,,,,,,,,,
273,274,페어리테일: 봉황의 무녀,2013.2.28,"79,291,500",0.00%,"11,830",50,437,일본,일본,(주)나이너스엔터테인먼트, 후지모리 마사야,,,, 히라노 아야, 카키하라 테츠야,,,,,,,,,,,
274,275,소명 하늘의 별,2013.3.21,"75,082,000",0.00%,"11,666",33,627,한국,한국,(주)에스피엠, 신현원,,,, 조태환, 오순옥, 조하은, 조예은, 송채환,,,,,,,,
275,276,슈퍼히어로,2013.7.31,"73,535,000",0.00%,"11,469",74,647,페루,페루,(주)영화사 빅,,,,,,,,,,,,,,,,,
276,277,모래가 흐르는 강,2013.3.28,"71,055,900",0.00%,"10,942",20,428,한국,한국,(주)시네마달,,,,,,,,,,,,,,,,,
277,278,파라노만,2013.2.7,"75,039,000",0.00%,"10,942",54,604,미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 샘 펠, 크리스 버틀러,,, 코디 스밋 맥피, 터커 알브리지, 안나 켄드릭, 케이시 애플렉,,,,,,,,,
278,279,"다시, 뜨겁게 사랑하라!",2013.1.3,"79,827,500",0.00%,"10,761",34,755,덴마크,"덴마크,스웨덴",(주)마인스 엔터테인먼트, 수잔 비에르,,,, 피어스 브로스넌, 트린 디어홈,,,,,,,,,,,
279,280,로봇 앤 프랭크,2013.1.17,"69,243,000",0.00%,"10,379",38,553,미국,미국,(주)마인스 엔터테인먼트, 제이크 슈레이어,,,, 프랭크 란젤라, 제임스 마스던, 리브 타일러, 수잔 서랜든, 피터 사스가드,,,,,,,,
280,281,당신에게도 사랑이 다시 찾아올까요?,2013.10.17,"70,430,500",0.00%,"10,328",104,"1,351",미국,미국,(주)영화사 빅, 가브리엘 무치노,,,, 제라드 버틀러, 제시카 비엘, 우마 서먼, 캐서린 제타 존스,,,,,,,,,
281,282,나에게서 온 편지,2013.8.8,"72,763,000",0.00%,"9,931",17,348,프랑스,프랑스,프리비젼엔터테인먼트, 카린느 타르디유,,,, 줄리엣 곰버트, 안나 르마르샹, 아네스 자우이, 드니 포달리데스, 이자벨 까레,,,,,,,,
282,283,쉐프,2013.5.30,"70,207,500",0.00%,"9,684",22,678,프랑스,"프랑스,스페인",(주)미디어데이,,,,,,,,,,,,,,,,,
283,284,콜렉션,2013.5.2,"69,000,552",0.00%,"9,518",62,"1,103",미국,미국,(주)팝엔터테인먼트,,,,,,,,,,,,,,,,,
284,285,드림팀,2013.3.21,"68,051,500",0.00%,"9,483",97,"1,141",프랑스,프랑스,(주)싸이더스,,,,,,,,,,,,,,,,,
285,286,라스트 엑소시즘: 잠들지 않는 영혼,2013.6.27,"65,939,500",0.00%,"9,442",92,"1,182",미국,미국,(주)팝파트너스, 에드 게스-도넬리,,,, 애슐리 벨, 앤드류 센세닉,,,,,,,,,,,
286,287,메탈리카 스루 더 네버,2013.11.14,"104,274,800",0.00%,"9,438",30,360,미국,미국,(주)나이너스엔터테인먼트, 님로드 앤탈,,,, 데인 드한, 제임스 헷필드, 라스 울리히,,,,,,,,,,
287,288,로렌스 애니웨이,2013.12.19,"72,887,456",0.00%,"9,315",27,370,캐나다,"캐나다,프랑스",(주)엣나인필름, 자비에 돌란,,,, 멜비 푸포, 쉬잔느 클레먼트, 나탈리 베이, 모니아 초크리, 이브 자크,,,,,,,,
288,289,킬링시즌,2013.9.5,"61,282,000",0.00%,"9,240",102,"1,192",미국,미국,(주)팝파트너스, 마크 스티븐 존슨,,,, 로버트 드 니로, 존 트라볼타, 마일로 벤티밀리아, 엘리자베스 올린,,,,,,,,,
289,290,"페어웰, 마이 퀸",2013.12.5,"65,376,000",0.00%,"9,015",24,461,프랑스,"프랑스,스페인",(주)더블앤조이픽쳐스, 브누와 쟉꼬,,,, 다이앤 크루거, 레아 세이두,,,,,,,,,,,
290,291,연애의 기술,2013.10.30,"64,882,000",0.00%,"8,913",63,"1,190",한국,한국,(주)팝엔터테인먼트, 이수성,,,, 서지석, 홍수아, 한수아,,,,,,,,,,
291,292,초한지: 영웅의 부활,2013.3.28,"60,679,500",0.00%,"8,722",75,"1,130",중국,중국,(주)인벤트스톤, 루 추안,,,, 류예, 오언조, 장첸, 친란,,,,,,,,,
292,293,라 붐,2013.10.24,"64,415,000",0.00%,"8,675",34,639,프랑스,프랑스,(주)앤드플러스미디어웍스,,,,,,,,,,,,,,,,,
293,294,노킹 온 헤븐스 도어,1998.2.28,"65,358,000",0.00%,"8,655",11,427,독일,"독일,네덜란드","(주)엣나인필름,(주)박수엔터테인먼트", 토머스 얀,,,, 틸 슈바이거, 잔 조세프 리퍼스,,,,,,,,,,,
294,295,폭스파이어,2013.8.22,"63,493,500",0.00%,"8,612",30,599,프랑스,"프랑스,캐나다",그린나래미디어(주), 로랑 캉테,,,, 케이티 코시니, 레이븐 애덤슨, 마들렌 비손, 앨리 리버트,,,,,,,,,
295,296,날아라! 호빵맨 극장판: 구하라! 코코링과 기적의 별,2013.2.7,"41,562,250",0.00%,"8,599",114,881,일본,일본,씨너스엔터테인먼트(주), 야노 히로유키,,,, 토다 케이코, 나카오 류세이, 마츠유키 야스코,,,,,,,,,,
296,297,화양연화,2000.10.20,"64,005,500",0.00%,"8,552",33,724,홍콩,"홍콩,프랑스",(주)디스테이션,,,,,,,,,,,,,,,,,
297,298,춤추는 숲,2013.5.23,"57,803,000",0.00%,"8,461",15,615,한국,한국,스튜디오느림보, 강석필,,,, 이창환, 유창복, 조승연, 강이헌,,,,,,,,,
298,299,"가자, 장미여관으로",2013.8.14,"29,545,500",0.00%,"8,307",21,113,한국,한국,(주)팝파트너스, 김봉은,,,, 서연주, 이종준,,,,,,,,,,,
