idx,rank,name,date,sales,sales_share,boxoffice_num,num_of_screen,rep_nation,nation,num_of_screenings,distributor,director1,director2,director3,director4,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,actor11,actor12,actor13
142,143,원피스 극장판 Z,2013.3.21,"626,891,000",0.00%,"93,239",267,"3,968",일본,일본,(주)씨제이이엔엠, 나가미네 타츠야,,,, 타나카 마유미, 나카이 카즈야, 오카무라 아케미, 시노하라 료코, 카가와 테루유키,,,,,,,,
143,144,마마,2013.1.23,"662,161,500",0.00%,"91,143",164,"4,091",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),,,,,,,,,,,,,,,,,
144,145,몬스터 주식회사,2001.12.20,"933,962,500",0.10%,"90,143",177,"2,594",미국,미국,"한국소니픽쳐스릴리징브에나비스타영화㈜,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",,,,,,,,,,,,,,,,,
145,146,더 콜,2013.6.20,"626,952,634",0.00%,"88,953",241,"5,412",미국,미국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
146,147,뷰티풀 크리처스,2013.4.18,"582,030,544",0.00%,"82,995",278,"7,272",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 리처드 라그라브네스,,,, 앨리스 잉글러트, 제레미 아이언스, 엠마 톰슨, 에미 로섬, 엘든 이렌리치,,,,,,,,
147,148,토토의 움직이는 숲,2013.6.20,"505,799,000",0.00%,"79,558",191,"2,407",덴마크,덴마크,(주)미디어데이, 에스벤 토프트 야콥슨,,,, 마르쿠스 리가르드, 알베트 블리크펠트,,,,,,,,,,,
148,149,쿵후팬더: 영웅의 탄생,2013.7.4,"466,173,000",0.00%,"74,250",197,"2,035",중국,중국,(주)미디어데이, 레오 로,,,, 성룡,,,,,,,,,,,,
149,150,니모를 찾아서,2003.6.5,"757,151,000",0.00%,"73,215",212,"2,917",미국,미국,월트디즈니코리아㈜, 앤드류 스탠튼,,,, 앨버트 브룩스, 엘런 드제너러스, 알렉산더 굴드, 윌렘 대포, 브래드 거렛, 앨리슨 제니, 오스틴 펜들튼,,,,,,
150,151,오싱,2013.12.5,"471,568,500",0.00%,"73,064",233,"3,657",일본,일본,(주)팝엔터테인먼트, 토가시 신,,,, 하마다 코코네, 우에토 아야, 이나가키 고로,,,,,,,,,,
151,152,화이트 고릴라,2013.10.31,"464,078,500",0.00%,"71,796",182,"2,181",스페인,스페인,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트", 안드레스 G. 슈에,,,, 카이 스트로인크, 누리아 트리폴,,,,,,,,,,,
152,153,투 마더스,2013.8.22,"497,511,000",0.00%,"71,264",198,"3,859",프랑스,프랑스,(주)싸이더스, 안느 퐁텐,,,, 나오미 왓츠, 로빈 라이트, 자비에르 사무엘, 제임스 프레체빌,,,,,,,,,
153,154,피노키오: 당나귀 섬의 비밀,2013.4.25,"430,554,000",0.00%,"68,711",283,"2,738",이탈리아,"이탈리아,멕시코,벨기에,프랑스,룩셈부르크",(주)인벤트스톤, 엔조 달로,,,, 로버트 네이러,,,,,,,,,,,,
154,155,우리 선희,2013.9.12,"529,715,900",0.00%,"68,697",42,"3,894",한국,한국,"(주)영화제작전원사 ,(주)영화사 조제", 홍상수,,,, 정유미, 이선균, 김상중, 정재영, 이민우, 예지원,,,,,,,
155,156,닥터,2013.6.20,"495,574,500",0.00%,"68,312",163,"4,131",한국,한국,(주)마인스 엔터테인먼트, 김성홍,,,, 김창완, 배소은, 박건우,,,,,,,,,,
156,157,토니 스토리: 깡통제국의 비밀,2013.7.18,"422,490,500",0.00%,"67,663",257,"2,854",독일,독일,(주)영화사 빅, 토머스 보덴스테인,,,, 박성태, 전진아, 전승화, 홍진욱, 이재범, 김경희, 임경명, 정준하,,,,,
157,158,라스트 스탠드,2013.2.21,"492,763,000",0.00%,"66,790",300,"7,704",미국,"미국,한국",(주)씨제이이엔엠, 줄리안 조단,,,,,,,,,,,,,,,,
158,159,정글번치 : 빙산으로의 귀환,2013.10.2,"408,523,000",0.00%,"65,827",224,"2,428",프랑스,프랑스,(주)팝엔터테인먼트, 데이빗 알루, 에릭 토스티,,, 데이빗 알루, 에릭 토스티,,,,,,,,,,,
159,160,에반게리온: Q,2013.4.25,"435,800,211",0.00%,"61,423",59,"2,778",일본,일본,"㈜T-JOY,씨너스엔터테인먼트(주)", 안노 히데아키,,,, 오가타 메구미, 하야시바라 메구미, 미야무라 유코,,,,,,,,,,
160,161,산타의 매직 크리스탈,2013.11.28,"366,202,000",0.00%,"60,485",192,"1,916",벨기에,"벨기에,핀란드",(주)팝엔터테인먼트, 앙티 하이칼라, 마크 메르텐스,,, 하동훈, 김하영, 이장원, 최낙윤, 이현, 안효민, 주카 닐런드, 파울라 베사라, 키티 코코넨, 비티 칼리오,,,
161,162,웃는 남자,2013.3.28,"405,022,500",0.00%,"57,838",170,"3,824",프랑스,"프랑스,체코",씨너스엔터테인먼트(주),,,,,,,,,,,,,,,,,
162,163,아무르,2012.12.19,"426,495,700",0.00%,"55,946",30,"1,817",프랑스,"프랑스,독일,오스트리아",(주)티캐스트, 미카엘 하네케,,,, 장-루이 트린티냥, 엠마누엘 리바, 이자벨 위페르,,,,,,,,,,
163,164,호프 스프링즈,2013.4.4,"388,432,500",0.00%,"55,273",179,"3,516",미국,미국,(주)시너지하우스 (시너지), 데이빗 프랭클,,,, 메릴 스트립, 토미 리 존스, 스티브 카렐,,,,,,,,,,
164,165,돌핀 : 꿈꾸는 다니엘의 용감한 모험,2013.3.21,"354,256,000",0.00%,"53,744",197,"1,897",페루,"페루,독일,이탈리아",팝엔터테인먼트, 에두와르도 슐츠,,,, 에두와르도 슐츠, 주디 켈름, 마이클 오그,,,,,,,,,,
165,166,꼬마영웅 경찰차 프로디,2013.4.11,"351,772,000",0.00%,"53,735",229,"2,375",노르웨이,"노르웨이,미국",예지림엔터테인먼트, 라스무스 A. 실버르센,,,, 로버트 스톨텐베르그,,,,,,,,,,,,
166,167,길위에서,2013.5.23,"359,709,500",0.00%,"53,230",23,"1,843",한국,한국,㈜영화사 백두대간,,,,,,,,,,,,,,,,,
167,168,스카이포스 3D,2013.2.28,"349,260,500",0.00%,"51,553",183,"2,227",미국,"미국,홍콩",(주)미디어데이, 토니 탕,,,, 아론 크렙스, 헤더 고든,,,,,,,,,,,
168,169,언어의 정원,2013.8.14,"385,295,200",0.00%,"51,426",64,"2,480",일본,일본,"(주)미디어캐슬,(주)팝엔터테인먼트", 신카이 마코토,,,, 이리노 미유, 하나자와 카나,,,,,,,,,,,
169,170,블랙 가스펠,2013.11.14,"351,611,500",0.00%,"50,985",143,"2,848",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
170,171,그렇게 아버지가 된다,2013.12.19,"371,549,562",0.00%,"49,287",41,"1,272",일본,일본,(주)티캐스트콘텐츠허브, 고레에다 히로카즈,,,, 후쿠야마 마사하루, 오노 마치코, 마키 요코, 릴리 프랭키, 니노미야 케이타,,,,,,,,
171,172,뜨거운 안녕,2013.5.30,"315,291,000",0.00%,"47,105",172,"3,497",한국,"한국,일본",(주)나이너스엔터테인먼트,,,,,,,,,,,,,,,,,
172,173,적인걸2 : 신도해왕의 비밀,2013.10.2,"329,905,000",0.00%,"47,060",169,"2,939",중국,중국,씨너스엔터테인먼트(주), 서극,,,, 조우정, 안젤라베이비, 김범, 풍소봉, 임경신, 덩차오, 유가령,,,,,,
173,174,슈퍼윙스 3D,2013.8.14,"269,711,500",0.00%,"46,124",129,"1,527",러시아,러시아,(주)영화사 빅, 올가 로패토,,,, 안드레이 메르즈리킨, 알렉세이 프란데티, 발렌틴 가프트, 안토니아 베레즈카, 알렉산드르 렌코브, 안피사 체크호바, 알렉산드르 골로빈, 알렉산드르 일린, 블라디미르 티기쵸브, 일리야 크보스티코브, 알렉산드르 시엠체브,,
174,175,러브레터,1999.11.20,"341,717,500",0.00%,"45,421",53,"1,763",일본,일본,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트", 이와이 슌지,,,, 나카야마 미호,,,,,,,,,,,,
175,176,나의 PS 파트너,2012.12.6,"348,352,000",0.00%,"44,906",80,"1,629",한국,한국,(주)씨제이이엔엠, 변성현,,,, 지성, 김아중,,,,,,,,,,,
176,177,호두까기인형 3D,2013.1.3,"298,459,000",0.00%,"44,680",132,"1,930",미국,미국,(주)나이너스엔터테인먼트, 안드레이 콘찰로프스키,,,, 엘르 패닝, 김유정, 김준현, 이상엽, 찰리 로우, 존 터투로, 네이슨 레인, 리처드 E. 그랜트, 프란세스 드 라 투어,,,,
177,178,프리버즈: 밍쿠와 찌아의 도시 대탈출,2013.9.17,"288,856,500",0.00%,"44,466",213,"2,130",아르헨티나,아르헨티나,(주)영화사 빅, 구스타보 지아니니, 다니엘 드 필립포,,, 페토 메나헴, 마리아노 마르티네즈, 루이사나 로필라토, 미타 원스, 칼라 피터슨,,,,,,,,
178,179,글래디에이터: 로마 영웅 탄생의 비밀 3D,2013.3.14,"300,235,500",0.00%,"44,441",275,"2,143",이탈리아,이탈리아,(주)에스비에스콘텐츠허브, 이기니오 스트라피,,,, 루카 아르겐테로, 로라 치아티, 베렌 로드리게즈, 엠마 테이트,,,,,,,,,
179,180,드래곤볼Z : 신들의 전쟁,2013.8.29,"292,117,500",0.00%,"44,231",262,"2,828",일본,일본,(주)인벤트스톤, 호소다 마사히로,,,, 노자와 마사코, 야마데라 코이치, 모리타 마사카즈,,,,,,,,,,
180,181,레옹,1995.2.18,"327,530,000",0.00%,"43,194",75,"1,677",프랑스,프랑스,"(주)제이앤씨미디어그룹,(주)팝파트너스", 뤽 베송,,,, 장 르노, 나탈리 포트만,,,,,,,,,,,
181,182,쥬라기 공원,1993.7.17,"524,340,000",0.00%,"43,187",83,"1,941",미국,미국,유니버설픽쳐스인터내셔널 코리아(유), 안소니 팽크하우저,,,, 조던 로슨, 코린 네멕, 베론 웰스, 게리 스트레치,,,,,,,,,
182,183,호스트,2013.4.4,"299,706,000",0.00%,"42,972",244,"4,993",미국,미국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
183,184,스니치,2013.5.9,"288,292,500",0.00%,"41,480",153,"3,273",미국,미국,(주)마인스 엔터테인먼트, 릭 로먼 워,,,, 드웨인 존슨, 수잔 서랜든, 존 번탈, 나딘 벨라즈퀘즈,,,,,,,,,
184,185,세이프 헤이븐,2013.11.6,"288,909,000",0.00%,"40,813",133,"2,620",미국,미국,(주)팝엔터테인먼트, 에드슨 다 콘세이카오, 티모 오테반거,,,,,,,,,,,,,,,
185,186,끝과 시작,2013.4.4,"274,332,000",0.00%,"38,734",185,"5,711",한국,한국,롯데쇼핑㈜롯데엔터테인먼트, 민규동,,,, 엄정화, 황정민, 김효진,,,,,,,,,,
186,187,폭풍우 치는 밤에: 비밀 친구,2013.5.1,"249,369,500",0.00%,"38,247",231,"2,014",일본,일본,(주)마인스 엔터테인먼트, 아미노 테츠로,,,, 요시노 히로유키, 쿠기미야 리에, 호리에 유이,,,,,,,,,,
187,188,사이드 이펙트,2013.7.11,"258,850,000",0.00%,"37,158",172,"2,827",미국,미국,롯데쇼핑㈜롯데엔터테인먼트, 스티븐 소더버그,,,, 주드 로, 루니 마라, 채닝 테이텀, 캐서린 제타-존스,,,,,,,,,
188,189,저스틴,2013.12.31,"237,729,500",0.00%,"36,676",308,646,스페인,스페인,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
189,190,극장판 썬더일레븐 GO VS 골판지 전사 W,2013.6.5,"240,929,500",0.00%,"36,492",99,"1,061",일본,일본,(주)씨제이이엔엠, 미야오 요시카즈,,,, 테라사키 유카, 시모노 히로,,,,,,,,,,,
190,191,에코 플래닛 3D : 지구 구출 특급 대작전,2013.10.9,"228,314,000",0.00%,"36,327",183,"1,655",태국,태국,(주)인벤트스톤, 콤핀 켐군니르드,,,, 아티피치 추티와칸존차이, 노판 찬타라손,,,,,,,,,,,
191,192,문라이즈 킹덤,2013.1.31,"277,699,300",0.00%,"35,614",34,"1,373",미국,미국,(주)영화사 진진, 웨스 앤더슨,,,, 브루스 윌리스, 빌 머레이, 에드워드 노튼, 틸다 스윈튼, 프란시스 맥도맨드, 자레드 길만, 카라 헤이워드,,,,,,
192,193,뫼비우스,2013.9.5,"255,508,579",0.00%,"35,348",128,"4,032",한국,한국,(주)넥스트엔터테인먼트월드(NEW),,,,,,,,,,,,,,,,,
193,194,누구의 딸도 아닌 해원,2013.2.28,"270,121,400",0.00%,"35,072",35,"2,367",한국,한국,"(주)영화제작전원사 ,(주)영화사 조제", 홍상수,,,, 이선균, 정은채, 김의성,,,,,,,,,,
194,195,드래곤 헌터,2013.1.24,"219,090,000",0.00%,"34,984",105,"1,973",프랑스,"프랑스,독일","롯데쇼핑㈜롯데엔터테인먼트,케이비에스미디어(주)",,,,,,,,,,,,,,,,,
195,196,더 헌트,2013.1.24,"264,176,000",0.00%,"34,938",37,"1,553",덴마크,덴마크,"(주)엣나인필름,씨너스엔터테인먼트(주)", 토마스 빈터베르그,,,, 매즈 미켈슨, 토머스 보 라센, 수시 울드, 아니카 베데르코프,,,,,,,,,
